176788.776396046^77989.419,170604.889161547^77989.419,164421.00192705^77989.488,158236.90769255^77989.419,152053.089458052^77989.488,145868.995223553^77989.626,139684.762989054^77989.557,133500.806754556^77989.695,127316.850520057^77989.764,121132.687285559^77989.764,114948.80005106^77989.764,108764.912816561^77989.695,102580.887582063^77989.626,96396.862347564^77989.626,90212.9061130654^77989.557,84028.8118785667^77989.488,77844.7176440682^77989.626,71660.6924095694^77989.626
71660.5544095694^67016.2151978454,77844.3726440682^67016.3531978454,84028.5358785667^67016.3531978454,90212.4921130654^67016.2841978454,96396.517347564^67016.2151978454,102580.473582063^67016.3531978454,108764.429816561^67016.3531978454,114948.38605106^67016.2841978454,121132.342285559^67016.2151978454,127316.436520057^67016.2841978454,133500.461754556^67016.3531978454,139684.486989054^67016.2151978454,145868.581223553^67016.2841978454,152052.606458052^67016.2151978454,158236.63169255^67016.2151978454,164420.79492705^67016.1461978454,170604.613161547^67016.0081978454,176788.500396046^67016.0771978454
176788.362396046^56042.8043956908,170604.475161547^56042.9423956908,164420.51892705^56042.9423956908,158236.49369255^56043.0803956908,152052.537458052^56043.0803956908,145868.512223553^56043.0803956908,139684.486989054^56043.0803956908,133500.392754556^56043.1493956908,127316.436520057^56043.0803956908,121132.480285559^56043.1493956908,114948.38605106^56043.0803956908,108764.429816561^56043.0803956908,102580.473582063^56043.1493956908,96396.379347564^56043.0803956908,90212.4231130654^56043.0803956908,84028.2598785667^56043.0803956908,77844.3726440682^56043.0113956908,71660.2784095694^56042.9423956908
71660.0024095694^45070.0145935361,77843.9586440682^45069.8765935361,84028.0528785667^45069.8075935361,90212.0091130654^45069.9455935361,96396.103347564^45069.8075935361,102579.990582063^45069.8765935361,108764.015816561^45069.8075935361,114948.04105106^45069.8765935361,121131.997285559^45069.8765935361,127316.022520057^45069.8075935361,133500.047754556^45069.7385935361,139684.003989054^45069.6005935361,145868.029223553^45069.6005935361,152052.123458052^45069.6695935361,158236.07969255^45069.5315935361,164420.24292705^45069.5315935361,170604.130161547^45069.5315935361,176788.017396046^45069.3935935361
176787.948396046^34096.2587913815,170603.992161547^34096.3967913815,164420.03592705^34096.4657913815,158235.94169255^34096.4657913815,152051.985458052^34096.5347913815,145867.960223553^34096.5347913815,139684.072989054^34096.6727913815,133499.840754556^34096.5347913815,127315.884520057^34096.5347913815,121131.928285559^34096.6727913815,114947.83405106^34096.6727913815,108763.808816561^34096.6037913815,102579.852582063^34096.6727913815,96395.965347564^34096.6037913815,90211.8711130654^34096.6037913815,84027.7768785667^34096.6037913815,77843.8206440682^34096.6037913815,71659.7264095694^34096.4657913815
71659.4504095694^23123.1929892269,77843.5446440682^23123.3309892269,84027.3628785667^23123.4689892269,90211.4571130654^23123.3999892269,96395.482347564^23123.4689892269,102579.438582063^23123.3309892269,108763.463816561^23123.3999892269,114947.48905106^23123.3309892269,121131.445285559^23123.3309892269,127315.470520057^23123.3309892269,133499.495754556^23123.2619892269,139683.589989054^23123.1239892269,145867.615223553^23123.1239892269,152051.709458052^23123.1929892269,158235.66569255^23123.1239892269,164419.75992705^23122.9859892269,170603.716161547^23122.9859892269,176787.672396046^23122.9859892269
176787.465396046^12149.7131870723,170603.509161547^12149.7821870723,164419.55292705^12149.8511870723,158235.52769255^12149.9891870723,152051.502458052^12149.8511870723,145867.408223553^12149.9891870723,139683.382989054^12149.9891870723,133499.357754556^12149.9201870723,127315.401520057^12150.0581870723,121131.376285559^12149.9891870723,114947.28205106^12149.9891870723,108763.325816561^12149.9891870723,102579.369582063^12150.0581870723,96395.275347564^12149.9891870723,90211.3191130654^12149.9891870723,84027.2938785667^12149.9891870723,77843.2686440682^12149.9891870723,71659.1744095694^12149.9891870723
71658.9674095694^1176.16438491764,77842.9926440682^1176.50938491764,84026.9488785667^1176.44038491764,90210.9741130654^1176.57838491764,96394.999347564^1176.57838491764,102579.024582063^1176.50938491764,108763.049816561^1176.37138491764,114947.00605106^1176.44038491764,121131.031285559^1176.30238491764,127315.056520057^1176.30238491764,133499.081754556^1176.37138491764,139683.106989054^1176.23338491764,145867.201223553^1174.85338491764,152051.157458052^1176.30238491764,158235.25169255^1176.30238491764,164419.20792705^1176.16438491764,170603.164161547^1176.09538491764,176787.258396046^1176.16438491764
176787.051396046^-9797.31541723698,170603.026161547^-9797.10841723698,164419.00092705^-9796.97041723698,158235.04469255^-9796.90141723698,152051.019458052^-9796.97041723698,145866.994223553^-9796.97041723698,139682.968989054^-9796.90141723698,133498.943754556^-9796.83241723698,127314.918520057^-9796.83241723698,121130.962285559^-9796.90141723698,114946.86805106^-9796.90141723698,108762.842816561^-9796.90141723698,102578.886582063^-9796.76341723698,96394.861347564^-9796.83241723698,90210.7671130654^-9796.83241723698,84026.8108785667^-9796.83241723698,77842.7856440682^-9797.03941723698,71658.7604095694^-9797.03941723698
71658.4844095694^-20770.1742193916,77842.4406440682^-20770.0362193916,84026.4658785667^-20770.0362193916,90210.4911130654^-20770.1052193916,96394.585347564^-20770.2432193916,102578.541582063^-20770.1052193916,108762.497816561^-20770.2432193916,114946.59205106^-20770.2432193916,121130.548285559^-20770.1052193916,127314.573520057^-20770.1742193916,133498.667754556^-20770.2432193916,139682.692989054^-20770.1742193916,145866.718223553^-20770.3812193916,152050.812458052^-20770.2432193916,158234.76869255^-20770.5192193916,164418.93192705^-20770.4502193916,170602.819161547^-20770.4502193916,176786.844396046^-20770.4502193916
176786.706396046^-31743.6540215462,170602.681161547^-31743.5850215462,164418.65592705^-31743.5160215462,158234.63069255^-31743.3780215462,152050.605458052^-31743.4470215462,145866.580223553^-31743.3780215462,139682.623989054^-31743.5160215462,133498.460754556^-31743.5160215462,127314.504520057^-31743.3780215462,121130.341285559^-31743.3090215462,114946.38505106^-31743.5160215462,108762.428816561^-31743.3090215462,102578.403582063^-31743.4470215462,96394.447347564^-31743.3780215462,90210.3531130654^-31743.3780215462,84026.3278785667^-31743.3780215462,77842.2336440682^-31743.3780215462,71658.2084095694^-31743.3780215462
