0.300298875	0.284670591	0.280721540	0.284913942	0.290508736	0.292289145	0.289563369	0.285725358	0.285417022	0.291764572	0.305301811	0.324291796	0.345233312	0.363103803	0.372139195	0.367969271	0.350425466	0.324869466	
0.964021824	0.953040711	0.952355227	0.957434815	0.961672726	0.960810251	0.955170840	0.948662825	0.945975169	0.950218551	0.962102225	0.980099794	1.000643784	1.018353877	1.027221553	1.023180124	1.006853514	0.984239816	
1.398132374	1.392694143	1.394989069	1.400006398	1.401938252	1.397847339	1.389012954	1.379602368	1.374183772	1.375842213	1.385476047	1.401707422	1.420875830	1.437469772	1.445755516	1.442488361	1.429160885	1.411841693	
1.550757943	1.549716436	1.553464888	1.557182365	1.556302260	1.549205404	1.537818218	1.526259783	1.518845140	1.518602720	1.526530370	1.541237131	1.558909996	1.574108258	1.581752928	1.579662725	1.570026263	1.558447303	
1.464169237	1.465182044	1.468459274	1.469930026	1.466376608	1.457195018	1.444544499	1.432238717	1.424265529	1.423541029	1.430999612	1.445034733	1.461617009	1.475517276	1.482498494	1.481431364	1.474921232	1.467784789	
1.226480510	1.227315000	1.228760541	1.227769072	1.222277940	1.212261683	1.199753275	1.188127288	1.181037655	1.181226771	1.189397064	1.203568827	1.219480582	1.232211588	1.238397665	1.237796002	1.233164356	1.228453905	
0.917662021	0.917032358	0.916261115	0.913283614	0.906828043	0.897051537	0.885666857	0.875621571	0.870286633	0.872184918	0.881672429	0.896341196	0.911755804	0.923371318	0.928618920	0.927907689	0.923952580	0.919936293	
0.583418553	0.581013436	0.578377299	0.574168470	0.567517501	0.558516589	0.548552633	0.540270629	0.536838912	0.540539708	0.551347772	0.566476577	0.581420239	0.592023154	0.596341862	0.595178212	0.591091828	0.586699571	
0.239698699	0.235811349	0.231985715	0.227251927	0.220829005	0.212658109	0.203921878	0.197125344	0.195308290	0.200517685	0.212389810	0.227876782	0.242492500	0.252394577	0.256014411	0.254299344	0.249635109	0.244345024	
-0.110248273	-0.115122956	-0.119457990	-0.124176620	-0.130175084	-0.137653224	-0.145496116	-0.151221517	-0.151873552	-0.145601255	-0.132997629	-0.117229006	-0.102720677	-0.093155750	-0.090001810	-0.092349082	-0.097910366	-0.104359021	
-0.465929565	-0.471268438	-0.475501358	-0.479713725	-0.485024604	-0.491771985	-0.498870053	-0.503841907	-0.503795405	-0.496989059	-0.484085387	-0.468226722	-0.453770035	-0.444392246	-0.441660878	-0.444785166	-0.451461419	-0.459134061	
-0.824652514	-0.830069491	-0.833732887	-0.836927627	-0.841054285	-0.846687413	-0.852889570	-0.857267130	-0.856965751	-0.850217802	-0.837577353	-0.822037823	-0.807868734	-0.798801999	-0.796572049	-0.800521404	-0.808291150	-0.817049232	
-1.169790024	-1.175414209	-1.178458025	-1.180282687	-1.182646867	-1.186601071	-1.191604015	-1.195453784	-1.195269151	-1.189100079	-1.177250191	-1.162478611	-1.148912982	-1.140289663	-1.138488169	-1.143043804	-1.151687208	-1.161455204	
-1.453505339	-1.460230671	-1.463177780	-1.463604253	-1.463781949	-1.465571113	-1.469086243	-1.472363226	-1.472381735	-1.466887192	-1.455881173	-1.441865802	-1.428763026	-1.420232933	-1.418324019	-1.422978377	-1.432338078	-1.443511156	
-1.590648245	-1.599923245	-1.603684371	-1.603017691	-1.600952862	-1.600456109	-1.602414642	-1.605017612	-1.604972665	-1.599682832	-1.588902123	-1.574917227	-1.561423746	-1.552015575	-1.549092686	-1.553365806	-1.563727772	-1.577402345	
-1.485806691	-1.498751272	-1.503975603	-1.502572938	-1.498590895	-1.496191808	-1.496897031	-1.498833037	-1.498331241	-1.492508912	-1.480988325	-1.465910977	-1.450796660	-1.439328948	-1.434577328	-1.438369052	-1.450476187	-1.467999087	
-1.089273139	-1.105579212	-1.111930612	-1.109842330	-1.104509559	-1.101055043	-1.101237460	-1.102846529	-1.101806279	-1.095060532	-1.082194839	-1.065248105	-1.047661030	-1.033442761	-1.026616726	-1.030232656	-1.044721574	-1.066625053	
-0.446173150	-0.463733082	-0.469798512	-0.466770868	-0.460848418	-0.457560282	-0.458369366	-0.460508732	-0.459553393	-0.452381111	-0.438552115	-0.419983682	-0.400124964	-0.383486765	-0.375096637	-0.378956360	-0.395648587	-0.420787097	
