176788.776396046^77989.35,170604.544161548^77989.35,164420.311927049^77989.35,158236.07969255^77989.35,152051.847458052^77989.35,145867.615223553^77989.35,139683.382989054^77989.35,133499.150754556^77989.35,127314.918520057^77989.35,121130.686285559^77989.35,114946.45405106^77989.35,108762.221816561^77989.35,102577.989582063^77989.35,96393.757347564^77989.35,90209.5251130654^77989.35,84025.2928785667^77989.35,77841.0606440681^77989.35,71656.8284095695^77989.35
71656.8284095695^67016.3531978454,77841.0606440681^67016.3531978454,84025.2928785667^67016.3531978454,90209.5251130654^67016.3531978454,96393.757347564^67016.3531978454,102577.989582063^67016.3531978454,108762.221816561^67016.3531978454,114946.45405106^67016.3531978454,121130.686285559^67016.3531978454,127314.918520057^67016.3531978454,133499.150754556^67016.3531978454,139683.382989054^67016.3531978454,145867.615223553^67016.3531978454,152051.847458052^67016.3531978454,158236.07969255^67016.3531978454,164420.311927049^67016.3531978454,170604.544161548^67016.3531978454,176788.776396046^67016.3531978454
176788.776396046^56043.3563956908,170604.544161548^56043.3563956908,164420.311927049^56043.3563956908,158236.07969255^56043.3563956908,152051.847458052^56043.3563956908,145867.615223553^56043.3563956908,139683.382989054^56043.3563956908,133499.150754556^56043.3563956908,127314.918520057^56043.3563956908,121130.686285559^56043.3563956908,114946.45405106^56043.3563956908,108762.221816561^56043.3563956908,102577.989582063^56043.3563956908,96393.757347564^56043.3563956908,90209.5251130654^56043.3563956908,84025.2928785667^56043.3563956908,77841.0606440681^56043.3563956908,71656.8284095695^56043.3563956908
71656.8284095695^45070.3595935361,77841.0606440681^45070.3595935361,84025.2928785667^45070.3595935361,90209.5251130654^45070.3595935361,96393.757347564^45070.3595935361,102577.989582063^45070.3595935361,108762.221816561^45070.3595935361,114946.45405106^45070.3595935361,121130.686285559^45070.3595935361,127314.918520057^45070.3595935361,133499.150754556^45070.3595935361,139683.382989054^45070.3595935361,145867.615223553^45070.3595935361,152051.847458052^45070.3595935361,158236.07969255^45070.3595935361,164420.311927049^45070.3595935361,170604.544161548^45070.3595935361,176788.776396046^45070.3595935361
176788.776396046^34097.3627913815,170604.544161548^34097.3627913815,164420.311927049^34097.3627913815,158236.07969255^34097.3627913815,152051.847458052^34097.3627913815,145867.615223553^34097.3627913815,139683.382989054^34097.3627913815,133499.150754556^34097.3627913815,127314.918520057^34097.3627913815,121130.686285559^34097.3627913815,114946.45405106^34097.3627913815,108762.221816561^34097.3627913815,102577.989582063^34097.3627913815,96393.757347564^34097.3627913815,90209.5251130654^34097.3627913815,84025.2928785667^34097.3627913815,77841.0606440681^34097.3627913815,71656.8284095695^34097.3627913815
71656.8284095695^23124.3659892269,77841.0606440681^23124.3659892269,84025.2928785667^23124.3659892269,90209.5251130654^23124.3659892269,96393.757347564^23124.3659892269,102577.989582063^23124.3659892269,108762.221816561^23124.3659892269,114946.45405106^23124.3659892269,121130.686285559^23124.3659892269,127314.918520057^23124.3659892269,133499.150754556^23124.3659892269,139683.382989054^23124.3659892269,145867.615223553^23124.3659892269,152051.847458052^23124.3659892269,158236.07969255^23124.3659892269,164420.311927049^23124.3659892269,170604.544161548^23124.3659892269,176788.776396046^23124.3659892269
176788.776396046^12151.3691870723,170604.544161548^12151.3691870723,164420.311927049^12151.3691870723,158236.07969255^12151.3691870723,152051.847458052^12151.3691870723,145867.615223553^12151.3691870723,139683.382989054^12151.3691870723,133499.150754556^12151.3691870723,127314.918520057^12151.3691870723,121130.686285559^12151.3691870723,114946.45405106^12151.3691870723,108762.221816561^12151.3691870723,102577.989582063^12151.3691870723,96393.757347564^12151.3691870723,90209.5251130654^12151.3691870723,84025.2928785667^12151.3691870723,77841.0606440681^12151.3691870723,71656.8284095695^12151.3691870723
71656.8284095695^1178.37238491764,77841.0606440681^1178.37238491764,84025.2928785667^1178.37238491764,90209.5251130654^1178.37238491764,96393.757347564^1178.37238491764,102577.989582063^1178.37238491764,108762.221816561^1178.37238491764,114946.45405106^1178.37238491764,121130.686285559^1178.37238491764,127314.918520057^1178.37238491764,133499.150754556^1178.37238491764,139683.382989054^1178.37238491764,145867.615223553^1178.37238491764,152051.847458052^1178.37238491764,158236.07969255^1178.37238491764,164420.311927049^1178.37238491764,170604.544161548^1178.37238491764,176788.776396046^1178.37238491764
176788.776396046^-9794.62441723698,170604.544161548^-9794.62441723698,164420.311927049^-9794.62441723698,158236.07969255^-9794.62441723698,152051.847458052^-9794.62441723698,145867.615223553^-9794.62441723698,139683.382989054^-9794.62441723698,133499.150754556^-9794.62441723698,127314.918520057^-9794.62441723698,121130.686285559^-9794.62441723698,114946.45405106^-9794.62441723698,108762.221816561^-9794.62441723698,102577.989582063^-9794.62441723698,96393.757347564^-9794.62441723698,90209.5251130654^-9794.62441723698,84025.2928785667^-9794.62441723698,77841.0606440681^-9794.62441723698,71656.8284095695^-9794.62441723698
71656.8284095695^-20767.6212193916,77841.0606440681^-20767.6212193916,84025.2928785667^-20767.6212193916,90209.5251130654^-20767.6212193916,96393.757347564^-20767.6212193916,102577.989582063^-20767.6212193916,108762.221816561^-20767.6212193916,114946.45405106^-20767.6212193916,121130.686285559^-20767.6212193916,127314.918520057^-20767.6212193916,133499.150754556^-20767.6212193916,139683.382989054^-20767.6212193916,145867.615223553^-20767.6212193916,152051.847458052^-20767.6212193916,158236.07969255^-20767.6212193916,164420.311927049^-20767.6212193916,170604.544161548^-20767.6212193916,176788.776396046^-20767.6212193916
176788.776396046^-31740.6180215462,170604.544161548^-31740.6180215462,164420.311927049^-31740.6180215462,158236.07969255^-31740.6180215462,152051.847458052^-31740.6180215462,145867.615223553^-31740.6180215462,139683.382989054^-31740.6180215462,133499.150754556^-31740.6180215462,127314.918520057^-31740.6180215462,121130.686285559^-31740.6180215462,114946.45405106^-31740.6180215462,108762.221816561^-31740.6180215462,102577.989582063^-31740.6180215462,96393.757347564^-31740.6180215462,90209.5251130654^-31740.6180215462,84025.2928785667^-31740.6180215462,77841.0606440681^-31740.6180215462,71656.8284095695^-31740.6180215462
71656.8284095695^-42713.6148237008,77841.0606440681^-42713.6148237008,84025.2928785667^-42713.6148237008,90209.5251130654^-42713.6148237008,96393.757347564^-42713.6148237008,102577.989582063^-42713.6148237008,108762.221816561^-42713.6148237008,114946.45405106^-42713.6148237008,121130.686285559^-42713.6148237008,127314.918520057^-42713.6148237008,133499.150754556^-42713.6148237008,139683.382989054^-42713.6148237008,145867.615223553^-42713.6148237008,152051.847458052^-42713.6148237008,158236.07969255^-42713.6148237008,164420.311927049^-42713.6148237008,170604.544161548^-42713.6148237008,176788.776396046^-42713.6148237008
176788.776396046^-53686.6116258555,170604.544161548^-53686.6116258555,164420.311927049^-53686.6116258555,158236.07969255^-53686.6116258555,152051.847458052^-53686.6116258555,145867.615223553^-53686.6116258555,139683.382989054^-53686.6116258555,133499.150754556^-53686.6116258555,127314.918520057^-53686.6116258555,121130.686285559^-53686.6116258555,114946.45405106^-53686.6116258555,108762.221816561^-53686.6116258555,102577.989582063^-53686.6116258555,96393.757347564^-53686.6116258555,90209.5251130654^-53686.6116258555,84025.2928785667^-53686.6116258555,77841.0606440681^-53686.6116258555,71656.8284095695^-53686.6116258555
71656.8284095695^-64659.6084280101,77841.0606440681^-64659.6084280101,84025.2928785667^-64659.6084280101,90209.5251130654^-64659.6084280101,96393.757347564^-64659.6084280101,102577.989582063^-64659.6084280101,108762.221816561^-64659.6084280101,114946.45405106^-64659.6084280101,121130.686285559^-64659.6084280101,127314.918520057^-64659.6084280101,133499.150754556^-64659.6084280101,139683.382989054^-64659.6084280101,145867.615223553^-64659.6084280101,152051.847458052^-64659.6084280101,158236.07969255^-64659.6084280101,164420.311927049^-64659.6084280101,170604.544161548^-64659.6084280101,176788.776396046^-64659.6084280101
176788.776396046^-75632.6052301647,170604.544161548^-75632.6052301647,164420.311927049^-75632.6052301647,158236.07969255^-75632.6052301647,152051.847458052^-75632.6052301647,145867.615223553^-75632.6052301647,139683.382989054^-75632.6052301647,133499.150754556^-75632.6052301647,127314.918520057^-75632.6052301647,121130.686285559^-75632.6052301647,114946.45405106^-75632.6052301647,108762.221816561^-75632.6052301647,102577.989582063^-75632.6052301647,96393.757347564^-75632.6052301647,90209.5251130654^-75632.6052301647,84025.2928785667^-75632.6052301647,77841.0606440681^-75632.6052301647,71656.8284095695^-75632.6052301647
71656.8284095695^-86605.6020323193,77841.0606440681^-86605.6020323193,84025.2928785667^-86605.6020323193,90209.5251130654^-86605.6020323193,96393.757347564^-86605.6020323193,102577.989582063^-86605.6020323193,108762.221816561^-86605.6020323193,114946.45405106^-86605.6020323193,121130.686285559^-86605.6020323193,127314.918520057^-86605.6020323193,133499.150754556^-86605.6020323193,139683.382989054^-86605.6020323193,145867.615223553^-86605.6020323193,152051.847458052^-86605.6020323193,158236.07969255^-86605.6020323193,164420.311927049^-86605.6020323193,170604.544161548^-86605.6020323193,176788.776396046^-86605.6020323193
