176789.259396046^77988.522,170605.372161547^77988.729,164421.55392705^77988.798,158237.59769255^77988.798,152053.710458052^77988.936,145869.547223553^77988.936,139685.452989054^77988.936,133501.358754556^77989.005,127317.402520057^77989.074,121133.377285559^77989.074,114949.35205106^77989.074,108765.326816561^77988.936,102581.439582063^77988.936,96397.483347564^77988.936,90213.3891130654^77988.936,84029.4328785667^77988.936,77845.4076440682^77988.936,71661.3824095694^77988.936
71661.1064095694^67015.5941978454,77845.0626440682^67015.6631978454,84029.0188785667^67015.6631978454,90212.9751130654^67015.5251978454,96397.000347564^67015.5251978454,102581.025582063^67015.6631978454,108764.981816561^67015.6631978454,114948.93805106^67015.6631978454,121132.963285559^67015.6631978454,127316.988520057^67015.5941978454,133500.944754556^67015.5251978454,139685.107989054^67015.6631978454,145869.133223553^67015.5251978454,152053.089458052^67015.5941978454,158237.11469255^67015.5251978454,164421.20892705^67015.3871978454,170605.165161547^67015.4561978454,176788.914396046^67015.2491978454
176788.845396046^56042.1143956908,170604.958161547^56042.2523956908,164421.07092705^56042.2523956908,158236.97669255^56042.3903956908,152053.020458052^56042.3903956908,145868.995223553^56042.3903956908,139684.969989054^56042.4593956908,133500.875754556^56042.5283956908,127316.988520057^56042.5283956908,121132.963285559^56042.4593956908,114948.86905106^56042.3903956908,108764.981816561^56042.4593956908,102580.956582063^56042.5283956908,96396.931347564^56042.5283956908,90212.9751130654^56042.5283956908,84028.8808785667^56042.3903956908,77844.8556440682^56042.3903956908,71660.6924095694^56042.2523956908
71660.5544095694^45069.3935935361,77844.5106440682^45069.2555935361,84028.6048785667^45069.2555935361,90212.5611130654^45069.2555935361,96396.586347564^45069.2555935361,102580.542582063^45069.2555935361,108764.567816561^45069.1865935361,114948.52405106^45069.1865935361,121132.480285559^45069.2555935361,127316.574520057^45069.1865935361,133500.599754556^45069.1175935361,139684.555989054^45068.9795935361,145868.581223553^45068.9795935361,152052.606458052^45069.0485935361,158236.63169255^45068.9795935361,164420.72592705^45068.8415935361,170604.682161547^45068.9795935361,176788.638396046^45068.8415935361
176788.431396046^34095.7757913815,170604.475161547^34095.7757913815,164420.58792705^34095.9827913815,158236.49369255^34095.9137913815,152052.537458052^34096.0517913815,145868.443223553^34095.9137913815,139684.486989054^34095.9827913815,133500.392754556^34095.9137913815,127316.436520057^34096.0517913815,121132.342285559^34096.0517913815,114948.38605106^34096.0517913815,108764.429816561^34096.0517913815,102580.335582063^34096.1207913815,96396.448347564^34096.1207913815,90212.4231130654^34095.9827913815,84028.3288785667^34095.9827913815,77844.3726440682^34095.9137913815,71660.2784095694^34095.9827913815
71660.0024095694^23122.9169892269,77844.0276440682^23122.7789892269,84027.9838785667^23122.9169892269,90212.0091130654^23122.8479892269,96396.034347564^23122.9169892269,102579.990582063^23122.8479892269,108764.015816561^23122.8479892269,114947.97205106^23122.7789892269,121131.997285559^23122.7099892269,127315.953520057^23122.8479892269,133500.047754556^23122.8479892269,139684.072989054^23122.6409892269,145868.167223553^23122.7099892269,152052.192458052^23122.7099892269,158236.21769255^23122.5719892269,164420.24292705^23122.5719892269,170604.199161547^23122.4339892269,176788.155396046^23122.5719892269
176787.948396046^12149.1611870723,170604.061161547^12149.2991870723,164420.03592705^12149.3681870723,158236.01069255^12149.4371870723,152051.985458052^12149.4371870723,145867.960223553^12149.5061870723,139683.934989054^12149.5751870723,133499.909754556^12149.3681870723,127315.884520057^12149.5751870723,121131.859285559^12149.5061870723,114947.83405106^12149.6441870723,108763.877816561^12149.5751870723,102579.852582063^12149.5751870723,96395.827347564^12149.5751870723,90211.8711130654^12149.5061870723,84027.7768785667^12149.5751870723,77843.7516440682^12149.5061870723,71659.7264095694^12149.5751870723
71659.4504095694^1176.02638491764,77843.4756440682^1176.02638491764,84027.5008785667^1176.02638491764,90211.4571130654^1176.16438491764,96395.482347564^1176.09538491764,102579.576582063^1176.02638491764,108763.532816561^1176.02638491764,114947.48905106^1176.02638491764,121131.583285559^1175.95738491764,127315.470520057^1175.81938491764,133499.564754556^1175.88838491764,139683.589989054^1175.81938491764,145867.684223553^1174.50838491764,152051.709458052^1175.81938491764,158235.66569255^1175.81938491764,164419.62192705^1175.75038491764,170603.716161547^1175.61238491764,176787.672396046^1175.61238491764
176787.534396046^-9797.66041723698,170603.509161547^-9797.52241723698,164419.48392705^-9797.31541723698,158235.52769255^-9797.31541723698,152051.571458052^-9797.38441723698,145867.477223553^-9797.31541723698,139683.451989054^-9797.24641723698,133499.426754556^-9797.17741723698,127315.332520057^-9797.10841723698,121131.376285559^-9797.31541723698,114947.28205106^-9797.31541723698,108763.325816561^-9797.38441723698,102579.369582063^-9797.10841723698,96395.275347564^-9797.24641723698,90211.2501130654^-9797.17741723698,84027.2938785667^-9797.24641723698,77843.1996440682^-9797.38441723698,71659.2434095694^-9797.38441723698
71658.8984095694^-20770.6572193916,77842.8546440682^-20770.4502193916,84026.9488785667^-20770.3812193916,90210.9051130654^-20770.3812193916,96394.999347564^-20770.5192193916,102578.955582063^-20770.3812193916,108762.980816561^-20770.5882193916,114947.00605106^-20770.5882193916,121131.031285559^-20770.4502193916,127315.056520057^-20770.5192193916,133499.150754556^-20770.5192193916,139683.175989054^-20770.4502193916,145867.201223553^-20770.7262193916,152051.295458052^-20770.5192193916,158235.25169255^-20770.7262193916,164419.34592705^-20770.7262193916,170603.302161547^-20770.7262193916,176787.327396046^-20770.7262193916
176787.120396046^-31743.9300215462,170603.095161547^-31743.8610215462,164419.06992705^-31743.7920215462,158235.11369255^-31743.7230215462,152051.088458052^-31743.7920215462,145866.994223553^-31743.6540215462,139683.037989054^-31743.7920215462,133498.943754556^-31743.7230215462,127314.918520057^-31743.6540215462,121130.824285559^-31743.6540215462,114946.79905106^-31743.7230215462,108762.842816561^-31743.6540215462,102578.817582063^-31743.7920215462,96394.861347564^-31743.5850215462,90210.6981130654^-31743.6540215462,84026.7418785667^-31743.5160215462,77842.6476440682^-31743.5850215462,71658.6224095694^-31743.6540215462
71658.4154095694^-42716.7888237008,77842.3716440682^-42716.7888237008,84026.3968785667^-42716.7198237008,90210.4911130654^-42716.7888237008,96394.447347564^-42716.9958237008,102578.472582063^-42716.9268237008,108762.497816561^-42716.9958237008,114946.59205106^-42716.8578237008,121130.548285559^-42716.7888237008,127314.573520057^-42716.7888237008,133498.667754556^-42716.9268237008,139682.692989054^-42716.8578237008,145866.787223553^-42717.0648237008,152050.743458052^-42716.9958237008,158234.83769255^-42717.1338237008,164418.86292705^-42717.2028237008,170602.819161547^-42717.1338237008,176786.844396046^-42717.2028237008
176786.568396046^-53690.3376258555,170602.612161547^-53690.4066258555,164418.65592705^-53690.3376258555,158234.56169255^-53690.4066258555,152050.536458052^-53690.1996258555,145866.511223553^-53690.1996258555,139682.416989054^-53690.0616258555,133498.391754556^-53690.0616258555,127314.297520057^-53689.9926258555,121130.341285559^-53689.9926258555,114946.31605106^-53689.9926258555,108762.290816561^-53689.9926258555,102578.265582063^-53689.9236258555,96394.240347564^-53690.0616258555,90210.1461130654^-53690.1306258555,84026.1208785667^-53690.0616258555,77842.0266440682^-53690.1306258555,71658.0704095694^-53690.0616258555
71657.6564095694^-64663.1964280101,77841.6816440682^-64663.3344280101,84025.7758785667^-64663.2654280101,90209.8011130654^-64663.3344280101,96393.826347564^-64663.3344280101,102577.851582063^-64663.3344280101,108761.807816561^-64663.3344280101,114945.90205106^-64663.2654280101,121129.996285559^-64663.4724280101,127313.952520057^-64663.3344280101,133498.046754556^-64663.4034280101,139682.140989054^-64663.3344280101,145866.235223553^-64663.3344280101,152050.260458052^-64663.5414280101,158234.28569255^-64663.5414280101,164418.37992705^-64663.6104280101,170602.405161547^-64663.6794280101,176786.292396046^-64663.6104280101
176786.085396046^-75636.8832301647,170602.060161547^-75636.8832301647,164418.10392705^-75636.8832301647,158234.00969255^-75636.6072301647,152049.984458052^-75636.6072301647,145865.890223553^-75636.6762301647,139681.864989054^-75636.6072301647,133497.770754556^-75636.5382301647,127313.676520057^-75636.5382301647,121129.720285559^-75636.6072301647,114945.69505106^-75636.5382301647,108761.600816561^-75636.5382301647,102577.644582063^-75636.5382301647,96393.481347564^-75636.6072301647,90209.5251130654^-75636.6762301647,84025.4308785667^-75636.6072301647,77841.4056440682^-75636.6072301647,71657.3114095694^-75636.5382301647
71656.9664095694^-86609.8800323193,77841.0606440682^-86609.8800323193,84025.2238785667^-86609.8800323193,90209.1801130654^-86610.0180323193,96393.274347564^-86609.9490323193,102577.299582063^-86609.8800323193,108761.393816561^-86609.8800323193,114945.35005106^-86609.8800323193,121129.444285559^-86610.0180323193,127313.538520057^-86609.9490323193,133497.563754556^-86609.9490323193,139681.588989054^-86610.0180323193,145865.683223553^-86610.0180323193,152049.777458052^-86610.1560323193,158233.73369255^-86610.1560323193,164417.82792705^-86610.0870323193,170601.922161547^-86610.2940323193,176785.878396046^-86610.4320323193
176785.602396046^-97584.739834474,170601.508161547^-97583.566834474,164417.55192705^-97583.428834474,158233.52669255^-97583.428834474,152049.363458052^-97583.290834474,145865.407223553^-97583.290834474,139681.450989054^-97583.290834474,133497.218754556^-97583.221834474,127313.193520057^-97583.221834474,121129.030285559^-97583.290834474,114945.07405106^-97583.152834474,108760.979816561^-97583.152834474,102576.885582063^-97583.152834474,96392.929347564^-97583.152834474,90208.7661130654^-97583.221834474,84024.8098785667^-97583.290834474,77840.7846440682^-97583.290834474,71656.6904095694^-97583.290834474
71656.3454095694^-108556.494636629,77840.3706440682^-108556.563636629,84024.4648785667^-108556.563636629,90208.6281130654^-108556.563636629,96392.653347564^-108556.494636629,102576.747582063^-108556.563636629,108760.703816561^-108556.563636629,114944.79805106^-108556.494636629,121128.754285559^-108556.632636629,127312.917520057^-108556.770636629,133496.942754556^-108556.701636629,139681.036989054^-108556.632636629,145865.131223553^-108556.770636629,152049.087458052^-108556.770636629,158233.18169255^-108556.770636629,164417.27592705^-108557.046636629,170601.301161547^-108556.977636629,176785.395396046^-108557.115636629
