176794.830499004^77867.6450004713,170610.234043599^77867.6450004713,164425.637588194^77867.6450004713,158241.041132789^77867.6450004713,152056.444677384^77867.6450004713,145871.84822198^77867.6450004713,139687.251766575^77867.6450004713,133502.65531117^77867.6450004713,127318.058855765^77867.6450004713,121133.46240036^77867.6450004713,114948.865944955^77867.6450004713,108764.26948955^77867.6450004713,102579.673034146^77867.6450004713,96395.0765787407^77867.6450004713,90210.4801233358^77867.6450004713,84025.883667931^77867.6450004713,77841.2872125261^77867.6450004713,71656.6907571213^77867.6450004713
71656.6907571213^66895.4623494114,77841.2872125261^66895.4623494114,84025.883667931^66895.4623494114,90210.4801233358^66895.4623494114,96395.0765787407^66895.4623494114,102579.673034146^66895.4623494114,108764.26948955^66895.4623494114,114948.865944955^66895.4623494114,121133.46240036^66895.4623494114,127318.058855765^66895.4623494114,133502.65531117^66895.4623494114,139687.251766575^66895.4623494114,145871.84822198^66895.4623494114,152056.444677384^66895.4623494114,158241.041132789^66895.4623494114,164425.637588194^66895.4623494114,170610.234043599^66895.4623494114,176794.830499004^66895.4623494114
176794.830499004^55923.2796983515,170610.234043599^55923.2796983515,164425.637588194^55923.2796983515,158241.041132789^55923.2796983515,152056.444677384^55923.2796983515,145871.84822198^55923.2796983515,139687.251766575^55923.2796983515,133502.65531117^55923.2796983515,127318.058855765^55923.2796983515,121133.46240036^55923.2796983515,114948.865944955^55923.2796983515,108764.26948955^55923.2796983515,102579.673034146^55923.2796983515,96395.0765787407^55923.2796983515,90210.4801233358^55923.2796983515,84025.883667931^55923.2796983515,77841.2872125261^55923.2796983515,71656.6907571213^55923.2796983515
71656.6907571213^44951.0970472917,77841.2872125261^44951.0970472917,84025.883667931^44951.0970472917,90210.4801233358^44951.0970472917,96395.0765787407^44951.0970472917,102579.673034146^44951.0970472917,108764.26948955^44951.0970472917,114948.865944955^44951.0970472917,121133.46240036^44951.0970472917,127318.058855765^44951.0970472917,133502.65531117^44951.0970472917,139687.251766575^44951.0970472917,145871.84822198^44951.0970472917,152056.444677384^44951.0970472917,158241.041132789^44951.0970472917,164425.637588194^44951.0970472917,170610.234043599^44951.0970472917,176794.830499004^44951.0970472917
176794.830499004^33978.9143962318,170610.234043599^33978.9143962318,164425.637588194^33978.9143962318,158241.041132789^33978.9143962318,152056.444677384^33978.9143962318,145871.84822198^33978.9143962318,139687.251766575^33978.9143962318,133502.65531117^33978.9143962318,127318.058855765^33978.9143962318,121133.46240036^33978.9143962318,114948.865944955^33978.9143962318,108764.26948955^33978.9143962318,102579.673034146^33978.9143962318,96395.0765787407^33978.9143962318,90210.4801233358^33978.9143962318,84025.883667931^33978.9143962318,77841.2872125261^33978.9143962318,71656.6907571213^33978.9143962318
71656.6907571213^23006.7317451719,77841.2872125261^23006.7317451719,84025.883667931^23006.7317451719,90210.4801233358^23006.7317451719,96395.0765787407^23006.7317451719,102579.673034146^23006.7317451719,108764.26948955^23006.7317451719,114948.865944955^23006.7317451719,121133.46240036^23006.7317451719,127318.058855765^23006.7317451719,133502.65531117^23006.7317451719,139687.251766575^23006.7317451719,145871.84822198^23006.7317451719,152056.444677384^23006.7317451719,158241.041132789^23006.7317451719,164425.637588194^23006.7317451719,170610.234043599^23006.7317451719,176794.830499004^23006.7317451719
176794.830499004^12034.549094112,170610.234043599^12034.549094112,164425.637588194^12034.549094112,158241.041132789^12034.549094112,152056.444677384^12034.549094112,145871.84822198^12034.549094112,139687.251766575^12034.549094112,133502.65531117^12034.549094112,127318.058855765^12034.549094112,121133.46240036^12034.549094112,114948.865944955^12034.549094112,108764.26948955^12034.549094112,102579.673034146^12034.549094112,96395.0765787407^12034.549094112,90210.4801233358^12034.549094112,84025.883667931^12034.549094112,77841.2872125261^12034.549094112,71656.6907571213^12034.549094112
71656.6907571213^1062.36644305214,77841.2872125261^1062.36644305214,84025.883667931^1062.36644305214,90210.4801233358^1062.36644305214,96395.0765787407^1062.36644305214,102579.673034146^1062.36644305214,108764.26948955^1062.36644305214,114948.865944955^1062.36644305214,121133.46240036^1062.36644305214,127318.058855765^1062.36644305214,133502.65531117^1062.36644305214,139687.251766575^1062.36644305214,145871.84822198^1062.36644305214,152056.444677384^1062.36644305214,158241.041132789^1062.36644305214,164425.637588194^1062.36644305214,170610.234043599^1062.36644305214,176794.830499004^1062.36644305214
176794.830499004^-9909.81620800773,170610.234043599^-9909.81620800773,164425.637588194^-9909.81620800773,158241.041132789^-9909.81620800773,152056.444677384^-9909.81620800773,145871.84822198^-9909.81620800773,139687.251766575^-9909.81620800773,133502.65531117^-9909.81620800773,127318.058855765^-9909.81620800773,121133.46240036^-9909.81620800773,114948.865944955^-9909.81620800773,108764.26948955^-9909.81620800773,102579.673034146^-9909.81620800773,96395.0765787407^-9909.81620800773,90210.4801233358^-9909.81620800773,84025.883667931^-9909.81620800773,77841.2872125261^-9909.81620800773,71656.6907571213^-9909.81620800773
71656.6907571213^-20881.9988590676,77841.2872125261^-20881.9988590676,84025.883667931^-20881.9988590676,90210.4801233358^-20881.9988590676,96395.0765787407^-20881.9988590676,102579.673034146^-20881.9988590676,108764.26948955^-20881.9988590676,114948.865944955^-20881.9988590676,121133.46240036^-20881.9988590676,127318.058855765^-20881.9988590676,133502.65531117^-20881.9988590676,139687.251766575^-20881.9988590676,145871.84822198^-20881.9988590676,152056.444677384^-20881.9988590676,158241.041132789^-20881.9988590676,164425.637588194^-20881.9988590676,170610.234043599^-20881.9988590676,176794.830499004^-20881.9988590676
176794.830499004^-31854.1815101275,170610.234043599^-31854.1815101275,164425.637588194^-31854.1815101275,158241.041132789^-31854.1815101275,152056.444677384^-31854.1815101275,145871.84822198^-31854.1815101275,139687.251766575^-31854.1815101275,133502.65531117^-31854.1815101275,127318.058855765^-31854.1815101275,121133.46240036^-31854.1815101275,114948.865944955^-31854.1815101275,108764.26948955^-31854.1815101275,102579.673034146^-31854.1815101275,96395.0765787407^-31854.1815101275,90210.4801233358^-31854.1815101275,84025.883667931^-31854.1815101275,77841.2872125261^-31854.1815101275,71656.6907571213^-31854.1815101275
71656.6907571213^-42826.3641611874,77841.2872125261^-42826.3641611874,84025.883667931^-42826.3641611874,90210.4801233358^-42826.3641611874,96395.0765787407^-42826.3641611874,102579.673034146^-42826.3641611874,108764.26948955^-42826.3641611874,114948.865944955^-42826.3641611874,121133.46240036^-42826.3641611874,127318.058855765^-42826.3641611874,133502.65531117^-42826.3641611874,139687.251766575^-42826.3641611874,145871.84822198^-42826.3641611874,152056.444677384^-42826.3641611874,158241.041132789^-42826.3641611874,164425.637588194^-42826.3641611874,170610.234043599^-42826.3641611874,176794.830499004^-42826.3641611874
176794.830499004^-53798.5468122472,170610.234043599^-53798.5468122472,164425.637588194^-53798.5468122472,158241.041132789^-53798.5468122472,152056.444677384^-53798.5468122472,145871.84822198^-53798.5468122472,139687.251766575^-53798.5468122472,133502.65531117^-53798.5468122472,127318.058855765^-53798.5468122472,121133.46240036^-53798.5468122472,114948.865944955^-53798.5468122472,108764.26948955^-53798.5468122472,102579.673034146^-53798.5468122472,96395.0765787407^-53798.5468122472,90210.4801233358^-53798.5468122472,84025.883667931^-53798.5468122472,77841.2872125261^-53798.5468122472,71656.6907571213^-53798.5468122472
71656.6907571213^-64770.7294633071,77841.2872125261^-64770.7294633071,84025.883667931^-64770.7294633071,90210.4801233358^-64770.7294633071,96395.0765787407^-64770.7294633071,102579.673034146^-64770.7294633071,108764.26948955^-64770.7294633071,114948.865944955^-64770.7294633071,121133.46240036^-64770.7294633071,127318.058855765^-64770.7294633071,133502.65531117^-64770.7294633071,139687.251766575^-64770.7294633071,145871.84822198^-64770.7294633071,152056.444677384^-64770.7294633071,158241.041132789^-64770.7294633071,164425.637588194^-64770.7294633071,170610.234043599^-64770.7294633071,176794.830499004^-64770.7294633071
176794.830499004^-75742.912114367,170610.234043599^-75742.912114367,164425.637588194^-75742.912114367,158241.041132789^-75742.912114367,152056.444677384^-75742.912114367,145871.84822198^-75742.912114367,139687.251766575^-75742.912114367,133502.65531117^-75742.912114367,127318.058855765^-75742.912114367,121133.46240036^-75742.912114367,114948.865944955^-75742.912114367,108764.26948955^-75742.912114367,102579.673034146^-75742.912114367,96395.0765787407^-75742.912114367,90210.4801233358^-75742.912114367,84025.883667931^-75742.912114367,77841.2872125261^-75742.912114367,71656.6907571213^-75742.912114367
71656.6907571213^-86715.0947654269,77841.2872125261^-86715.0947654269,84025.883667931^-86715.0947654269,90210.4801233358^-86715.0947654269,96395.0765787407^-86715.0947654269,102579.673034146^-86715.0947654269,108764.26948955^-86715.0947654269,114948.865944955^-86715.0947654269,121133.46240036^-86715.0947654269,127318.058855765^-86715.0947654269,133502.65531117^-86715.0947654269,139687.251766575^-86715.0947654269,145871.84822198^-86715.0947654269,152056.444677384^-86715.0947654269,158241.041132789^-86715.0947654269,164425.637588194^-86715.0947654269,170610.234043599^-86715.0947654269,176794.830499004^-86715.0947654269
176794.830499004^-97687.2774164867,170610.234043599^-97687.2774164867,164425.637588194^-97687.2774164867,158241.041132789^-97687.2774164867,152056.444677384^-97687.2774164867,145871.84822198^-97687.2774164867,139687.251766575^-97687.2774164867,133502.65531117^-97687.2774164867,127318.058855765^-97687.2774164867,121133.46240036^-97687.2774164867,114948.865944955^-97687.2774164867,108764.26948955^-97687.2774164867,102579.673034146^-97687.2774164867,96395.0765787407^-97687.2774164867,90210.4801233358^-97687.2774164867,84025.883667931^-97687.2774164867,77841.2872125261^-97687.2774164867,71656.6907571213^-97687.2774164867
