195348.551184906^66895.4039991597,189163.994801821^66894.7139991597,182979.438418736^66894.8519991597,176794.744035651^66894.8519991597,170610.256652566^66894.7829991597,164425.700269482^66894.8519991597,158240.867886397^66894.9209991597,152056.242503312^66894.9899991597,145871.479120227^66894.8519991597,139686.922737143^66894.8519991597,133502.159354058^66894.7139991597,127317.602970973^66894.7829991597,121132.770587888^66894.7139991597,114948.007204804^66894.5759991597,108763.450821719^66894.5759991597,102578.963438634^66894.4379991597,96394.2000555491^66894.4379991597,90209.5056724643^66894.2999991597
90209.2986724643^55921.2059990762,96393.8550555491^55921.3439990762,102578.411438634^55921.3439990762,108763.174821719^55921.4129990762,114947.800204804^55921.4819990762,121132.494587888^55921.4819990762,127317.119970973^55921.4819990762,133501.745354058^55921.4819990762,139686.370737143^55921.4819990762,145871.134120227^55921.5509990762,152055.828503312^55921.6199990762,158240.384886397^55921.5509990762,164425.286269482^55921.6199990762,170609.842652566^55921.7579990762,176794.468035651^55921.6199990762,182979.162418736^55921.7579990762,189163.718801821^55921.7579990762,195348.275184906^55922.3099990762
195348.068184906^44949.0779989928,189163.511801821^44948.5949989928,182979.093418736^44948.3879989928,176794.192035651^44948.3879989928,170609.704652566^44948.5259989928,164425.079269482^44948.3879989928,158240.384886397^44948.3879989928,152055.759503312^44948.5259989928,145870.927120227^44948.3189989928,139686.301737143^44948.3879989928,133501.745354058^44948.3189989928,127316.981970973^44948.3189989928,121132.218587888^44948.3189989928,114947.593204804^44948.2499989928,108763.036821719^44948.2499989928,102578.204438634^44948.1119989928,96393.6480555491^44948.1119989928,90208.8846724643^44948.1119989928
90208.5396724643^33974.8799989093,96393.3030555491^33975.0179989093,102577.859438634^33975.0869989093,108762.553821719^33975.0179989093,114947.179204804^33975.0869989093,121131.804587888^33975.1559989093,127316.498970973^33975.1559989093,133501.124354058^33975.1559989093,139685.887737143^33975.1559989093,145870.513120227^33975.1559989093,152055.276503312^33975.2939989093,158239.901886397^33975.2249989093,164424.734269482^33975.4319989093,170609.221652566^33975.2939989093,176793.985035651^33975.3629989093,182978.541418736^33975.2939989093,189163.166801821^33975.2939989093,195347.792184906^33975.9149989093
195347.516184906^23002.7519988259,189163.028801821^23002.1999988259,182978.403418736^23002.1309988259,176793.709035651^23002.1999988259,170609.083652566^23002.1309988259,164424.458269482^23002.0619988259,158239.763886397^23002.1309988259,152055.138503312^23002.1999988259,145870.375120227^23002.0619988259,139685.611737143^23001.9239988259,133500.986354058^23002.1999988259,127316.222970973^23002.1309988259,121131.597587888^23001.9239988259,114946.903204804^23001.9239988259,108762.277821719^23001.9239988259,102577.652438634^23001.8549988259,96392.9580555491^23001.9239988259,90208.2636724643^23001.7859988259
90207.9186724643^12028.5539987424,96392.6130555491^12028.5539987424,102577.238438634^12028.6919987424,108761.932821719^12028.6919987424,114946.558204804^12028.6229987424,121131.183587888^12028.6919987424,127315.946970973^12028.6919987424,133500.641354058^12028.6919987424,139685.266737143^12028.7609987424,145869.961120227^12028.9679987424,152054.724503312^12028.8989987424,158239.349886397^12028.8989987424,164423.975269482^12028.8299987424,170608.738652566^12028.8299987424,176793.295035651^12028.8299987424,182977.920418736^12028.8989987424,189162.545801821^12028.8299987424,195347.309184906^12029.4509987424
195346.964184906^1055.87399865897,189162.338801821^1055.45999865897,182977.782418736^1055.45999865897,176793.088035651^1055.45999865897,170608.393652566^1055.45999865897,164423.837269482^1055.59799865897,158239.142886397^1055.45999865897,152054.448503312^1055.45999865897,145869.961120227^1055.11499865897,139685.059737143^1055.32199865897,133500.365354058^1055.25299865897,127315.670970973^1055.25299865897,121130.976587888^1055.18399865897,114946.351204804^1055.25299865897,108761.725821719^1055.18399865897,102577.031438634^1055.11499865897,96392.3370555491^1055.18399865897,90207.6426724643^1055.18399865897
90207.3666724643^-9918.18600142448,96391.9920555491^-9918.11700142448,102576.686438634^-9918.04800142448,108761.380821719^-9918.25500142448,114945.937204804^-9918.11700142448,121130.769587888^-9918.04800142448,127315.325970973^-9917.91000142448,133500.020354058^-9917.84100142448,139684.714737143^-9917.91000142448,145869.409120227^-9917.91000142448,152054.103503312^-9917.84100142448,158238.797886397^-9917.84100142448,164423.423269482^-9917.77200142448,170608.117652566^-9917.91000142448,176792.812035651^-9918.04800142448,182977.437418736^-9917.91000142448,189162.131801821^-9917.77200142448,195346.757184906^-9917.22000142448
195346.550184906^-20890.3830015079,189161.855801821^-20890.8660015079,182977.230418736^-20890.9350015079,176792.605035651^-20890.8660015079,170607.979652566^-20890.9350015079,164423.423269482^-20891.0040015079,158238.590886397^-20891.1420015079,152053.965503312^-20891.0040015079,145869.202120227^-20891.1420015079,139684.507737143^-20891.0040015079,133499.813354058^-20891.0730015079,127315.118970973^-20891.1420015079,121130.424587888^-20891.1420015079,114945.799204804^-20891.3490015079,108761.035821719^-20891.2800015079,102576.479438634^-20891.1420015079,96391.7160555491^-20891.2800015079,90207.0216724643^-20891.4180015079
90206.8146724643^-31864.5120015914,96391.4400555491^-31864.5120015914,102576.065438634^-31864.5120015914,108760.759821719^-31864.5120015914,114945.385204804^-31864.4430015914,121130.010587888^-31864.3740015914,127314.842970973^-31864.3740015914,133499.468354058^-31864.3740015914,139684.300737143^-31864.3050015914,145868.926120227^-31864.2360015914,152053.551503312^-31864.2360015914,158238.245886397^-31864.1670015914,164423.147269482^-31864.3050015914,170607.634652566^-31864.2360015914,176792.329035651^-31864.0980015914,182977.023418736^-31864.2360015914,189161.579801821^-31864.0980015914,195346.343184906^-31863.5460015914
195345.929184906^-42836.7780016748,189161.303801821^-42837.3300016748,182976.747418736^-42837.3300016748,176792.053035651^-42837.3300016748,170607.496652566^-42837.3300016748,164422.802269482^-42837.3300016748,158238.038886397^-42837.3300016748,152053.413503312^-42837.2610016748,145868.719120227^-42837.3990016748,139683.955737143^-42837.2610016748,133499.261354058^-42837.4680016748,127314.566970973^-42837.4680016748,121129.941587888^-42837.4680016748,114945.178204804^-42837.6060016748,108760.552821719^-42837.6060016748,102575.858438634^-42837.6750016748,96391.1640555491^-42837.8820016748,90206.5386724643^-42837.7440016748
90206.1246724643^-53810.9760017583,96390.8190555491^-53810.9760017583,102575.444438634^-53810.9070017583,108760.138821719^-53810.8380017583,114944.764204804^-53810.7000017583,121129.596587888^-53810.7000017583,127314.152970973^-53810.6310017583,133498.847354058^-53810.7000017583,139683.541737143^-53810.5620017583,145868.236120227^-53810.7000017583,152052.930503312^-53810.7000017583,158237.624886397^-53810.7000017583,164422.457269482^-53810.7000017583,170607.013652566^-53810.5620017583,176791.708035651^-53810.5620017583,182976.333418736^-53810.5620017583,189161.027801821^-53810.5620017583,195345.653184906^-53810.0100017583
195345.377184906^-64783.2420018417,189160.682801821^-64783.9320018417,182976.057418736^-64783.7940018417,176791.432035651^-64783.7250018417,170606.875652566^-64783.7940018417,164422.181269482^-64783.7940018417,158237.555886397^-64783.7940018417,152052.792503312^-64783.7940018417,145868.029120227^-64783.7940018417,139683.265737143^-64783.7940018417,133498.571354058^-64783.9320018417,127313.876970973^-64783.9320018417,121129.182587888^-64784.0700018417,114944.419204804^-64784.0010018417,108759.793821719^-64784.0010018417,102575.099438634^-64784.0700018417,96390.4050555491^-64784.0700018417,90205.7106724643^-64784.2080018417
90205.3656724643^-75757.5780019252,96389.9910555491^-75757.4400019252,102574.754438634^-75757.3020019252,108759.448821719^-75757.3710019252,114944.074204804^-75757.3020019252,121128.906587888^-75757.2330019252,127313.462970973^-75757.1640019252,133498.226354058^-75757.1640019252,139682.989737143^-75757.1640019252,145867.684120227^-75757.2330019252,152052.309503312^-75757.0260019252,158237.072886397^-75757.0260019252,164421.836269482^-75757.1640019252,170606.461652566^-75757.0950019252,176791.087035651^-75757.1640019252,182975.781418736^-75757.0260019252,189160.475801821^-75757.2330019252,195345.032184906^-75756.5430019252
