-919487|1820122,-969465|1820122,-1019442|1820122,-1069421|1820122,-1119399|1820122,-1169355|1820122,-1219333|1820100,-1269246|1820078,-1319268|1820100,-1369225|1820078,-1419182|1820056,-1469183|1820078,-1519161|1820100,-1569139|1820100,-1619139|1820100,-1669117|1820100,-1719096|1820100,-1769074|1820100,-1819052|1820100,-1869008|1820078,-1918987|1820078,-1968943|1820078,-2018899|1820055,-2068899|1820077,-2118855|1820056,-2168811|1820034,-2218811|1820033,-2268811|1820034,-2318790|1820011,-2368747|1820013,-2418725|1820013,-2468703|1819991
-919468|1770122,-969447|1770144,-1019425|1770144,-1069380|1770144,-1119360|1770144,-1169338|1770122,-1219317|1770122,-1269273|1770122,-1319251|1770122,-1369207|1770100,-1419185|1770123,-1469162|1770122,-1519140|1770122,-1569118|1770122,-1619118|1770122,-1669097|1770122,-1719054|1770122,-1769054|1770122,-1819031|1770122,-1869010|1770122,-1918966|1770122,-1968923|1770100,-2018901|1770100,-2068879|1770100,-2118856|1770100,-2168791|1770056,-2218813|1770078,-2268791|1770056,-2318703|1770035,-2368747|1770056,-2418703|1770034,-2468703|1770035
-919469|1720166,-969447|1720166,-1019425|1720166,-1069403|1720166,-1119359|1720166,-1169338|1720166,-1219294|1720144,-1269273|1720144,-1319230|1720144,-1369208|1720144,-1419187|1720144,-1469143|1720144,-1519121|1720144,-1569121|1720166,-1619099|1720144,-1669077|1720144,-1719055|1720144,-1769033|1720144,-1819011|1720144,-1868991|1720144,-1918947|1720144,-1968925|1720122,-2018881|1720122,-2068859|1720122,-2118838|1720122,-2168794|1720099,-2218795|1720099,-2268773|1720100,-2318751|1720078,-2368729|1720058,-2418686|1720056,-2468664|1720056
-919446|1670187,-969426|1670187,-1019404|1670165,-1069382|1670187,-1119338|1670165,-1169316|1670187,-1219293|1670187,-1269251|1670165,-1319230|1670165,-1369186|1670143,-1419166|1670143,-1469143|1670143,-1519121|1670165,-1569100|1670165,-1619078|1670165,-1669078|1670187,-1719056|1670165,-1769036|1670165,-1819015|1670165,-1868970|1670143,-1918926|1670143,-1968904|1670143,-2018882|1670143,-2068838|1670143,-2118816|1670121,-2168794|1670121,-2218772|1670121,-2268750|1670121,-2318728|1670099,-2368706|1670099,-2418685|1670077,-2468664|1670077
-919424|1620208,-969404|1620186,-1019382|1620208,-1069360|1620208,-1119337|1620186,-1169316|1620187,-1219271|1620186,-1269249|1620209,-1319205|1620163,-1369183|1620163,-1419139|1620163,-1469117|1620163,-1519095|1620163,-1569095|1620207,-1619074|1620185,-1669052|1620185,-1719030|1620185,-1769009|1620185,-1818987|1620185,-1868943|1620163,-1918921|1620163,-1968877|1620163,-2018855|1620163,-2068832|1620163,-2118810|1620163,-2168789|1620141,-2218767|1620141,-2268745|1620140,-2318722|1620119,-2368701|1620097,-2418658|1620097,-2468636|1620097
-919419|1570206,-969397|1570206,-1019375|1570228,-1069353|1570206,-1119309|1570206,-1169287|1570206,-1219264|1570206,-1269221|1570206,-1319200|1570184,-1369155|1570184,-1419135|1570184,-1469092|1570206,-1519092|1570184,-1569071|1570206,-1619049|1570206,-1669049|1570206,-1719028|1570206,-1768984|1570206,-1818963|1570207,-1868941|1570186,-1918898|1570185,-1968876|1570185,-2018832|1570207,-2068810|1570186,-2118788|1570163,-2168766|1570163,-2218744|1570163,-2268722|1570141,-2318701|1570141,-2368680|1570119,-2418658|1570119,-2468636|1570119
-919397|1520228,-969375|1520228,-1019352|1520228,-1069332|1520228,-1119311|1520228,-1169290|1520228,-1219246|1520228,-1269224|1520228,-1319180|1520206,-1369136|1520206,-1419114|1520228,-1469092|1520206,-1519070|1520206,-1569048|1520228,-1619048|1520228,-1669027|1520228,-1719005|1520227,-1768983|1520227,-1818960|1520205,-1868917|1520205,-1918895|1520205,-1968851|1520205,-2018829|1520205,-2068807|1520206,-2118764|1520183,-2168742|1520183,-2218741|1520183,-2268719|1520161,-2318698|1520161,-2368676|1520139,-2418632|1520139,-2468610|1520117
-919396|1470267,-969374|1470245,-1019352|1470245,-1069309|1470245,-1119287|1470245,-1169265|1470245,-1219221|1470245,-1269199|1470245,-1319156|1470223,-1369134|1470223,-1419112|1470223,-1469091|1470224,-1519069|1470246,-1569047|1470246,-1618981|1470291,-1669003|1470247,-1718981|1470247,-1768959|1470247,-1818937|1470225,-1868916|1470225,-1918872|1470225,-1968850|1470225,-2018806|1470225,-2068784|1470225,-2118762|1470225,-2168741|1470203,-2218719|1470203,-2268697|1470181,-2318675|1470181,-2368653|1470159,-2418632|1470160,-2468588|1470139
-919374|1420267,-969352|1420267,-1019330|1420267,-1069308|1420267,-1119287|1420267,-1169243|1420267,-1219220|1420267,-1269176|1420267,-1319154|1420267,-1369110|1420245,-1419088|1420246,-1469067|1420245,-1519044|1420266,-1569022|1420289,-1619022|1420266,-1668999|1420266,-1718977|1420266,-1768955|1420266,-1818911|1420288,-1868889|1420244,-1918867|1420267,-1968823|1420244,-2018801|1420244,-2068779|1420245,-2118735|1420244,-2168713|1420222,-2218691|1420222,-2268690|1420222,-2318670|1420200,-2368626|1420178,-2418626|1420178,-2468583|1420156
-919353|1370286,-969331|1370309,-1019309|1370309,-1069287|1370332,-1119265|1370354,-1169243|1370310,-1219199|1370288,-1269155|1370288,-1319133|1370288,-1369111|1370288,-1419089|1370288,-1469045|1370288,-1519023|1370288,-1569002|1370288,-1619002|1370288,-1668914|1370354,-1718958|1370288,-1768935|1370288,-1818913|1370288,-1868871|1370288,-1918848|1370288,-1968826|1370288,-2018782|1370266,-2068760|1370266,-2118716|1370266,-2168715|1370266,-2218693|1370266,-2268671|1370244,-2318649|1370222,-2368627|1370222,-2418605|1370200,-2468561|1370200
