-798566|1818087,-848544|1818037,-898500|1817950,-948478|1817906,-998457|1817863,-1048435|1817818,-1098413|1817753,-1148369|1817706,-1198347|1817643,-1248303|1817577
-798503|1768124,-848481|1768058,-898437|1768014,-948415|1767948,-998392|1767882,-1048370|1767860,-1098326|1767794,-1148304|1767728,-1198281|1767684,-1248237|1767618
-798437|1718147,-848390|1718095,-898370|1718028,-948348|1717985,-998327|1717937,-1048281|1717875,-1098260|1717809,-1148238|1717765,-1198194|1717677,-1248171|1717652
-798347|1668158,-848325|1668110,-898281|1668044,-948259|1667978,-998239|1667934,-1048216|1667890,-1098194|1667846,-1148150|1667780,-1198127|1667714,-1248084|1667677
-798280|1618179,-848257|1618130,-898214|1618086,-948192|1618020,-998171|1617976,-1048149|1617910,-1098127|1617844,-1148083|1617800,-1198061|1617752,-1248017|1617664
-798215|1568217,-848170|1568151,-898150|1568088,-948128|1568041,-998083|1567976,-1048062|1567908,-1098040|1567887,-1147995|1567775,-1197974|1567754,-1247952|1567713
-798149|1518239,-848061|1518217,-898039|1518150,-948061|1518062,-997995|1517994,-1047997|1517952,-1097974|1517886,-1147952|1517841,-1197910|1517776,-1247887|1517732
-798062|1468275,-848041|1468187,-897997|1468143,-947975|1468077,-997953|1468012,-1047931|1467967,-1097909|1467923,-1147865|1467857,-1197843|1467791,-1247799|1467754
-797996|1418275,-847974|1418229,-897930|1418164,-947908|1418119,-997886|1418052,-1047864|1418007,-1097820|1417961,-1147798|1417897,-1197754|1417831,-1247733|1417765
-797911|1368331,-847888|1368246,-897866|1368199,-947822|1368135,-997799|1368089,-1047778|1368045,-1097756|1367979,-1147712|1367913,-1197690|1367869,-1247646|1367810
