-1527783|1042702,-1577783|1042350,-1627754|1041976,-1677747|1041624,-1727718|1041250,-1777711|1040898,-1827682|1040524,-1877653|1040150,-1927624|1039798
-1527406|992701,-1577391|992349,-1627376|991997,-1677361|991622,-1727348|991271,-1777332|990897,-1827295|990545,-1877280|990171,-1927243|989798
-1527025|942723,-1577018|942371,-1627011|941997,-1676983|941645,-1726976|941271,-1776947|940919,-1826918|940545,-1876911|940193,-1926882|939819
-1526665|892745,-1576650|892393,-1626634|892019,-1676620|891666,-1726583|891292,-1776567|890919,-1826554|890567,-1876516|890193,-1926501|889841
-1526284|842767,-1576255|842392,-1626248|842041,-1676241|841689,-1726213|841315,-1776206|840941,-1826177|840589,-1876148|840215,-1926120|839863
-1525904|792767,-1575889|792415,-1625873|792063,-1675858|791689,-1725844|791337,-1775829|790963,-1825792|790611,-1875777|790237,-1925740|789863
-1525524|742811,-1575516|742437,-1625487|742085,-1675480|741733,-1725474|741359,-1775445|740985,-1825416|740633,-1875387|740259,-1925358|739885
-1525141|692811,-1575127|692459,-1625112|692107,-1675097|691733,-1725082|691381,-1775067|691007,-1825052|690655,-1875015|690281,-1925000|689907
