-1527783|1042702,-1577783|1042702,-1627754|1042702,-1677725|1042702,-1727696|1042702,-1777667|1042702,-1827638|1042702,-1877609|1042702,-1927580|1042702
-1527318|992701,-1577347|992701,-1627376|992701,-1677405|992701,-1727434|992701,-1777464|992701,-1827493|992701,-1877522|992701,-1927551|992701
-1527289|942701,-1577260|942701,-1627232|942701,-1677203|942701,-1727174|942701,-1777145|942701,-1827116|942701,-1877087|942701,-1927058|942701
-1526797|892701,-1576826|892701,-1626855|892701,-1676884|892701,-1726913|892701,-1776942|892701,-1826971|892701,-1877000|892701,-1927029|892701
-1526768|842701,-1576739|842701,-1626710|842701,-1676682|842701,-1726653|842701,-1776624|842701,-1826595|842701,-1876567|842701,-1926539|842701
-1526278|792701,-1576307|792701,-1626336|792701,-1676364|792701,-1726393|792701,-1776423|792701,-1826452|792701,-1876481|792701,-1926510|792701
-1526249|742701,-1576220|742701,-1626191|742701,-1676163|742701,-1726134|742701,-1776105|742701,-1826076|742701,-1876047|742701,-1926019|742701
-1525758|692701,-1575787|692701,-1625816|692701,-1675845|692701,-1725874|692701,-1775903|692701,-1825932|692701,-1875961|692701,-1925990|692701
-1525729|642701,-1575700|642701,-1625671|642701,-1675642|642701,-1725613|642701,-1775584|642701,-1825555|642701,-1875526|642701,-1925497|642701
