-172079|1731640,-222080|1731640,-272080|1731640,-322080|1731640,-372080|1731640,-422080|1731640,-472080|1731640,-522080|1731640,-572080|1731640,-622080|1731640,-672080|1731640,-722080|1731640,-772080|1731640,-822081|1731640,-872081|1731640,-922082|1731640,-972083|1731640,-1022083|1731640,-1072083|1731640,-1122083|1731640,-1172083|1731640,-1222082|1731640,-1272082|1731640,-1322082|1731640,-1372082|1731640,-1422082|1731640,-1472082|1731640,-1522082|1731640,-1572082|1731640,-1622082|1731640,-1672081|1731640,-1722081|1731640
-172077|1681641,-222077|1681641,-272077|1681641,-322077|1681641,-372077|1681641,-422077|1681641,-472077|1681641,-522077|1681641,-572077|1681641,-622078|1681641,-672078|1681641,-722079|1681641,-772080|1681641,-822080|1681641,-872080|1681641,-922080|1681641,-972081|1681641,-1022081|1681641,-1072081|1681641,-1122081|1681641,-1172081|1681641,-1222081|1681641,-1272081|1681641,-1322081|1681641,-1372081|1681641,-1422081|1681641,-1472081|1681641,-1522081|1681641,-1572080|1681640,-1622081|1681640,-1672081|1681640,-1722081|1681640
-172077|1631641,-222077|1631641,-272077|1631641,-322077|1631641,-372077|1631641,-422077|1631641,-472077|1631641,-522077|1631641,-572077|1631641,-622077|1631641,-672077|1631641,-722077|1631641,-772077|1631641,-822077|1631641,-872077|1631641,-922077|1631641,-972077|1631641,-1022077|1631641,-1072077|1631641,-1122077|1631641,-1172077|1631641,-1222078|1631641,-1272078|1631641,-1322078|1631641,-1372078|1631641,-1422078|1631641,-1472078|1631641,-1522078|1631641,-1572078|1631641,-1622078|1631641,-1672078|1631641,-1722078|1631642
-172072|1581641,-222072|1581641,-272072|1581641,-322073|1581641,-372073|1581641,-422073|1581641,-472074|1581641,-522074|1581641,-572075|1581641,-622075|1581641,-672075|1581641,-722075|1581641,-772075|1581641,-822075|1581641,-872075|1581641,-922076|1581641,-972076|1581641,-1022076|1581641,-1072076|1581641,-1122076|1581641,-1172076|1581641,-1222076|1581641,-1272076|1581641,-1322076|1581641,-1372076|1581641,-1422076|1581641,-1472076|1581641,-1522076|1581641,-1572077|1581641,-1622077|1581641,-1672078|1581641,-1722078|1581641
-172072|1531641,-222072|1531641,-272072|1531641,-322073|1531641,-372073|1531641,-422073|1531641,-472073|1531641,-522073|1531641,-572073|1531641,-622073|1531641,-672073|1531641,-722073|1531642,-772073|1531642,-822073|1531642,-872073|1531642,-922073|1531642,-972073|1531642,-1022073|1531642,-1072073|1531642,-1122073|1531642,-1172073|1531642,-1222074|1531642,-1272075|1531642,-1322075|1531642,-1372075|1531642,-1422075|1531642,-1472075|1531642,-1522075|1531642,-1572076|1531642,-1622076|1531642,-1672076|1531642,-1722076|1531642
-172074|1481642,-222074|1481642,-272074|1481642,-322074|1481642,-372074|1481642,-422075|1481642,-472075|1481642,-522075|1481642,-572075|1481642,-622075|1481642,-672075|1481642,-722075|1481642,-772075|1481642,-822075|1481642,-872075|1481642,-922075|1481642,-972075|1481642,-1022075|1481642,-1072075|1481642,-1122075|1481642,-1172076|1481642,-1222076|1481642,-1272076|1481642,-1322076|1481642,-1372076|1481642,-1422076|1481642,-1472076|1481642,-1522076|1481642,-1572076|1481642,-1622076|1481642,-1672076|1481642,-1722076|1481642
-172073|1431642,-222073|1431642,-272073|1431642,-322073|1431642,-372073|1431642,-422073|1431642,-472073|1431642,-522073|1431642,-572073|1431642,-622074|1431642,-672074|1431642,-722075|1431642,-772075|1431642,-822075|1431642,-872075|1431642,-922075|1431642,-972075|1431642,-1022076|1431642,-1072077|1431642,-1122077|1431642,-1172077|1431642,-1222077|1431642,-1272077|1431642,-1322077|1431642,-1372077|1431642,-1422078|1431642,-1472078|1431642,-1522078|1431642,-1572078|1431642,-1622078|1431642,-1672078|1431642,-1722078|1431642
-172075|1381643,-222075|1381643,-272075|1381643,-322075|1381643,-372075|1381643,-422075|1381643,-472075|1381643,-522075|1381643,-572075|1381643,-622076|1381643,-672076|1381643,-722076|1381643,-772076|1381643,-822076|1381642,-872077|1381642,-922077|1381642,-972077|1381642,-1022077|1381642,-1072077|1381642,-1122077|1381642,-1172077|1381642,-1222077|1381642,-1272077|1381642,-1322077|1381642,-1372077|1381642,-1422078|1381642,-1472078|1381642,-1522078|1381642,-1572078|1381642,-1622078|1381642,-1672078|1381642,-1722078|1381642
-172075|1331642,-222076|1331642,-272076|1331642,-322076|1331642,-372076|1331642,-422076|1331642,-472077|1331642,-522077|1331642,-572078|1331642,-622078|1331642,-672078|1331642,-722078|1331642,-772078|1331642,-822078|1331642,-872078|1331642,-922078|1331642,-972078|1331642,-1022077|1331642,-1072077|1331642,-1122077|1331642,-1172077|1331642,-1222077|1331642,-1272077|1331642,-1322078|1331642,-1372078|1331642,-1422078|1331642,-1472078|1331642,-1522078|1331642,-1572078|1331642,-1622078|1331642,-1672078|1331642,-1722078|1331642
-172074|1281642,-222074|1281642,-272074|1281642,-322074|1281642,-372074|1281642,-422074|1281642,-472074|1281642,-522075|1281642,-572075|1281642,-622075|1281642,-672075|1281642,-722075|1281642,-772075|1281642,-822075|1281642,-872076|1281642,-922076|1281642,-972076|1281642,-1022076|1281642,-1072076|1281642,-1122076|1281642,-1172076|1281642,-1222076|1281642,-1272076|1281642,-1322076|1281642,-1372076|1281642,-1422076|1281642,-1472077|1281642,-1522078|1281642,-1572078|1281642,-1622078|1281642,-1672078|1281642,-1722078|1281642
