-1463463|640866,-1513441|641196,-1563419|641504,-1613397|641834
-1463747|590907,-1513748|591237,-1563705|591545,-1613705|591878
-1464055|540928,-1514033|541260,-1564033|541590,-1614012|541897
-1464363|490973,-1514342|491303,-1564320|491611,-1614321|491942
