189452.339037802-67006.6080001218,183268.14052834-67006.8840001218,177083.735018877-67006.8840001218,170899.467509415-67006.8840001218,164715.061999953-67006.9530001218,158530.656490491-67007.0910001218,152346.250981028-67007.1600001218,146161.776471566-67007.0910001218,139977.370962104-67007.1600001218,133792.896452642-67007.1600001218,127608.49094318-67007.1600001218,121424.154433718-67007.1600001218,115239.679924256-67007.1600001218,109055.274414793-67007.0910001218,102870.937905331-67007.0910001218
41026.6758107094-56033.7095913418,47211.0123201715-56033.8475913418,53395.4868296339-56033.9855913418,59579.892339096-56033.9855913418,65764.2978485581-56033.9855913418,71948.7723580205-56033.8475913418,78133.1778674826-56033.9855913418,84317.5833769446-56033.9855913418,90501.9888864067-56033.9855913418,96686.4633958691-56034.0545913418,102870.730905331-56033.9855913418,109055.136414793-56033.9855913418,115239.541924256-56033.9855913418,121423.947433718-56033.8475913418,127608.42194318-56033.9855913418
189452.408037802-45060.3971825618,183268.14052834-45060.3971825618,177083.735018877-45060.5351825618,170899.398509415-45060.6731825618,164715.061999953-45060.6731825618,158530.587490491-45060.7421825618,152346.181981028-45060.7421825618,146161.707471566-45060.7421825618,139977.301962104-45060.7421825618,133792.896452642-45060.8111825618,127608.49094318-45060.8111825618,121424.016433718-45060.9491825618,115239.679924256-45060.9491825618,109055.274414793-45060.9491825618,102870.868905331-45060.9491825618
41026.5378107094-34087.6367737818,47210.9433201715-34087.7057737818,53395.3488296339-34087.7747737818,59579.754339096-34087.7747737818,65764.2288485581-34087.7747737818,71948.6343580205-34087.7747737818,78133.0398674826-34087.8437737818,84317.4453769446-34087.7747737818,90501.8508864067-34087.7747737818,96686.3253958691-34087.7747737818,102870.730905331-34087.7747737818,109055.067414793-34087.7747737818,115239.472924256-34087.7747737818,121423.809433718-34087.7747737818,127608.28394318-34087.7057737818
189452.339037802-23114.1863650018,183268.071528339-23114.3933650018,177083.666018877-23114.4623650018,170899.329509415-23114.4623650018,164714.992999953-23114.4623650018,158530.518490491-23114.6003650018,152346.181981028-23114.6003650018,146161.707471566-23114.6003650018,139977.232962104-23114.6003650018,133792.827452642-23114.7383650018,127608.35294318-23114.7383650018,121423.947433718-23114.6693650018,115239.541924256-23114.7383650018,109055.136414793-23114.7383650018,102870.730905331-23114.7383650018
41026.3998107094-12141.2879562218,47210.8053201715-12141.4259562218,53395.2108296339-12141.4949562218,59579.616339096-12141.3569562218,65764.0908485581-12141.4949562218,71948.4963580205-12141.5639562218,78132.9708674826-12141.4949562218,84317.3763769446-12141.5639562218,90501.7818864067-12141.5639562218,96686.2563958691-12141.5639562218,102870.592905331-12141.5639562218,109054.998414793-12141.4949562218,115239.403924256-12141.4949562218,121423.740433718-12141.4259562218,127608.21494318-12141.4949562218
189452.408037802-1167.69954744183,183268.00252834-1167.83754744183,177083.597018877-1167.90654744183,170899.329509415-1167.97554744183,164714.923999953-1167.97554744183,158530.449490491-1167.97554744183,152346.043981028-1168.11354744183,146161.707471566-1167.83754744183,139977.163962104-1168.04454744183,133792.758452642-1168.11354744183,127608.35294318-1168.11354744183,121423.947433718-1168.11354744183,115239.541924256-1168.11354744183,109055.136414793-1168.18254744183,102870.730905331-1168.25154744183
41026.3308107094--9805.12986133817,47210.6673201715--9805.19886133817,53395.1418296339--9805.06086133817,59579.547339096--9805.19886133817,65764.0218485581--9804.99186133817,71948.4273580205--9805.12986133817,78132.9018674826--9805.12986133817,84317.3073769446--9804.99186133817,90501.7128864067--9804.92286133817,96686.1873958691--9805.06086133817,102870.523905331--9805.06086133817,109054.998414793--9805.19886133817,115239.403924256--9805.19886133817,121423.809433718--9805.19886133817,127608.21494318--9805.06086133817
189452.339037802--20778.5802701182,183268.00252834--20778.3732701182,177083.666018877--20778.3732701182,170899.329509415--20778.3042701182,164714.923999953--20778.3042701182,158530.380490491--20778.3732701182,152346.043981028--20778.1662701182,146161.569471566--20778.2352701182,139977.163962104--20778.0972701182,133792.758452642--20778.0972701182,127608.28394318--20778.2352701182,121423.878433718--20778.0972701182,115239.403924256--20778.2352701182,109054.998414793--20778.2352701182,102870.592905331--20778.0972701182
41026.1928107094--31751.5476788982,47210.5293201715--31751.5476788982,53395.0728296339--31751.3406788982,59579.478339096--31751.2716788982,65763.8838485581--31751.2716788982,71948.3583580205--31751.2716788982,78132.8328674826--31751.2026788982,84317.2383769446--31751.2026788982,90501.6438864067--31751.2716788982,96686.0493958691--31751.2716788982,102870.454905331--31751.3406788982,109054.860414793--31751.2716788982,115239.265924256--31751.3406788982,121423.671433718--31751.4096788982,127608.21494318--31751.3406788982
189452.339037802--42724.7910876782,183268.00252834--42724.5840876782,177083.597018877--42724.5150876782,170899.260509415--42724.5840876782,164714.854999953--42724.4460876782,158530.380490491--42724.4460876782,152345.974981028--42724.3770876782,146161.569471566--42724.3770876782,139977.094962104--42724.3770876782,133792.620452642--42724.3770876782,127608.21494318--42724.3770876782,121423.740433718--42724.3080876782,115239.403924256--42724.3770876782,109054.929414793--42724.4460876782,102870.523905331--42724.4460876782
