189452.339037802-67006.6080001218,183268.14052834-67006.8840001218,177083.735018877-67006.8840001218,170899.467509415-67006.8840001218,164715.061999953-67006.9530001218,158530.656490491-67007.0910001218,152346.250981028-67007.1600001218,146161.776471566-67007.0910001218,139977.370962104-67007.1600001218,133792.896452642-67007.1600001218,127608.49094318-67007.1600001218,121424.154433718-67007.1600001218,115239.679924256-67007.1600001218,109055.274414793-67007.0910001218,102870.937905331-67007.0910001218,96686.6013958691-67007.1600001218,90502.1958864067-67007.0220001218,84317.6523769447-67007.1600001218,78133.2468674826-67007.1600001218,71948.8413580205-67007.0910001218,65764.4358485581-67007.0910001218,59580.030339096-67007.1600001218,53395.5558296339-67007.0220001218,47211.0813201715-67007.0220001218,41026.7448107094-67007.0220001218
41026.6758107094-56033.7095913418,47211.0123201715-56033.8475913418,53395.4868296339-56033.9855913418,59579.892339096-56033.9855913418,65764.2978485581-56033.9855913418,71948.7723580205-56033.8475913418,78133.1778674826-56033.9855913418,84317.5833769446-56033.9855913418,90501.9888864067-56033.9855913418,96686.4633958691-56034.0545913418,102870.730905331-56033.9855913418,109055.136414793-56033.9855913418,115239.541924256-56033.9855913418,121423.947433718-56033.8475913418,127608.42194318-56033.9855913418,133792.758452642-56033.9165913418,139977.163962104-56033.8475913418,146161.569471566-56033.8475913418,152346.043981028-56033.8475913418,158530.380490491-56033.7785913418,164714.923999953-56033.7785913418,170899.329509415-56033.7095913418,177083.597018877-56033.7095913418,183268.00252834-56033.7095913418,189452.339037802-56033.7095913418
189452.408037802-45060.3971825618,183268.14052834-45060.3971825618,177083.735018877-45060.5351825618,170899.398509415-45060.6731825618,164715.061999953-45060.6731825618,158530.587490491-45060.7421825618,152346.181981028-45060.7421825618,146161.707471566-45060.7421825618,139977.301962104-45060.7421825618,133792.896452642-45060.8111825618,127608.49094318-45060.8111825618,121424.016433718-45060.9491825618,115239.679924256-45060.9491825618,109055.274414793-45060.9491825618,102870.868905331-45060.9491825618,96686.5323958691-45060.9491825618,90502.0578864067-45060.8801825618,84317.6523769447-45060.8801825618,78133.2468674826-45060.8801825618,71948.8413580205-45060.9491825618,65764.3668485581-45060.8801825618,59579.892339096-45060.8801825618,53395.4868296339-45060.8801825618,47211.0813201715-45060.8111825618,41026.6068107094-45060.8111825618
41026.5378107094-34087.6367737818,47210.9433201715-34087.7057737818,53395.3488296339-34087.7747737818,59579.754339096-34087.7747737818,65764.2288485581-34087.7747737818,71948.6343580205-34087.7747737818,78133.0398674826-34087.8437737818,84317.4453769446-34087.7747737818,90501.8508864067-34087.7747737818,96686.3253958691-34087.7747737818,102870.730905331-34087.7747737818,109055.067414793-34087.7747737818,115239.472924256-34087.7747737818,121423.809433718-34087.7747737818,127608.28394318-34087.7057737818,133792.689452642-34087.7057737818,139977.163962104-34087.7057737818,146161.569471566-34087.6367737818,152345.974981028-34087.6367737818,158530.380490491-34087.6367737818,164714.854999953-34087.6367737818,170899.191509415-34087.4987737818,177083.597018877-34087.4987737818,183268.00252834-34087.4987737818,189452.339037802-34087.4297737818
189452.339037802-23114.1863650018,183268.071528339-23114.3933650018,177083.666018877-23114.4623650018,170899.329509415-23114.4623650018,164714.992999953-23114.4623650018,158530.518490491-23114.6003650018,152346.181981028-23114.6003650018,146161.707471566-23114.6003650018,139977.232962104-23114.6003650018,133792.827452642-23114.7383650018,127608.35294318-23114.7383650018,121423.947433718-23114.6693650018,115239.541924256-23114.7383650018,109055.136414793-23114.7383650018,102870.730905331-23114.7383650018,96686.3943958691-23114.7383650018,90501.9198864067-23114.7383650018,84317.5143769446-23114.7383650018,78133.1088674826-23114.6693650018,71948.6343580205-23114.7383650018,65764.2978485581-23114.7383650018,59579.892339096-23114.6693650018,53395.3488296339-23114.6693650018,47210.9433201715-23114.7383650018,41026.4688107094-23114.6693650018
41026.3998107094-12141.2879562218,47210.8053201715-12141.4259562218,53395.2108296339-12141.4949562218,59579.616339096-12141.3569562218,65764.0908485581-12141.4949562218,71948.4963580205-12141.5639562218,78132.9708674826-12141.4949562218,84317.3763769446-12141.5639562218,90501.7818864067-12141.5639562218,96686.2563958691-12141.5639562218,102870.592905331-12141.5639562218,109054.998414793-12141.4949562218,115239.403924256-12141.4949562218,121423.740433718-12141.4259562218,127608.21494318-12141.4949562218,133792.620452642-12141.3569562218,139977.025962104-12141.4259562218,146161.500471566-12141.4259562218,152345.974981028-12141.3569562218,158530.380490491-12141.3569562218,164714.785999953-12141.2879562218,170899.191509415-12141.2879562218,177083.597018877-12141.2189562218,183267.93352834-12141.1499562218,189452.270037802-12141.1499562218
189452.408037802-1167.69954744183,183268.00252834-1167.83754744183,177083.597018877-1167.90654744183,170899.329509415-1167.97554744183,164714.923999953-1167.97554744183,158530.449490491-1167.97554744183,152346.043981028-1168.11354744183,146161.707471566-1167.83754744183,139977.163962104-1168.04454744183,133792.758452642-1168.11354744183,127608.35294318-1168.11354744183,121423.947433718-1168.11354744183,115239.541924256-1168.11354744183,109055.136414793-1168.18254744183,102870.730905331-1168.25154744183,96686.3253958691-1168.18254744183,90501.9198864067-1168.11354744183,84317.3763769446-1168.11354744183,78133.0398674826-1168.11354744183,71948.5653580205-1167.90654744183,65764.1598485581-1168.25154744183,59579.685339096-1168.11354744183,53395.2798296339-1168.11354744183,47210.8053201715-1168.11354744183,41026.3998107094-1168.04454744183
41026.3308107094--9805.12986133817,47210.6673201715--9805.19886133817,53395.1418296339--9805.06086133817,59579.547339096--9805.19886133817,65764.0218485581--9804.99186133817,71948.4273580205--9805.12986133817,78132.9018674826--9805.12986133817,84317.3073769446--9804.99186133817,90501.7128864067--9804.92286133817,96686.1873958691--9805.06086133817,102870.523905331--9805.06086133817,109054.998414793--9805.19886133817,115239.403924256--9805.19886133817,121423.809433718--9805.19886133817,127608.21494318--9805.06086133817,133792.620452642--9805.06086133817,139977.094962104--9805.12986133817,146161.500471566--9805.19886133817,152345.974981028--9805.06086133817,158530.311490491--9805.19886133817,164714.716999953--9805.26786133817,170899.191509415--9805.26786133817,177083.597018877--9805.47486133817,183267.93352834--9805.33686133817,189452.339037802--9805.33686133817
189452.339037802--20778.5802701182,183268.00252834--20778.3732701182,177083.666018877--20778.3732701182,170899.329509415--20778.3042701182,164714.923999953--20778.3042701182,158530.380490491--20778.3732701182,152346.043981028--20778.1662701182,146161.569471566--20778.2352701182,139977.163962104--20778.0972701182,133792.758452642--20778.0972701182,127608.28394318--20778.2352701182,121423.878433718--20778.0972701182,115239.403924256--20778.2352701182,109054.998414793--20778.2352701182,102870.592905331--20778.0972701182,96686.2563958691--20778.1662701182,90501.7818864067--20778.0972701182,84317.3073769446--20778.0972701182,78132.9018674826--20778.0972701182,71948.4273580205--20778.0972701182,65764.0218485581--20778.1662701182,59579.616339096--20778.2352701182,53395.1418296339--20778.2352701182,47210.6673201715--20778.3042701182,41026.3308107094--20778.2352701182
41026.1928107094--31751.5476788982,47210.5293201715--31751.5476788982,53395.0728296339--31751.3406788982,59579.478339096--31751.2716788982,65763.8838485581--31751.2716788982,71948.3583580205--31751.2716788982,78132.8328674826--31751.2026788982,84317.2383769446--31751.2026788982,90501.6438864067--31751.2716788982,96686.0493958691--31751.2716788982,102870.454905331--31751.3406788982,109054.860414793--31751.2716788982,115239.265924256--31751.3406788982,121423.671433718--31751.4096788982,127608.21494318--31751.3406788982,133792.620452642--31751.3406788982,139977.094962104--31751.4096788982,146161.500471566--31751.4096788982,152345.905981028--31751.4096788982,158530.311490491--31751.4786788982,164714.785999953--31751.5476788982,170899.122509415--31751.5476788982,177083.597018877--31751.5476788982,183268.00252834--31751.5476788982,189452.339037802--31751.5476788982
189452.339037802--42724.7910876782,183268.00252834--42724.5840876782,177083.597018877--42724.5150876782,170899.260509415--42724.5840876782,164714.854999953--42724.4460876782,158530.380490491--42724.4460876782,152345.974981028--42724.3770876782,146161.569471566--42724.3770876782,139977.094962104--42724.3770876782,133792.620452642--42724.3770876782,127608.21494318--42724.3770876782,121423.740433718--42724.3080876782,115239.403924256--42724.3770876782,109054.929414793--42724.4460876782,102870.523905331--42724.4460876782,96686.1183958691--42724.4460876782,90501.7128864067--42724.3080876782,84317.3073769446--42724.2390876782,78132.8328674826--42724.3080876782,71948.4273580205--42724.4460876782,65763.9528485581--42724.4460876782,59579.478339096--42724.4460876782,53395.0038296339--42724.4460876782,47210.5293201715--42724.4460876782,41026.1238107094--42724.4460876782
41026.0548107094--53697.7584964582,47220.4653201715--53697.4824964582,53394.9348296339--53697.5514964582,59579.340339096--53697.4824964582,65763.7458485581--53697.4824964582,71948.2203580205--53697.4824964582,78132.6948674826--53697.5514964582,84317.0313769447--53697.5514964582,90501.5058864067--53697.4824964582,96685.9803958691--53697.4824964582,102870.316905331--53697.4824964582,109054.791414793--53697.4824964582,115239.265924256--53697.4824964582,121423.602433718--53697.4824964582,127608.00794318--53697.4824964582,133792.482452642--53697.5514964582,139976.887962104--53697.6204964582,146161.362471566--53697.6204964582,152345.836981028--53697.6894964582,158530.173490491--53697.7584964582,164714.716999953--53697.7584964582,170899.122509415--53697.7584964582,177083.459018877--53697.7584964582,183267.86452834--53697.8964964582,189452.270037802--53697.8274964582
189452.201037802--64671.2089052382,183267.86452834--64670.9329052382,177083.459018877--64670.8639052382,170899.122509415--64670.9329052382,164714.647999953--64670.8639052382,158530.242490491--64670.7949052382,152345.836981028--64670.7949052382,146161.362471566--64670.7949052382,139976.887962104--64670.6569052382,133792.482452642--64670.6569052382,127608.00794318--64670.6569052382,121423.533433718--64670.7949052382,115239.127924256--64670.6569052382,109054.722414793--64670.6569052382,102870.316905331--64670.7259052382,96685.9113958691--64670.6569052382,90501.5058864067--64670.7949052382,84317.0313769447--64670.5189052382,78132.6258674826--64670.6569052382,71948.1513580205--64670.6569052382,65763.6768485581--64670.6569052382,59579.271339096--64670.6569052382,53394.7968296339--64670.7949052382,47210.3223201715--64670.8639052382,41025.8478107094--64670.8639052382
41025.8478107094--75644.1073140182,47210.1843201715--75644.0383140182,53394.6588296339--75643.9693140182,59579.133339096--75643.9003140182,65763.5388485581--75643.8313140182,71947.9443580205--75643.8313140182,78132.4188674826--75643.8313140182,84316.8243769446--75643.9003140182,90501.2988864067--75643.9693140182,96685.7043958691--75643.8313140182,102870.178905331--75643.8313140182,109054.584414793--75643.8313140182,115238.989924256--75643.8313140182,121423.464433718--75643.9003140182,127607.86994318--75643.9003140182,133792.344452642--75643.9693140182,139976.818962104--75643.9003140182,146161.224471566--75643.9693140182,152345.698981028--75643.9693140182,158530.104490491--75643.9693140182,164714.578999953--75644.1073140182,170899.053509415--75644.1073140182,177083.321018877--75644.1073140182,183267.726528339--75644.2453140182,189452.201037802--75644.3833140182
189452.132037802--86617.5577227982,183267.726528339--86617.2817227982,177083.390018877--86617.4197227982,170898.984509415--86617.3507227982,164714.509999953--86617.1437227982,158530.104490491--86617.1437227982,152345.698981028--86617.1437227982,146161.155471566--86617.0747227982,139976.749962104--86617.0747227982,133792.344452642--86617.0747227982,127607.93894318--86617.1437227982,121423.464433718--86617.1437227982,115238.989924256--86617.0747227982,109054.584414793--86617.0747227982,102870.178905331--86617.0747227982,96685.7733958691--86617.0747227982,90501.2298864067--86617.1437227982,84316.8243769446--86617.1437227982,78132.4878674826--86617.1437227982,71947.9443580205--86617.0747227982,65763.4698485581--86617.1437227982,59579.064339096--86617.2127227982,53394.5898296339--86617.1437227982,47210.1153201715--86617.1437227982,41025.7098107094--86617.2817227982
