-0.120019038	-0.107432615	-0.086834006	-0.057131443	-0.030672149	-0.010840441	0.003848759	0.008633579	0.011444543	0.010454029	0.003705642	-0.003344133	-0.016506039	-0.030887765	-0.044630430	-0.062133655	-0.076949873	-0.093500622	-0.109752024	-0.118034594	
-0.102277836	-0.091356588	-0.066602205	-0.038353797	-0.014133439	0.006136665	0.015425864	0.020700060	0.023244544	0.019965225	0.016739922	0.007665487	-0.004665108	-0.016155348	-0.031703120	-0.045105797	-0.059983171	-0.078054892	-0.091866201	-0.103415439	
-0.080925285	-0.065788385	-0.043501828	-0.014429458	0.008921424	0.024209976	0.034618340	0.036573977	0.038280056	0.037524584	0.031674191	0.025965485	0.014760006	0.003019694	-0.007753838	-0.022999021	-0.037165215	-0.054582546	-0.072117250	-0.080543375	
-0.059435099	-0.046187415	-0.020821601	0.005588704	0.026055689	0.041797858	0.047092312	0.049861187	0.051576475	0.048905208	0.047292008	0.040628695	0.031534264	0.023613940	0.010929196	-0.001444571	-0.017407977	-0.037452250	-0.052346399	-0.063009411	
-0.049294779	-0.032004762	-0.010027119	0.016201769	0.035114760	0.045631060	0.052270632	0.052268977	0.053919977	0.054596940	0.051040373	0.048269014	0.040485720	0.031925571	0.022959822	0.007268251	-0.009061022	-0.028454680	-0.046022181	-0.052142500	
-0.046292624	-0.031119083	-0.006760673	0.015916059	0.031195413	0.041859803	0.043656259	0.045311043	0.047995968	0.047533513	0.048513443	0.044436141	0.037797559	0.031584123	0.019085967	0.005234353	-0.012817351	-0.033621302	-0.046780955	-0.053721574	
-0.050602512	-0.031798363	-0.011482713	0.010395773	0.023778681	0.029414422	0.033387096	0.033322021	0.036737647	0.039825204	0.038337434	0.036992995	0.029910446	0.021067771	0.010835568	-0.006564110	-0.023761145	-0.041899369	-0.055949049	-0.057378553	
-0.049852597	-0.034039480	-0.011915581	0.006349417	0.016801451	0.024041012	0.024835569	0.027626880	0.032294591	0.033523139	0.035277920	0.030898526	0.022989711	0.014711065	0.000072619	-0.014858980	-0.032005247	-0.049645449	-0.058194610	-0.060494990	
-0.044485121	-0.026310553	-0.008694960	0.009569841	0.020218135	0.025235726	0.030698457	0.032919110	0.037955876	0.041389635	0.038947049	0.035574549	0.025607128	0.013570741	0.001105634	-0.016392434	-0.031210106	-0.045236076	-0.054896595	-0.052876072	
-0.030350120	-0.016625616	0.002655328	0.018858566	0.029651361	0.039856511	0.044802184	0.050838081	0.056497661	0.056649835	0.056013987	0.048420471	0.036867102	0.025221108	0.008785651	-0.005466811	-0.019843765	-0.033912746	-0.039573955	-0.040539155	
-0.018602887	-0.003668935	0.011280783	0.029366540	0.043470910	0.054619642	0.066327600	0.072319928	0.077775492	0.079238403	0.073720714	0.066978771	0.053738949	0.039088107	0.025562792	0.008801765	-0.004193987	-0.016508230	-0.025621179	-0.024565453	
-0.011463086	-0.001545447	0.015592007	0.033225238	0.049636976	0.067797940	0.079823038	0.089612294	0.095302034	0.093240227	0.089798843	0.079698168	0.066282639	0.053483831	0.036666361	0.022509984	0.008029282	-0.006817193	-0.014218484	-0.017972880	
-0.018910515	-0.007590230	0.005932930	0.026499826	0.047013981	0.066189492	0.084463860	0.093549520	0.098739630	0.098267649	0.090803670	0.083059777	0.069824000	0.055582471	0.042141864	0.024437425	0.009320838	-0.005864054	-0.018263491	-0.020841629	
-0.035913974	-0.028856348	-0.012200345	0.008448549	0.030874060	0.055743933	0.072679266	0.084413729	0.089539621	0.086004705	0.081662067	0.071940264	0.059988596	0.048602755	0.031912398	0.015985480	-0.001806607	-0.020436988	-0.031484790	-0.038825237	
-0.063593144	-0.053991133	-0.039847832	-0.015942556	0.009532237	0.033247588	0.054191242	0.063799310	0.068150113	0.066742716	0.059156310	0.052484715	0.041055337	0.028153538	0.014543025	-0.005154341	-0.023379729	-0.041773685	-0.057178265	-0.062701500	
-0.090115384	-0.083538038	-0.065020039	-0.040811682	-0.014763094	0.012215224	0.029406363	0.040321091	0.044484314	0.040543731	0.036522081	0.027653096	0.016660894	0.005617251	-0.011710132	-0.029023304	-0.048450656	-0.068640701	-0.081482307	-0.091045826	
-0.113542843	-0.103200640	-0.086120576	-0.058636205	-0.031013688	-0.007588957	0.011485429	0.019210509	0.022660704	0.021369561	0.014201954	0.007653566	-0.004207544	-0.018010630	-0.032413846	-0.052289971	-0.070075251	-0.088117001	-0.104223043	-0.111391958	
-0.122712449	-0.114416479	-0.092319541	-0.064995592	-0.038394024	-0.013729191	-0.000015888	0.008363955	0.011745336	0.008235876	0.004605035	-0.004798642	-0.017157539	-0.029627049	-0.047305767	-0.063348416	-0.080605764	-0.099200990	-0.112175383	-0.123072149	
