189153.582779113-66584.0930000081,182969.278506418-66584.0930000081,176784.974233722-66584.0930000081,170600.669961027-66584.0930000081,164416.365688332-66584.0930000081,158232.061415637-66584.0930000081,152047.757142941-66584.0930000081,145863.452870246-66584.0930000081,139679.148597551-66584.0930000081,133494.844324855-66584.0930000081
133494.844324855-55611.1869999943,139679.148597551-55611.1869999943,145863.452870246-55611.1869999943,152047.757142941-55611.1869999943,158232.061415637-55611.1869999943,164416.365688332-55611.1869999943,170600.669961027-55611.1869999943,176784.974233722-55611.1869999943,182969.278506418-55611.1869999943,189153.582779113-55611.1869999943
189153.582779113-44638.2809999805,182969.278506418-44638.2809999805,176784.974233722-44638.2809999805,170600.669961027-44638.2809999805,164416.365688332-44638.2809999805,158232.061415637-44638.2809999805,152047.757142941-44638.2809999805,145863.452870246-44638.2809999805,139679.148597551-44638.2809999805,133494.844324855-44638.2809999805
133494.844324855-33665.3749999666,139679.148597551-33665.3749999666,145863.452870246-33665.3749999666,152047.757142941-33665.3749999666,158232.061415637-33665.3749999666,164416.365688332-33665.3749999666,170600.669961027-33665.3749999666,176784.974233722-33665.3749999666,182969.278506418-33665.3749999666,189153.582779113-33665.3749999666
189153.582779113-22692.4689999528,182969.278506418-22692.4689999528,176784.974233722-22692.4689999528,170600.669961027-22692.4689999528,164416.365688332-22692.4689999528,158232.061415637-22692.4689999528,152047.757142941-22692.4689999528,145863.452870246-22692.4689999528,139679.148597551-22692.4689999528,133494.844324855-22692.4689999528
133494.844324855-11719.562999939,139679.148597551-11719.562999939,145863.452870246-11719.562999939,152047.757142941-11719.562999939,158232.061415637-11719.562999939,164416.365688332-11719.562999939,170600.669961027-11719.562999939,176784.974233722-11719.562999939,182969.278506418-11719.562999939,189153.582779113-11719.562999939
189153.582779113-746.656999925206,182969.278506418-746.656999925206,176784.974233722-746.656999925206,170600.669961027-746.656999925206,164416.365688332-746.656999925206,158232.061415637-746.656999925206,152047.757142941-746.656999925206,145863.452870246-746.656999925206,139679.148597551-746.656999925206,133494.844324855-746.656999925206
133494.844324855--10226.2490000886,139679.148597551--10226.2490000886,145863.452870246--10226.2490000886,152047.757142941--10226.2490000886,158232.061415637--10226.2490000886,164416.365688332--10226.2490000886,170600.669961027--10226.2490000886,176784.974233722--10226.2490000886,182969.278506418--10226.2490000886,189153.582779113--10226.2490000886
189153.582779113--21199.1550001024,182969.278506418--21199.1550001024,176784.974233722--21199.1550001024,170600.669961027--21199.1550001024,164416.365688332--21199.1550001024,158232.061415637--21199.1550001024,152047.757142941--21199.1550001024,145863.452870246--21199.1550001024,139679.148597551--21199.1550001024,133494.844324855--21199.1550001024
133494.844324855--32172.0610001162,139679.148597551--32172.0610001162,145863.452870246--32172.0610001162,152047.757142941--32172.0610001162,158232.061415637--32172.0610001162,164416.365688332--32172.0610001162,170600.669961027--32172.0610001162,176784.974233722--32172.0610001162,182969.278506418--32172.0610001162,189153.582779113--32172.0610001162
