189153.582779113-66584.3690000081,182969.554506418-66584.3690000081,176785.319233722-66584.3690000081,170601.221961027-66584.3000000081,164417.193688332-66584.2310000081,158232.889415636-66584.4380000081,152048.654142941-66584.3690000081,145864.418870246-66584.2310000081,139680.252597551-66584.3000000081,133496.086324855-66584.2310000081
133495.465324855-55611.0489999943,139679.631597551-55610.9799999943,145863.866870246-55611.0489999943,152048.171142941-55611.0489999943,158232.199415636-55611.0489999943,164416.503688332-55611.0489999943,170600.669961027-55611.0489999943,176784.767233722-55611.0489999943,182969.002506418-55611.0489999943,189153.099779113-55611.0489999943
189152.409779113-44637.8669999805,182968.312506418-44637.8669999805,176784.146233722-44637.7979999805,170599.910961027-44638.2119999805,164415.813688332-44638.0049999805,158231.647415636-44637.8669999805,152047.412142941-44637.9359999805,145863.245870246-44637.7979999805,139678.941597551-44638.0049999805,133494.844324855-44637.8669999805
133494.223324855-33664.6849999666,139678.458597551-33664.6159999666,145862.555870246-33664.6849999666,152046.791142941-33664.6849999666,158231.026415636-33664.6159999666,164415.192688332-33664.8229999666,170599.358961027-33664.6159999666,176783.525233722-33664.6849999666,182967.691506418-33664.7539999666,189151.719779113-33665.0299999666
189151.236779113-22691.6409999528,182967.139506418-22691.7099999528,176782.904233722-22691.7789999528,170598.737961027-22691.7789999528,164414.571688332-22691.7789999528,158230.405415636-22691.7789999528,152046.239142941-22691.7789999528,145861.934870246-22691.7789999528,139677.699597551-22691.7099999528,133493.533324855-22691.7099999528
133492.912324855-11718.389999939,139677.078597551-11718.458999939,145861.313870246-11718.458999939,152045.549142941-11718.389999939,158229.715415636-11718.458999939,164413.881688332-11718.389999939,170598.116961027-11718.458999939,176782.283233722-11718.458999939,182966.449506418-11718.458999939,189150.546779113-11718.527999939
189149.994779113-745.138999925206,182965.828506418-745.207999925206,176781.662233722-745.138999925206,170597.495961027-745.138999925206,164413.260688332-745.138999925206,158229.094415636-745.138999925206,152044.928142941-745.138999925206,145860.830870246-744.931999925206,139676.388597551-745.069999925206,133492.291324855-745.000999925206
133491.670324855-10228.1810000886,139675.836597551-10228.1810000886,145860.071870246-10228.2500000886,152044.238142941-10228.1810000886,158228.404415636-10228.1810000886,164412.639688332-10228.1810000886,170596.943961027-10228.1810000886,176781.110233722-10228.3190000886,182965.207506418-10228.1120000886,189149.373779113-10228.0430000886
189148.683779113-21201.0870001024,182964.586506418-21201.1560001024,176780.420233722-21201.0870001024,170596.253961027-21201.1560001024,164412.087688332-21201.0870001024,158227.783415636-21201.1560001024,152043.617142941-21201.0870001024,145859.381870246-21201.2250001024,139675.146597551-21201.2250001024,133490.980324855-21201.2940001024
133490.359324855-32174.5450001162,139674.594597551-32174.5450001162,145858.829870246-32174.4760001162,152043.065142941-32174.5450001162,158227.231415636-32174.4070001162,164411.466688332-32174.5450001162,170595.632961027-32174.5450001162,176779.868233722-32174.5450001162,182964.034506418-32174.5450001162,189148.200779113-32174.4070001162
