ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4065,-666,11674,12682,14482,14488,2929,0.81,0.88,11328.4,0.781916068,280.8393153
4066,-658,11941,12955,14877,14817,2929,0.8,0.87,11700.1,0.789640278,103.5972194
4065,-657,12106,13049,15022,14927,2931,0.81,0.87,11827.1,0.792329336,176.706639
4065,-674,12084,12989,14991,14862,2933,0.81,0.87,11747.6,0.790445431,195.545687
4065,-659,12105,13044,15020,14914,2934,0.81,0.87,11818.2,0.792423226,175.767735
4064,-641,12141,13000,15024,14856,2934,0.81,0.88,11756.8,0.791383953,186.1604739
4065,-645,12129,13006,15012,14881,2933,0.81,0.87,11770.3,0.790961629,190.3837108
4065,-661,12040,13079,15030,14969,2933,0.8,0.87,11869.7,0.792952101,70.47898991
4065,-675,12110,13095,15045,14968,2932,0.8,0.87,11885.4,0.794053982,59.46018172
4065,-670,12098,13034,15014,14905,2931,0.81,0.87,11805.5,0.792049648,179.5035223
4065,-660,12094,12842,14968,14668,2931,0.81,0.88,11542.4,0.786910281,230.8971912
4065,-665,12079,12896,14960,14728,2930,0.81,0.88,11614.4,0.788593156,214.0684411
4065,-664,12142,12832,15032,14652,2928,0.81,0.88,11527.6,0.786759487,232.4051324
4065,-666,12129,12863,15012,14700,2926,0.81,0.88,11573,0.787278912,227.2108844
4065,-664,12088,12981,14987,14840,2925,0.81,0.87,11733,0.790633423,193.6657682
4065,-651,12080,13056,14995,14939,2925,0.81,0.87,11837.7,0.792402437,175.9756342
4065,-654,12046,13097,15005,14981,2926,0.8,0.87,11891.3,0.793758761,62.41238903
4065,-651,12098,12888,14979,14718,2928,0.81,0.88,11603.4,0.788381574,216.1842642
4065,-682,11942,12821,14927,14640,2930,0.8,0.88,11513,0.786407104,135.9289617
4066,-667,12011,13090,14964,14969,2931,0.8,0.87,11880.7,0.793686953,63.13046964
4065,-659,12091,13077,14992,14955,2930,0.81,0.87,11863.5,0.79327984,167.2016048
4065,-681,11939,12776,14937,14587,2935,0.8,0.88,11452.1,0.785089463,149.1053678
4065,-660,12066,13062,15010,14943,2941,0.8,0.87,11844.9,0.792672154,73.27845814
4065,-646,12127,12998,15036,14863,2946,0.81,0.87,11756.9,0.791017964,189.8203593
4065,-669,11976,12775,14979,14597,2947,0.8,0.88,11454.1,0.784688635,153.1136535
4065,-651,12087,13053,14962,14922,2947,0.81,0.87,11829.6,0.792762364,172.3763571
4064,-665,12057,13104,15023,14988,2941,0.8,0.87,11900.4,0.793995196,60.04803843
4065,-668,11963,13200,14973,15105,2933,0.8,0.87,12031.5,0.79652433,34.75670308
4065,-666,11929,13100,14933,14984,2924,0.8,0.87,11895.2,0.793860117,61.39882541
4065,-647,12206,13002,15106,14879,2923,0.81,0.87,11765.7,0.790758788,192.4121245
4065,-654,12035,12925,14923,14779,2923,0.81,0.87,11658.7,0.788869342,211.3065837
4065,-670,12035,12999,14930,14855,2923,0.81,0.88,11755.5,0.791349714,186.502861
4065,-644,11991,13049,14876,14930,2924,0.81,0.87,11828,0.792230409,177.6959143
4065,-654,12024,12860,14876,14684,2925,0.81,0.88,11565.2,0.787605557,223.9444293
4065,-648,12140,13026,15026,14900,2925,0.81,0.87,11796,0.791677852,183.2214765
4065,-661,12147,12798,15038,14609,2925,0.81,0.88,11480.7,0.785864878,241.3512218
4065,-653,12140,12835,15029,14658,2931,0.81,0.88,11532.4,0.786764907,232.3509346
4065,-646,12044,12976,14961,14843,2938,0.81,0.87,11728.9,0.790197399,198.0260055
4065,-654,12112,12856,14995,14686,2944,0.81,0.88,11561.8,0.787266785,227.3321531
4065,-673,11979,12777,14968,14595,2944,0.8,0.88,11455.5,0.784892086,151.0791367
4066,-659,12069,13027,15006,14901,2944,0.8,0.87,11797.3,0.791711966,82.8803436
4065,-660,12089,13073,15008,14949,2945,0.81,0.87,11857.7,0.793210248,167.8975182
4065,-665,12153,12799,15049,14613,2947,0.81,0.88,11482.9,0.785800315,241.9968521
4065,-665,12057,13079,15000,14965,2948,0.8,0.87,11868.5,0.793083862,69.16137655
4065,-673,11993,13094,15012,14985,2948,0.8,0.87,11889.5,0.79342676,65.73239907
4065,-658,11994,13050,14946,14931,2949,0.8,0.87,11829.3,0.792264416,77.35583685
4065,-648,12166,12920,15061,14757,2950,0.81,0.88,11647.1,0.789259335,207.4066545
4065,-661,12025,13111,14994,14992,2951,0.8,0.87,11908.6,0.794330309,56.69690502
4065,-657,12124,12961,15029,14821,2952,0.81,0.87,11707.3,0.789912961,200.8703866
4065,-669,12132,12853,15022,14671,2952,0.81,0.88,11554.3,0.787560493,224.3950651
4065,-653,12118,12986,15000,14839,2947,0.81,0.88,11737.7,0.791003437,189.9656311
4065,-679,12138,12796,15030,14612,2938,0.81,0.88,11479.6,0.785628251,243.7174925
4064,-659,12073,13031,14997,14908,2929,0.81,0.87,11803.4,0.791749396,182.506037
4064,-679,12120,12950,15026,14794,2925,0.81,0.88,11688.2,0.790063539,199.3646073
4065,-648,12117,13007,15027,14867,2925,0.81,0.87,11767.1,0.791491222,185.0877783
4065,-662,12135,12854,15024,14680,2927,0.81,0.88,11558,0.7873297,226.7029973
4065,-646,12065,12979,14980,14835,2928,0.81,0.87,11729.5,0.79066397,193.3602966
4066,-655,12097,12878,14977,14704,2931,0.81,0.88,11589.2,0.788166485,218.3351469
4065,-661,12157,12945,15044,14792,2931,0.81,0.88,11682.6,0.789791779,202.0822066
4065,-656,11841,13069,14681,14945,2932,0.81,0.87,11852.5,0.793074607,169.2539311
4065,-657,11995,12981,14955,14839,2934,0.8,0.87,11732.7,0.790666487,93.3351304
4065,-673,11982,13043,14960,14906,2937,0.8,0.88,11814.8,0.792620421,73.79578693
4065,-685,11977,12934,14944,14772,2940,0.8,0.88,11665.6,0.789710263,102.8973734
4065,-669,11940,12819,14932,14665,2941,0.8,0.87,11518.5,0.785441527,145.5847255
4065,-651,12091,13046,14978,14915,2941,0.81,0.87,11820.5,0.792524304,174.7569561
4065,-686,11901,12731,14892,14529,2943,0.8,0.88,11389.7,0.783928694,160.7130566
4065,-660,12019,12872,14895,14699,2945,0.81,0.88,11581.7,0.787924349,220.756514
4065,-651,12052,12887,14916,14716,2948,0.81,0.88,11601.8,0.788379995,216.2000544
4065,-665,12135,12909,15015,14744,2949,0.81,0.88,11632.2,0.788944655,210.5534455
4065,-715,11964,12771,14970,14586,2949,0.8,0.88,11446.8,0.784779926,152.2007404
4065,-656,12065,13082,15011,14973,2949,0.8,0.87,11873.9,0.793020771,69.79229279
4065,-654,12019,13086,14959,14971,2948,0.8,0.87,11877.3,0.793353817,66.4618262
4065,-643,12088,13062,14967,14944,2948,0.81,0.87,11845.2,0.792639186,173.608137
4065,-663,12108,13075,15034,14954,2948,0.81,0.87,11861.2,0.793179083,168.2091748
4065,-658,12080,13037,14987,14915,2947,0.81,0.87,11811.5,0.791920885,180.7911498
4065,-659,12108,12820,14992,14643,2941,0.81,0.88,11512.9,0.786239159,237.6084136
4066,-654,12103,13084,15043,14973,2935,0.8,0.87,11875.9,0.793154344,68.45655513
4065,-664,12014,13088,14997,14965,2930,0.8,0.87,11877.5,0.793685266,63.1473438
4065,-657,12057,12997,15008,14867,2930,0.8,0.87,11757.1,0.790818592,91.81408489
4065,-654,12149,12862,15045,14699,2930,0.81,0.88,11571.7,0.78724403,227.5596979
4065,-661,12014,13087,14978,14968,2932,0.8,0.87,11877.4,0.793519508,64.80491716
4065,-646,12119,12987,15037,14843,2933,0.81,0.87,11739.9,0.79093849,190.6151048
4065,-646,12103,13032,15002,14910,2934,0.81,0.87,11805,0.791750503,182.4949698
4065,-656,11998,13086,14988,14975,2934,0.8,0.87,11878.5,0.793222037,67.77963272
4065,-651,12112,13050,15055,14917,2934,0.8,0.87,11825.1,0.79272642,72.73580479
4065,-665,12124,13081,15049,14962,2935,0.81,0.87,11869.6,0.793316402,166.8359845
4065,-646,12011,13101,14972,14994,2935,0.8,0.87,11899.2,0.793597439,64.02561024
4065,-653,12041,13110,15003,15002,2935,0.8,0.87,11910.6,0.793934142,60.65857886
4065,-649,12127,13080,15078,14966,2935,0.8,0.87,11869.8,0.793117734,68.82266471
