ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4065,133,14238,14384,17863,18235,2955,0.8,0.79,14154.5,0.776227036,237.7296408
4065,124,14677,14662,18336,18576,2953,0.8,0.79,14534.8,0.782450474,175.4952627
4065,106,14943,14695,18735,18644,2949,0.8,0.79,14588.2,0.782460845,175.3915469
4065,103,14813,14713,18667,18639,2946,0.79,0.79,14604.7,0.783555985,64.44015237
4065,132,14757,14847,18475,18838,2945,0.8,0.79,14798.4,0.7855611,144.389001
4065,134,14715,14757,18382,18713,2945,0.8,0.79,14670.9,0.783995084,160.0491637
4065,112,14949,14805,18764,18786,2945,0.8,0.79,14740.8,0.784669435,153.3056531
4065,127,14981,14748,18741,18697,2945,0.8,0.79,14657.1,0.783927903,160.7209713
4065,124,15009,14521,18762,18376,2945,0.8,0.79,14333.8,0.780028298,199.7170222
4065,128,15023,14696,18779,18652,2945,0.8,0.79,14591.6,0.782307527,176.9247266
4065,132,14936,14775,18684,18744,2945,0.8,0.79,14698.2,0.78415493,158.4507042
4065,108,15072,14724,18816,18668,2947,0.8,0.79,14624.4,0.783394043,166.0595672
4065,128,14919,14855,18769,18851,2949,0.79,0.79,14810.3,0.785650629,43.49371386
4065,120,15006,14811,18833,18787,2952,0.8,0.79,14747.1,0.784963006,150.3699367
4065,116,14862,14793,18676,18751,2952,0.8,0.79,14718.3,0.784934137,150.6586315
4065,128,14910,14826,18701,18812,2952,0.8,0.79,14769.6,0.785115883,148.8411652
4065,118,14911,14820,18780,18808,2953,0.79,0.79,14762.4,0.784900043,50.99957465
4065,111,14977,14844,18818,18832,2955,0.8,0.79,14793.6,0.7855565,144.4350042
4065,134,15023,14725,18790,18670,2957,0.8,0.79,14626,0.783395822,166.0417783
4065,132,14902,14810,18732,18788,2957,0.8,0.79,14746.4,0.784883968,151.1603151
4065,127,14940,14782,18732,18744,2957,0.8,0.79,14705.2,0.784528382,154.7161758
4065,115,14885,14836,18750,18818,2957,0.79,0.79,14781.4,0.785492613,45.07386545
4065,108,14922,14832,18792,18822,2957,0.79,0.79,14778.6,0.785176921,48.23079375
4065,121,14929,14754,18741,18715,2956,0.8,0.79,14668.5,0.783783062,162.1693828
4065,123,14972,14870,18788,18855,2956,0.8,0.79,14826.5,0.786343145,136.5685495
4065,108,14973,14626,18732,18515,2954,0.8,0.79,14480.5,0.782095598,179.0440184
4065,117,15008,14765,18811,18720,2948,0.8,0.79,14681,0.784241453,157.5854701
4065,120,15023,14729,18836,18678,2941,0.8,0.79,14632.4,0.783402934,165.9706607
4065,124,14946,14635,18721,18545,2937,0.8,0.79,14498.5,0.781801025,181.9897547
4065,127,15029,14551,18791,18424,2937,0.8,0.79,14378.2,0.780405992,195.9400782
4065,112,15069,14656,18833,18576,2938,0.8,0.79,14528.8,0.782127476,178.7252369
4065,154,15018,14785,18796,18747,2940,0.8,0.79,14709.1,0.784610871,153.8912893
4065,109,14895,14458,18616,18292,2941,0.8,0.79,14245.6,0.778788541,212.1145856
4065,111,14928,14758,18772,18725,2942,0.8,0.79,14675.5,0.783738318,162.6168224
