ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB
4065,-1082,10737,12247,13317,13327,2937,0.81,0.92
4065,-1078,10833,12298,13428,13377,2937,0.81,0.92
4065,-1077,10735,12299,13365,13385,2936,0.8,0.92
4065,-1084,10698,12026,13214,13075,2936,0.81,0.92
4065,-1095,10700,12252,13322,13329,2934,0.8,0.92
4065,-1126,10422,12096,13055,13154,2934,0.8,0.92
4065,-1090,10592,12181,13103,13248,2934,0.81,0.92
4065,-1085,10842,12260,13417,13337,2931,0.81,0.92
4065,-1076,10842,12202,13381,13277,2929,0.81,0.92
4065,-1111,10614,12002,13255,13045,2925,0.8,0.92
4065,-1109,10854,11968,13419,13016,2924,0.81,0.92
4065,-1107,10625,11955,13268,13000,2924,0.8,0.92
4065,-1093,10708,12259,13329,13348,2925,0.8,0.92
4065,-1084,10804,12266,13369,13342,2925,0.81,0.92
4065,-1091,10733,12224,13321,13299,2926,0.81,0.92
4065,-1082,10751,12246,13320,13324,2926,0.81,0.92
4065,-1088,10697,12288,13329,13364,2924,0.8,0.92
4065,-1096,10807,12045,13351,13096,2914,0.81,0.92
4065,-1091,10726,12258,13279,13337,2904,0.81,0.92
4065,-1080,10786,12264,13374,13348,2896,0.81,0.92
4065,-1096,10784,12234,13380,13311,2896,0.81,0.92
4065,-1092,10756,12260,13337,13340,2901,0.81,0.92
4065,-1091,10847,12017,13398,13058,2914,0.81,0.92
4065,-1081,10835,12234,13398,13304,2926,0.81,0.92
4065,-1087,10671,12266,13221,13347,2934,0.81,0.92
4065,-1082,10779,12071,13312,13125,2934,0.81,0.92
4065,-1079,10801,12215,13353,13284,2932,0.81,0.92
4065,-1081,10838,12253,13427,13341,2929,0.81,0.92
4065,-1089,10760,12255,13353,13322,2926,0.81,0.92
4065,-1113,10668,12243,13268,13323,2925,0.8,0.92
4065,-1086,10864,12308,13442,13389,2925,0.81,0.92
4065,-1078,10822,12287,13459,13363,2924,0.8,0.92
4065,-1087,10684,12176,13186,13241,2922,0.81,0.92
4065,-1086,10702,12310,13355,13388,2920,0.8,0.92
4065,-1111,10701,12244,13347,13317,2919,0.8,0.92
4065,-1117,10594,12301,13253,13376,2919,0.8,0.92
4065,-1107,10654,11972,13304,13010,2921,0.8,0.92
4065,-1106,10858,12154,13405,13223,2925,0.81,0.92
4065,-1091,10879,12071,13439,13123,2928,0.81,0.92
4065,-1088,10734,12218,13283,13292,2929,0.81,0.92
4065,-1097,10592,12218,13138,13284,2929,0.81,0.92
4065,-1088,10638,12264,13186,13335,2928,0.81,0.92
4065,-1095,10866,12049,13422,13099,2929,0.81,0.92
4065,-1088,10800,12307,13373,13389,2929,0.81,0.92
4065,-1099,10802,12060,13345,13109,2929,0.81,0.92
4065,-1088,10800,12250,13359,13325,2928,0.81,0.92
4082,-1106,10842,12109,13382,13169,2932,0.81,0.92
4124,-1092,10867,12315,13425,13359,2934,0.81,0.92
4193,-1090,10854,12439,13354,13409,2938,0.81,0.93
4278,-1135,10938,12311,13394,13177,2938,0.82,0.93
4360,-1165,10910,12436,13396,13330,2966,0.81,0.93
4438,-1134,10933,12490,13427,13402,3103,0.81,0.93
4508,-1131,10987,12610,13466,13494,3241,0.82,0.93
4570,-1168,11006,12669,13511,13510,3352,0.81,0.94
4624,-1186,10944,12703,13422,13550,3352,0.82,0.94
4670,-1174,10985,12642,13451,13482,3976,0.82,0.94
4710,-1159,11004,12631,13472,13460,5533,0.82,0.94
4743,-1148,11079,12698,13522,13517,7091,0.82,0.94
4773,-1171,11045,12732,13525,13541,8025,0.82,0.94
4798,-1175,11112,12579,13511,13336,8024,0.82,0.94
4822,-1208,11023,12706,13470,13465,8130,0.82,0.94
4841,-1220,11116,12677,13533,13423,8396,0.82,0.94
4858,-1219,11165,12705,13596,13451,8661,0.82,0.94
4875,-1229,10990,12804,13430,13559,8820,0.82,0.94
4889,-1234,11112,12568,13525,13295,8819,0.82,0.95
4901,-1228,11125,12577,13529,13310,8858,0.82,0.94
4912,-1213,11059,12836,13514,13597,8921,0.82,0.94
4920,-1198,11041,12810,13479,13577,8984,0.82,0.94
4929,-1196,10742,12803,13098,13572,9010,0.82,0.94
4936,-1156,10881,12859,13204,13634,9010,0.82,0.94
4942,-1178,10995,12832,13484,13613,9025,0.82,0.94
4948,-1185,11027,12818,13513,13597,9050,0.82,0.94
4953,-1158,11194,12719,13544,13492,9074,0.83,0.94
4957,-1144,11077,12689,13436,13461,9084,0.82,0.94
4961,-1166,11033,12408,13497,13162,9084,0.82,0.94
4965,-1146,10967,12567,13261,13309,9100,0.83,0.94
4967,-1138,11167,12739,13507,13511,9119,0.83,0.94
4970,-1144,11108,12771,13500,13554,9138,0.82,0.94
4972,-1153,11013,12622,13309,13381,9142,0.83,0.94
4974,-1138,11166,12792,13523,13575,9141,0.83,0.94
4976,-1156,11154,12862,13587,13645,9143,0.82,0.94
4977,-1147,11140,12753,13475,13527,9145,0.83,0.94
4979,-1135,11186,12742,13530,13514,9148,0.83,0.94
4980,-1155,11202,12727,13536,13505,9148,0.83,0.94
4981,-1133,11089,12870,13499,13655,9148,0.82,0.94
4982,-1155,11141,12789,13469,13567,9153,0.83,0.94
4983,-1147,11112,12889,13541,13667,9157,0.82,0.94
4983,-1143,11181,12788,13512,13554,9161,0.83,0.94
4984,-1160,11214,12754,13574,13528,9161,0.83,0.94
4985,-1134,11100,12864,13520,13649,9161,0.82,0.94
4985,-1164,11124,12777,13560,13549,9157,0.82,0.94
