ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4065,-1029,10511,12290,12995,13424,2944,0.81,0.92,10617.2,0.7909118,190.8820024
4065,-1027,10679,12297,13313,13437,2944,0.8,0.92,10628.1,0.790957803,90.42196919
4065,-1033,10709,12366,13300,13505,2944,0.81,0.92,10717.5,0.793594965,164.0503517
4065,-1070,10864,12229,13428,13351,2944,0.81,0.92,10534.3,0.789027039,209.7296083
4065,-1041,10636,11955,13247,13048,2946,0.8,0.92,10169.4,0.779383814,206.1618639
4065,-1020,10864,12039,13370,13146,2949,0.81,0.92,10282.8,0.782199909,278.0009128
4065,-1020,10822,12287,13358,13422,2953,0.81,0.92,10613.6,0.790761436,192.3856355
4065,-1014,10689,12300,13152,13435,2955,0.81,0.92,10630.5,0.791254187,187.4581317
4065,-1030,10888,12062,13407,13161,2955,0.81,0.92,10310.3,0.783397918,266.0208191
4065,-1023,10845,12138,13351,13243,2952,0.81,0.92,10410.9,0.786143623,238.5637695
4065,-1074,10692,12035,13302,13137,2949,0.8,0.92,10276.1,0.782225775,177.7422547
4065,-1043,10757,12353,13368,13492,2946,0.8,0.92,10700.6,0.793107026,68.92973614
4065,-1037,10779,12296,13314,13429,2945,0.81,0.92,10624.7,0.791175814,188.2418646
4065,-1016,10825,12250,13329,13375,2945,0.81,0.92,10562.5,0.789719626,202.8037383
4065,-1017,10869,12197,13382,13315,2949,0.81,0.92,10491.5,0.787945926,220.5407435
4065,-1006,10769,12279,13366,13423,2954,0.81,0.91,10605.9,0.790128883,198.7111674
4065,-1047,10797,12323,13352,13458,2960,0.81,0.92,10660.4,0.792123644,178.7635607
4065,-1041,10769,12302,13327,13444,2961,0.81,0.92,10635.2,0.791074085,189.2591491
4065,-1028,10824,12204,13326,13333,2961,0.81,0.92,10503.9,0.787812195,221.878047
4065,-1026,10828,12261,13385,13391,2958,0.81,0.92,10578.3,0.789955941,200.4405944
4065,-1013,10859,12130,13365,13241,2955,0.81,0.92,10402.3,0.785612869,243.8713088
4065,-1021,10861,12225,13367,13353,2952,0.81,0.92,10530.9,0.788654235,213.45765
4065,-1012,10877,12039,13394,13135,2952,0.81,0.92,10279.5,0.78260373,273.9626951
4065,-1014,10854,12200,13359,13330,2952,0.81,0.92,10499,0.787621905,223.7809452
4065,-1021,10749,12264,13278,13397,2951,0.81,0.92,10583.1,0.789960439,200.395611
4065,-1023,10719,12364,13340,13503,2950,0.8,0.92,10714.9,0.793519959,64.80041472
4065,-1011,10862,12089,13372,13191,2949,0.81,0.92,10346.3,0.784345387,256.5461299
