ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4065,-1397,9954,11546,12208,12068,2921,0.82,0.96,9466.4,0.784421611,355.7838913
4065,-1394,9714,11784,11995,12325,2922,0.81,0.96,9781.5,0.793630832,163.6916836
4065,-1378,9844,11767,12084,12305,2924,0.81,0.96,9758.5,0.793051605,169.4839496
4065,-1419,9889,11660,12124,12195,2925,0.82,0.96,9618.5,0.788724887,312.7511275
4065,-1400,9841,11794,12168,12339,2925,0.81,0.96,9795.7,0.79388119,161.1881028
4065,-1379,9877,11767,12133,12307,2926,0.81,0.96,9759.1,0.79297148,170.2852035
4065,-1405,9835,11800,12167,12343,2927,0.81,0.96,9802.9,0.794207243,157.9275703
4065,-1414,9928,11762,12200,12308,2928,0.81,0.96,9754.4,0.792525187,174.7481313
4065,-1401,9962,11559,12214,12078,2928,0.82,0.96,9482.4,0.78509687,349.0312966
4065,-1397,9942,11798,12222,12340,2929,0.81,0.96,9800,0.794165316,158.3468395
4065,-1380,9960,11645,12206,12172,2933,0.82,0.96,9596.6,0.788416037,315.8396319
4065,-1394,9956,11635,12224,12163,2937,0.81,0.96,9583.9,0.787955274,220.4472581
4065,-1392,9876,11854,12175,12402,2940,0.81,0.96,9874.6,0.796210289,137.8971134
4065,-1397,9965,11783,12218,12324,2939,0.82,0.96,9780.2,0.793589744,264.1025641
4065,-1401,9890,11781,12161,12321,2938,0.81,0.96,9777.3,0.793547602,164.5239834
4065,-1393,9883,11756,12172,12295,2934,0.81,0.96,9744.5,0.79255795,174.4204961
4065,-1403,9910,11758,12193,12303,2930,0.81,0.96,9748.9,0.792400228,175.9977241
4066,-1376,9946,11702,12192,12234,2928,0.82,0.96,9672.2,0.790599967,294.000327
4065,-1391,9938,11742,12225,12284,2927,0.81,0.96,9727.2,0.791859329,181.4067079
4065,-1392,9850,11752,12124,12295,2931,0.81,0.96,9740.5,0.792232615,177.6738512
4065,-1415,9980,11578,12229,12105,2936,0.82,0.96,9509.5,0.785584469,344.1553077
4065,-1393,9866,11768,12167,12307,2941,0.81,0.96,9760.1,0.793052734,169.4726578
4064,-1392,9977,11757,12225,12298,2943,0.82,0.96,9746.4,0.792519109,274.808912
4065,-1413,9931,11548,12176,12073,2943,0.82,0.96,9469.9,0.784386648,356.1335211
4065,-1398,9980,11753,12241,12286,2938,0.82,0.96,9738.8,0.792674589,273.2541104
4065,-1391,9912,11769,12189,12314,2931,0.81,0.96,9763.2,0.792853662,171.463375
