ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,Fbprime,Fbprime/NB,NSCprime
6666,-2660,8645,11933,10288,10817,9721,0.84,1.1,7105.2395,0.656858602,1831.413978
6666,-2666,8667,11748,10305,10639,9722,0.84,1.1,6912.4965,0.649731789,1902.682113
6666,-2676,8438,11776,10039,10656,9722,0.84,1.11,6941.236,0.651392267,1886.077327
6666,-2692,8478,11968,10179,10839,9723,0.83,1.1,7141.1965,0.658842744,1711.572562
6666,-2690,8519,11925,10229,10796,9725,0.83,1.1,7096.326,0.657310671,1726.893294
6667,-2685,8606,12064,10255,10926,9726,0.84,1.1,7240.981,0.662729361,1772.706388
6666,-2678,8604,11811,10264,10696,9727,0.84,1.1,6977.976,0.652391174,1876.088257
6666,-2679,8657,11891,10306,10770,9727,0.84,1.1,7061.195,0.655635562,1843.644383
6666,-2668,8633,11753,10277,10651,9726,0.84,1.1,6918.0185,0.649518214,1904.817857
6666,-2677,8650,11688,10292,10583,9723,0.84,1.1,6850.0605,0.647270197,1927.298025
6666,-2677,8579,11959,10256,10834,9720,0.84,1.1,7131.979,0.658296013,1817.039874
6666,-2689,8558,11965,10254,10846,9719,0.83,1.1,7138.501,0.658169002,1718.309976
6666,-2690,8445,11977,10109,10853,9718,0.84,1.1,7150.8055,0.658878236,1811.217636
6666,-2670,8635,11706,10278,10601,9720,0.84,1.1,6868.8435,0.647942977,1920.570229
6666,-2665,8629,11911,10275,10790,9723,0.84,1.1,7082.065,0.656354495,1836.455051
6666,-2677,8684,11715,10334,10611,9725,0.84,1.1,6878.2785,0.648221515,1917.784846
6666,-2672,8547,11928,10230,10806,9726,0.84,1.1,7099.761,0.657020267,1829.797335
6666,-2673,8554,11949,10211,10830,9726,0.84,1.1,7121.805,0.657599723,1824.00277
6666,-2660,8601,11983,10270,10860,9720,0.84,1.1,7157.11,0.65903407,1809.6593
6666,-2665,8666,11839,10307,10731,9713,0.84,1.1,7007.4985,0.653014491,1869.855093
6666,-2661,8645,11718,10277,10614,9705,0.84,1.1,6881.409,0.648333239,1916.667609
6666,-2653,8659,11701,10296,10603,9704,0.84,1.1,6863.9305,0.647357399,1926.426012
6666,-2668,8618,11691,10253,10591,9704,0.84,1.1,6853.4085,0.647097394,1929.02606
6666,-2675,8592,11884,10244,10767,9706,0.84,1.1,7054.0645,0.655155986,1848.440141
6665,-2673,8554,11992,10249,10874,9708,0.83,1.1,7166.719,0.659069248,1709.307523
6666,-2689,8563,11951,10235,10836,9710,0.84,1.1,7124.066,0.65744426,1825.557401
6666,-2655,8613,11767,10244,10661,9710,0.84,1.1,6932.4535,0.650262968,1897.370322
6666,-2643,8651,11851,10288,10750,9710,0.84,1.1,7020.325,0.653053488,1869.465116
6666,-2635,8648,11707,10261,10615,9710,0.84,1.1,6870.4525,0.647239991,1927.600094
6666,-2649,8666,11691,10288,10602,9712,0.84,1.1,6853.887,0.646471138,1935.288625
6666,-2651,8517,11919,10189,10817,9713,0.84,1.1,7091.2395,0.655564343,1844.356568
6666,-2634,8624,11668,10233,10585,9713,0.84,1.1,6830.1475,0.645266651,1947.333491
6666,-2651,8592,11943,10247,10840,9713,0.84,1.1,7116.24,0.656479705,1835.202952
6666,-2628,8642,11736,10256,10643,9712,0.84,1.1,6900.6705,0.648376445,1916.235554
6666,-2625,8619,11915,10263,10819,9711,0.84,1.1,7087.3265,0.655081477,1849.18523
6666,-2630,8708,11787,10337,10691,9711,0.84,1.1,6953.7585,0.650431064,1895.689365
6666,-2640,8624,11921,10271,10813,9711,0.84,1.1,7093.0655,0.655975724,1840.242763
6666,-2632,8407,11793,9984,10698,9710,0.84,1.1,6960.063,0.650594784,1894.052159
6666,-2636,8608,11920,10259,10825,9708,0.84,1.1,7092.5875,0.655204388,1847.95612
6666,-2644,8610,11752,10218,10659,9707,0.84,1.1,6917.3665,0.648969556,1910.304438
6666,-2643,8580,11845,10264,10747,9706,0.84,1.1,7014.1945,0.652665348,1873.346515
6666,-2651,8655,11245,10266,10203,9707,0.84,1.1,6390.5305,0.626338381,2136.616191
6666,-2641,8679,11795,10298,10710,9708,0.84,1.1,6962.585,0.650101307,1898.986928
6666,-2639,8620,11905,10265,10812,9713,0.84,1.1,7077.022,0.654552534,1854.474658
6666,-2631,8578,11967,10247,10867,9717,0.84,1.1,7141.4145,0.657165225,1828.34775
6666,-2643,8514,11890,10122,10788,9719,0.84,1.1,7060.978,0.654521505,1854.784946
6666,-2638,8651,11681,10274,10597,9719,0.84,1.1,6843.6695,0.645811975,1941.880249
6666,-2628,8611,11919,10261,10825,9718,0.84,1.1,7091.5875,0.655112009,1848.879908
6666,-2634,8647,11801,10267,10712,9715,0.84,1.1,6968.672,0.65054817,1894.518297
6666,-2624,8606,11933,10259,10835,9713,0.84,1.1,7106.0225,0.65583964,1841.603599
6666,-2622,8675,11821,10291,10730,9711,0.84,1.1,6989.455,0.651393756,1886.062442
6666,-2615,8599,11911,10211,10808,9712,0.84,1.1,7082.848,0.655333827,1846.661732
6666,-2619,8641,11835,10248,10744,9710,0.84,1.1,7004.064,0.651904691,1880.95309
6666,-2612,8686,11886,10312,10791,9708,0.84,1.1,7057.1085,0.653980956,1860.190436
6666,-2625,8598,11904,10254,10815,9706,0.84,1.1,7076.1525,0.654290569,1857.094313
6666,-2644,8695,11721,10310,10631,9706,0.84,1.1,6885.1485,0.647648246,1923.517543
6666,-2647,8641,11904,10278,10811,9706,0.84,1.1,7075.9785,0.654516557,1854.834428
6666,-2631,8594,11944,10254,10847,9709,0.84,1.1,7117.5445,0.656176316,1838.23684
6666,-2602,8649,11913,10278,10818,9713,0.84,1.1,7085.283,0.654953134,1850.468663
6666,-2602,8633,11853,10253,10767,9717,0.84,1.1,7023.0645,0.652276818,1877.231819
6666,-2610,8576,11963,10231,10872,9717,0.84,1.1,7137.632,0.656515085,1834.849154
6666,-2595,8613,11874,10232,10794,9717,0.84,1.1,7045.239,0.652699555,1873.004447
6666,-2607,8471,11902,10033,10815,9719,0.84,1.1,7074.1525,0.65410564,1858.943597
6666,-2588,8690,11746,10278,10675,9721,0.85,1.1,6912.0625,0.6475,2025
6666,-2600,8645,11871,10277,10794,9722,0.84,1.1,7042.239,0.652421623,1875.783769
6666,-2599,8698,11741,10293,10679,9722,0.85,1.1,6907.2365,0.646805553,2031.94447
6666,-2585,8608,11904,10245,10830,9722,0.84,1.1,7076.805,0.653444598,1865.554017
6666,-2574,8615,11716,10199,10656,9720,0.84,1.1,6881.236,0.645761637,1942.383634
6666,-2561,8626,11899,10204,10827,9718,0.85,1.1,7071.6745,0.653151796,1968.482036
6666,-2575,8645,11805,10264,10740,9716,0.84,1.1,6973.89,0.649337989,1906.620112
6666,-2586,8572,11955,10246,10888,9716,0.84,1.1,7130.328,0.6548795,1851.204996
6666,-2587,8637,11829,10251,10772,9715,0.84,1.1,6999.282,0.649766246,1902.337542
6666,-2588,8627,11856,10250,10784,9712,0.84,1.1,7026.804,0.651595326,1884.046736
6666,-2583,8570,11519,10253,10481,9708,0.84,1.1,6676.6235,0.637021611,2029.783895
6666,-2580,8577,11779,10154,10713,9706,0.84,1.1,6946.7155,0.648437926,1915.620741
6666,-2592,8603,11864,10235,10785,9706,0.84,1.1,7034.8475,0.652280714,1877.19286
6666,-2606,8567,11952,10231,10860,9708,0.84,1.1,7126.11,0.656179558,1838.20442
6666,-2614,8623,11924,10272,10838,9713,0.84,1.1,7097.153,0.654839731,1851.602694
6666,-2611,8626,11901,10266,10811,9719,0.84,1.1,7072.9785,0.654239062,1857.609379
6666,-2602,8683,11840,10296,10751,9722,0.84,1.1,7009.3685,0.65197363,1880.263696
6666,-2611,8615,11821,10221,10737,9722,0.84,1.1,6989.7595,0.650997439,1890.025612
6666,-2623,8623,11724,10230,10641,9721,0.84,1.1,6888.5835,0.647362419,1926.375811
