ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,Fbprime,Fbprime/NB,NSCprime
6666,-1812,10141,13049,12111,12837,9717,0.84,1.02,8309.1095,0.647278141,1927.218587
6666,-1787,10180,13020,12143,12806,9713,0.84,1.02,8278.761,0.646475168,1935.248321
6666,-1797,10335,13016,12299,12789,9711,0.84,1.02,8274.0215,0.646963914,1930.360857
6666,-1793,10485,13135,12484,12910,9711,0.84,1.02,8398.285,0.650525562,1894.744384
6666,-1798,10459,13279,12490,13066,9712,0.84,1.02,8549.071,0.65429902,1857.009796
6666,-1786,10455,13168,12451,12954,9714,0.84,1.02,8433.199,0.651011193,1889.888065
6666,-1794,10500,12971,12491,12755,9716,0.84,1.02,8227.5425,0.645044492,1949.555076
6666,-1801,10421,13264,12470,13050,9716,0.84,1.02,8533.375,0.653898467,1861.015326
6666,-1830,10427,13255,12450,13052,9716,0.84,1.02,8524.462,0.653115385,1868.846154
6665,-1792,10451,13275,12477,13074,9719,0.84,1.02,8545.419,0.653619321,1863.806792
6666,-1786,10503,13003,12493,12785,9723,0.84,1.02,8260.8475,0.646135901,1938.640986
6666,-1804,10452,13211,12496,13001,9727,0.84,1.02,8478.2435,0.652122414,1878.775863
6666,-1780,10456,13146,12455,12934,9727,0.84,1.02,8410.329,0.650249652,1897.503479
6666,-1788,10429,13178,12462,12969,9727,0.84,1.02,8443.8515,0.651079613,1889.203871
6666,-1783,10439,13215,12481,13013,9724,0.84,1.02,8482.7655,0.651868555,1881.314455
6666,-1774,10526,13115,12527,12917,9720,0.84,1.02,8378.5895,0.648648254,1913.517458
6666,-1782,10424,13219,12461,13022,9717,0.84,1.02,8487.157,0.65175526,1882.447397
6666,-1795,10480,13161,12508,12964,9717,0.84,1.02,8426.634,0.650002623,1899.973774
6666,-1776,10227,13272,12188,13070,9717,0.84,1.02,8542.245,0.653576511,1864.234889
6666,-1763,10431,13232,12399,13034,9718,0.84,1.02,8500.679,0.65219265,1878.0735
6666,-1773,10447,13222,12467,13020,9719,0.84,1.02,8490.07,0.652079109,1879.208909
6666,-1793,10303,13306,12369,13100,9719,0.83,1.02,8577.55,0.654774809,1752.251908
6666,-1788,10374,12826,12433,12628,9718,0.83,1.02,8077.018,0.639611815,1903.88185
6666,-1790,10360,12796,12412,12584,9717,0.83,1.02,8045.104,0.639312142,1906.878576
6667,-1798,10507,13043,12498,12841,9712,0.84,1.02,8303.2835,0.64662281,1933.771902
6666,-1795,10455,13275,12486,13063,9707,0.84,1.02,8544.9405,0.654133086,1858.669142
6665,-1820,10373,12967,12453,12749,9703,0.83,1.02,8223.2815,0.645013844,1849.861558
6666,-1794,10368,13067,12340,12847,9703,0.84,1.02,8327.5445,0.648209271,1917.907294
6666,-1783,10400,13209,12439,13005,9705,0.84,1.02,8476.4175,0.65178143,1882.185698
6666,-1809,10509,13047,12498,12841,9711,0.84,1.02,8307.2835,0.646934312,1930.65688
6666,-1771,10493,13183,12505,12984,9717,0.84,1.02,8449.504,0.650762785,1892.37215
6666,-1774,10499,13069,12480,12858,9720,0.84,1.02,8330.023,0.647847488,1921.525121
6666,-1769,10427,13203,12395,13009,9720,0.84,1.01,8470.5915,0.651133177,1888.66823
6666,-1795,10496,13193,12531,12998,9722,0.84,1.02,8460.113,0.650878058,1891.219418
6666,-1764,10389,13120,12347,12928,9725,0.84,1.01,8384.068,0.648520111,1914.798886
6666,-1766,10487,13216,12499,13027,9729,0.84,1.01,8484.3745,0.65129151,1887.084901
6666,-1773,10481,12999,12455,12796,9730,0.84,1.02,8257.326,0.645305252,1946.947484
6666,-1766,10504,13061,12476,12869,9730,0.84,1.01,8322.5015,0.646709263,1932.907374
6666,-1765,10539,13020,12522,12820,9728,0.84,1.02,8279.37,0.645816693,1941.833073
6666,-1768,10481,13064,12442,12868,9725,0.84,1.02,8325.458,0.646989276,1930.107243
6666,-1761,10507,13078,12487,12880,9722,0.84,1.02,8339.98,0.647513975,1924.860248
6666,-1781,10571,13028,12554,12837,9722,0.84,1.01,8288.1095,0.645642245,1943.577549
6666,-1754,10536,13116,12517,12916,9721,0.84,1.02,8379.546,0.64877253,1912.274698
6666,-1752,10536,13195,12519,13006,9724,0.84,1.01,8462.461,0.650658235,1893.417653
6666,-1768,10507,13037,12486,12840,9729,0.84,1.02,8297.24,0.646202492,1937.975078
6666,-1758,10479,13267,12517,13084,9733,0.84,1.01,8537.854,0.652541577,1874.584225
6666,-1762,10513,12988,12490,12792,9733,0.84,1.02,8246.152,0.644633521,1953.66479
6666,-1780,10477,13177,12487,12991,9734,0.84,1.01,8443.8085,0.649973713,1900.262874
6666,-1758,10477,12996,12436,12809,9725,0.84,1.01,8254.8915,0.644460262,1955.397377
6666,-1765,10547,12947,12526,12756,9716,0.84,1.01,8203.586,0.643115867,1968.84133
6666,-1764,10521,13244,12552,13049,9707,0.84,1.01,8513.3315,0.65241256,1875.874397
6666,-1760,10466,13266,12489,13077,9707,0.84,1.01,8536.5495,0.652791122,1872.088782
6666,-1756,10296,13231,12247,13044,9707,0.84,1.01,8500.114,0.651649341,1883.506593
6666,-1770,10366,13280,12403,13090,9705,0.84,1.01,8551.115,0.653255539,1867.444614
6666,-1750,10468,13360,12433,13167,9703,0.84,1.01,8634.4645,0.655765512,1842.344877
6666,-1784,10362,13208,12422,13019,9702,0.83,1.01,8476.0265,0.651050503,1789.494969
6666,-1756,10515,13008,12488,12813,9701,0.84,1.02,8267.0655,0.645209202,1947.907984
6666,-1766,10409,12855,12444,12673,9703,0.84,1.01,8107.9755,0.639783437,2002.165628
6666,-1795,10292,13213,12308,13015,9707,0.84,1.02,8480.8525,0.651621398,1883.786016
6666,-1787,10500,13138,12505,12941,9712,0.84,1.02,8402.6335,0.649303261,1906.96739
6666,-1789,10287,13221,12303,13024,9716,0.84,1.02,8489.244,0.651815418,1881.845823
6666,-1797,10467,13132,12468,12922,9716,0.84,1.02,8395.807,0.649729686,1902.703142
6666,-1784,10413,13208,12458,13003,9713,0.84,1.02,8475.3305,0.651798085,1882.019149
6666,-1821,10385,13256,12451,13058,9707,0.83,1.02,8525.723,0.652911855,1770.881452
6666,-1778,10471,13090,12455,12890,9701,0.84,1.02,8352.415,0.647976338,1920.236618
6666,-1794,10331,13261,12363,13053,9698,0.84,1.02,8530.5055,0.653528346,1864.71654
6666,-1777,10402,13173,12407,12964,9698,0.84,1.02,8438.634,0.650928263,1890.717371
6666,-1804,10441,13262,12483,13056,9704,0.84,1.02,8531.636,0.653464767,1865.352328
6666,-1799,10347,13302,12399,13081,9713,0.83,1.02,8572.7235,0.655356892,1746.431083
6666,-1822,10453,13220,12481,13002,9721,0.84,1.02,8487.287,0.652767805,1872.32195
6666,-1802,10451,13246,12471,13027,9725,0.84,1.02,8514.3745,0.653594419,1864.055807
6666,-1809,10424,13239,12427,13023,9725,0.84,1.02,8507.2005,0.653244299,1867.557015
6666,-1823,10489,13189,12504,12967,9721,0.84,1.02,8454.7645,0.652021632,1879.783682
6666,-1836,10489,13186,12513,12977,9715,0.84,1.02,8452.1995,0.65132153,1886.784696
6666,-1798,10491,13224,12496,13005,9709,0.84,1.02,8491.4175,0.652934833,1870.651672
6666,-1801,10461,13217,12482,13009,9707,0.84,1.02,8484.5915,0.652209355,1877.906449
