ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,Fbprime,Fbprime/NB,NSCprime
6666,-1522,11438,13636,13706,13880,9720,0.83,0.98,8941.48,0.644198847,1858.011527
6666,-1518,11485,13797,13764,14029,9718,0.83,0.98,9108.9615,0.649295139,1807.048614
6667,-1512,11365,13869,13682,14114,9717,0.83,0.98,9184.659,0.650748122,1792.518776
6666,-1519,11336,13594,13683,13827,9714,0.83,0.98,8897.1745,0.643463839,1865.361611
6666,-1501,11476,13842,13745,14090,9714,0.83,0.98,9156.615,0.649866217,1801.337828
6666,-1512,11429,13742,13690,13973,9714,0.83,0.98,9051.5255,0.647786839,1822.131611
6666,-1500,11438,13860,13700,14108,9706,0.83,0.98,9175.398,0.650368443,1796.315566
6666,-1499,11149,14002,13420,14261,9698,0.83,0.98,9324.0535,0.653814845,1761.851553
6666,-1521,11405,13688,13641,13930,9690,0.84,0.98,8995.655,0.645775664,1942.24336
6666,-1485,11462,13967,13751,14232,9690,0.83,0.98,9287.792,0.652599213,1774.00787
6666,-1499,11451,13945,13716,14204,9693,0.83,0.98,9264.574,0.652251056,1777.48944
6666,-1501,11442,13968,13731,14223,9705,0.83,0.98,9288.4005,0.653054946,1769.450538
6666,-1488,11381,14038,13654,14297,9717,0.83,0.98,9361.6195,0.654796076,1752.039239
6666,-1482,11501,13900,13761,14146,9727,0.84,0.98,9217.051,0.651565884,1884.341157
6666,-1488,11388,14060,13684,14315,9727,0.83,0.98,9384.4025,0.655564268,1744.357317
6666,-1488,11523,13845,13766,14085,9727,0.84,0.98,9159.3975,0.650294462,1897.055378
6666,-1477,11472,13837,13700,14076,9726,0.84,0.98,9151.006,0.650114095,1898.859051
6666,-1478,11451,14013,13722,14277,9726,0.83,0.98,9335.7495,0.653901345,1760.986552
6666,-1476,11502,13973,13753,14240,9725,0.84,0.98,9294.14,0.652678371,1873.216292
6666,-1479,11476,13806,13701,14045,9725,0.84,0.98,9118.6575,0.649245817,1907.54183
6666,-1465,11464,13804,13679,14054,9726,0.84,0.98,9117.049,0.648715597,1912.84403
6666,-1465,11431,14083,13705,14360,9727,0.83,0.98,9409.36,0.655247911,1747.520891
6666,-1462,11488,13936,13702,14199,9728,0.84,0.98,9255.3565,0.651831573,1881.684274
6666,-1443,11531,13785,13744,14055,9729,0.84,0.98,9098.0925,0.647320704,1926.792956
6666,-1453,11409,13992,13685,14270,9729,0.83,0.98,9314.445,0.652729152,1772.708479
6666,-1462,11510,13776,13725,14032,9723,0.84,0.98,9088.092,0.647669042,1923.309578
6666,-1457,11350,14043,13629,14327,9715,0.83,0.98,9367.9245,0.653865045,1761.34955
6666,-1459,11506,13773,13713,14032,9707,0.84,0.98,9085.092,0.647455245,1925.447548
6666,-1445,11482,13967,13764,14250,9706,0.83,0.98,9288.575,0.651829825,1781.701754
6667,-1468,11232,13715,13394,13975,9706,0.84,0.98,9024.6125,0.645768336,1942.316637
6666,-1459,11418,14028,13671,14303,9712,0.84,0.98,9351.8805,0.653840488,1861.59512
6666,-1455,11396,14041,13683,14317,9719,0.83,0.98,9365.4895,0.654151673,1758.483272
6666,-1487,11356,14053,13675,14329,9726,0.83,0.98,9378.0115,0.654477737,1755.222625
6666,-1492,11324,13736,13642,14001,9728,0.83,0.98,9046.7435,0.646149811,1838.501893
6666,-1476,11506,13863,13740,14120,9728,0.84,0.98,9178.92,0.650065156,1899.348442
6666,-1474,11437,13915,13699,14168,9723,0.83,0.98,9233.008,0.651680407,1783.195935
6665,-1478,11293,13718,13488,13965,9719,0.84,0.98,9027.1775,0.646414429,1935.855711
6666,-1474,11376,14003,13630,14272,9715,0.83,0.98,9325.532,0.653414518,1765.854821
6666,-1468,11537,13876,13771,14148,9715,0.84,0.98,9193.138,0.649783574,1902.164264
6666,-1475,11461,13943,13708,14225,9715,0.84,0.98,9263.4875,0.651211775,1887.88225
6666,-1464,11504,13906,13743,14186,9714,0.84,0.98,9224.791,0.650274285,1897.257155
