ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FAprime,FAprime/NA,FBprime,FBprime/NA,NACprime
5905,-2533,8217,10907,15485,15239,-910,0.53,0.72,8211.31691,0.530275551,10879.28,0.713910362,-0.18363481
5905,-2536,8234,10896,15521,15222,-910,0.53,0.72,8228.36479,0.530143985,10867.7445,0.713949842,-0.183805857
5905,-2536,8221,10897,15486,15225,-910,0.53,0.72,8215.31824,0.530499693,10868.839,0.713881051,-0.183381358
5905,-2533,8228,10892,15502,15227,-810,0.53,0.72,8222.33952,0.530405078,10863.902,0.713463059,-0.183057981
5905,-2535,8219,10891,15492,15229,-333,0.53,0.72,8213.32622,0.530165648,10862.965,0.713307834,-0.183142186
5905,-2526,8224,10887,15485,15232,144,0.53,0.71,8218.31691,0.530727602,10859.0595,0.712910944,-0.182183343
5905,-2521,8229,10886,15489,15227,621,0.53,0.71,8223.32223,0.530913696,10857.902,0.713069022,-0.182155327
5905,-2523,8228,10895,15490,15231,999,0.53,0.72,8222.32356,0.530814949,10867.028,0.713480927,-0.182665978
5906,-2519,8226,10885,15489,15229,999,0.53,0.71,8220.32223,0.53072001,10856.965,0.712913849,-0.182193839
5905,-2524,8229,10896,15499,15235,999,0.53,0.72,8223.33553,0.530572007,10868.154,0.713367509,-0.182795502
5905,-2522,8223,10893,15487,15232,999,0.53,0.72,8217.31957,0.530594665,10865.0595,0.713304852,-0.182710187
5905,-2521,8239,10888,15522,15229,999,0.53,0.71,8233.36612,0.53043204,10859.965,0.713110841,-0.182678801
5905,-2524,8226,10897,15501,15235,999,0.53,0.72,8220.33819,0.530310186,10869.154,0.713433147,-0.183122962
5905,-2526,8222,10890,15489,15227,907,0.53,0.72,8216.32223,0.530461762,10861.902,0.713331713,-0.182869952
5905,-2529,8224,10892,15501,15233,449,0.53,0.72,8218.33819,0.530181162,10864.091,0.713194446,-0.183013284
5905,-2529,8223,10896,15496,15231,-9,0.53,0.72,8217.33154,0.53028727,10868.028,0.713546583,-0.183259312
5905,-2535,8226,10894,15499,15233,-467,0.53,0.72,8220.33553,0.530378446,10866.091,0.71332574,-0.182947294
5905,-2528,8225,10892,15487,15229,-834,0.53,0.72,8219.31957,0.530723805,10863.965,0.713373498,-0.182649693
5905,-2533,8227,10896,15502,15231,-834,0.53,0.72,8221.33952,0.53034057,10868.028,0.713546583,-0.183206012
5905,-2533,8222,10894,15491,15227,-834,0.53,0.72,8216.32489,0.530393447,10865.902,0.713594405,-0.183200958
5905,-2531,8230,10898,15492,15227,-834,0.53,0.72,8224.32622,0.530875692,10869.902,0.713857096,-0.182981404
5905,-2530,8232,10899,15503,15233,-834,0.53,0.72,8226.34085,0.530628965,10871.091,0.713653975,-0.18302501
5905,-2527,8228,10890,15499,15226,-834,0.53,0.72,8222.33553,0.530507486,10861.8705,0.713376494,-0.182869008
5905,-2526,8230,10884,15492,15223,-834,0.53,0.71,8224.32622,0.530875692,10855.776,0.713116731,-0.182241039
5905,-2529,8225,10896,15489,15236,-1126,0.53,0.72,8219.32223,0.530655448,10868.1855,0.713322755,-0.182667308
5905,-2529,8229,10898,15494,15234,-1417,0.53,0.72,8223.32888,0.530742796,10870.1225,0.713543554,-0.182800758
5905,-2529,8233,10895,15500,15225,-1709,0.53,0.72,8227.33686,0.530795926,10866.839,0.713749688,-0.182953762
5905,-2532,8229,10902,15497,15233,-2001,0.53,0.72,8223.33287,0.530640309,10874.091,0.713850916,-0.183210607
5905,-2530,8238,10895,15505,15230,-2001,0.53,0.72,8232.34351,0.530947663,10866.9965,0.713525706,-0.182578043
5905,-2530,8231,10899,15489,15231,-2001,0.53,0.72,8225.32223,0.531042819,10871.028,0.713743549,-0.18270073
5905,-2532,8234,10898,15510,15229,-2001,0.53,0.72,8228.35016,0.53051903,10869.965,0.713767483,-0.183248453
5905,-2532,8235,10900,15499,15232,-2001,0.53,0.72,8229.33553,0.530959128,10872.0595,0.71376441,-0.182805282
5905,-2531,8229,10899,15490,15226,-2001,0.53,0.72,8223.32356,0.530879507,10870.8705,0.713967588,-0.183088082
5905,-2531,8229,10895,15500,15228,-1996,0.53,0.72,8223.33686,0.530537862,10866.9335,0.713615281,-0.183077419
5905,-2534,8230,10905,15497,15233,-1496,0.53,0.72,8224.33287,0.530704838,10877.091,0.714047857,-0.183343019
5905,-2530,8230,10896,15495,15226,-996,0.53,0.72,8224.33021,0.530773166,10867.8705,0.713770557,-0.182997391
5905,-2533,8226,10894,15494,15227,-496,0.53,0.72,8220.32888,0.530549173,10865.902,0.713594405,-0.183045232
5905,-2533,8227,10910,15505,15241,0,0.53,0.72,8221.34351,0.530238214,10882.343,0.71401765,-0.183779436
5905,-2536,8223,10899,15492,15231,0,0.53,0.72,8217.32622,0.530423846,10871.028,0.713743549,-0.183319703
5905,-2534,8225,10900,15496,15233,0,0.53,0.72,8219.33154,0.530416336,10872.091,0.713719622,-0.183303286
5905,-2535,8228,10901,15502,15233,0,0.53,0.72,8222.33952,0.530405078,10873.091,0.713785269,-0.183380191
5905,-2534,8224,10906,15495,15234,0,0.53,0.72,8218.33021,0.530385944,10878.1225,0.714068695,-0.183682751
5905,-2535,8232,10905,15505,15232,0,0.53,0.72,8226.34351,0.530560691,10877.0595,0.714092667,-0.183531976
5905,-2538,8228,10901,15499,15232,0,0.53,0.72,8222.33553,0.530507486,10873.0595,0.713830062,-0.183322575
5905,-2542,8219,10903,15496,15231,-250,0.53,0.72,8213.33154,0.530029139,10875.028,0.714006172,-0.183977032
5905,-2542,8222,10915,15496,15245,-500,0.53,0.72,8216.33154,0.530222737,10887.469,0.714166546,-0.183943809
5905,-2545,8213,10908,15494,15234,-750,0.53,0.72,8207.32888,0.529710138,10880.1225,0.71419998,-0.184489842
5906,-2548,8214,10903,15487,15223,-1000,0.53,0.72,8208.31957,0.530013532,10874.776,0.714364843,-0.184351311
5905,-2548,8220,10912,15497,15236,-1000,0.53,0.72,8214.33287,0.530059552,10884.1855,0.7143729,-0.184313348
5905,-2550,8212,10903,15493,15233,-1000,0.53,0.72,8206.32755,0.529679697,10875.091,0.713916563,-0.184236865
5905,-2549,8220,10904,15495,15228,-1000,0.53,0.72,8214.33021,0.530127797,10875.9335,0.714206298,-0.184078501
5905,-2546,8210,10903,15486,15224,-1000,0.53,0.72,8204.31824,0.529789374,10874.8075,0.714319988,-0.184530615
5905,-2548,8217,10906,15496,15233,-1000,0.53,0.72,8211.33154,0.529900074,10878.091,0.714113504,-0.18421343
5905,-2544,8218,10904,15495,15231,-1000,0.53,0.72,8212.33021,0.529998723,10876.028,0.714071827,-0.184073104
5905,-2543,8222,10914,15500,15244,-1306,0.53,0.72,8216.33686,0.530086249,10886.4375,0.714145729,-0.18405948
5905,-2541,8216,10902,15486,15233,-1612,0.53,0.72,8210.31824,0.53017682,10874.091,0.713850916,-0.183674095
5905,-2544,8218,10906,15492,15237,-1918,0.53,0.72,8212.32622,0.530101099,10878.217,0.713934305,-0.183833206
5905,-2535,8217,10898,15488,15226,-2223,0.53,0.72,8211.3209,0.530173095,10869.8705,0.713901911,-0.183728816
5905,-2541,8223,10905,15499,15231,-2223,0.53,0.72,8217.33553,0.530184885,10877.028,0.714137483,-0.183952598
5905,-2537,8222,10896,15503,15227,-2223,0.53,0.72,8216.34085,0.529983929,10867.902,0.71372575,-0.183741821
5905,-2542,8219,10899,15496,15224,-2223,0.53,0.72,8213.33154,0.530029139,10870.8075,0.714057245,-0.184028106
5905,-2538,8219,10908,15495,15239,-2223,0.53,0.72,8213.33021,0.53006326,10880.28,0.713975983,-0.183912723
5904,-2540,8222,10899,15496,15224,-2223,0.53,0.72,8216.33154,0.530222737,10870.8075,0.714057245,-0.183834508
5904,-2542,8223,10901,15495,15231,-2223,0.53,0.72,8217.33021,0.530321408,10873.028,0.71387486,-0.183553453
5904,-2540,8217,10903,15497,15236,-2211,0.53,0.72,8211.33287,0.529865966,10875.1855,0.713782193,-0.183916228
5904,-2541,8216,10896,15489,15226,-2199,0.53,0.72,8210.32223,0.53007439,10867.8705,0.713770557,-0.183696167
5905,-2541,8221,10897,15504,15227,-2187,0.53,0.72,8215.34218,0.529885332,10868.902,0.713791423,-0.183906092
5905,-2543,8223,10900,15497,15225,-2175,0.53,0.72,8217.33287,0.530253137,10871.839,0.714078095,-0.183824958
5905,-2542,8217,10901,15500,15224,-2175,0.53,0.72,8211.33686,0.529763668,10872.8075,0.714188617,-0.184424948
5905,-2541,8212,10899,15489,15229,-2175,0.53,0.72,8206.32223,0.529816142,10870.965,0.713833147,-0.184017005
5904,-2545,8211,10899,15483,15234,-2175,0.53,0.72,8205.31425,0.529956355,10871.1225,0.713609197,-0.183652841
5904,-2545,8213,10901,15497,15229,-2175,0.53,0.72,8207.33287,0.529607851,10872.965,0.713964476,-0.184356624
5904,-2544,8209,10905,15496,15229,-2175,0.53,0.72,8203.33154,0.529383811,10876.965,0.714227132,-0.184843321
5904,-2540,8212,10894,15493,15229,-2175,0.53,0.72,8206.32755,0.529679697,10865.965,0.713504826,-0.183825129
5905,-2538,8210,10887,15490,15222,-1237,0.53,0.72,8204.32356,0.529652909,10858.7445,0.713358593,-0.183705684
5905,-2536,8216,10891,15484,15226,-298,0.53,0.72,8210.31558,0.530245129,10862.8705,0.713442171,-0.183197042
5905,-2536,8218,10893,15492,15232,639,0.53,0.72,8212.32622,0.530101099,10865.0595,0.713304852,-0.183203753
5905,-2524,8218,10887,15488,15230,1578,0.53,0.71,8212.3209,0.530237661,10858.9965,0.713000427,-0.182762765
5905,-2527,8229,10889,15507,15233,1578,0.53,0.71,8223.34617,0.530298973,10861.091,0.712997505,-0.182698533
5905,-2520,8228,10883,15492,15229,1578,0.53,0.71,8222.32622,0.530746593,10854.965,0.71278252,-0.182035927
5904,-2526,8223,10890,15494,15222,1578,0.53,0.72,8217.32888,0.530355549,10861.7445,0.713555676,-0.183200127
5904,-2525,8223,10884,15493,15224,1578,0.53,0.71,8217.32755,0.530389695,10855.8075,0.713071959,-0.182682263
5904,-2521,8231,10884,15492,15233,1578,0.53,0.71,8225.32622,0.530940241,10856.091,0.712669271,-0.181729029
5904,-2519,8233,10887,15499,15230,1578,0.53,0.71,8227.33553,0.530830088,10858.9965,0.713000427,-0.182170339
5905,-2522,8227,10886,15494,15232,1183,0.53,0.71,8221.32888,0.530613714,10858.0595,0.712845293,-0.182231579
5905,-2520,8232,10894,15499,15240,788,0.53,0.71,8226.33553,0.530765567,10866.3115,0.713012566,-0.182246998
5905,-2522,8229,10892,15505,15239,393,0.53,0.71,8223.34351,0.530367205,10864.28,0.712926045,-0.18255884
5905,-2523,8224,10883,15490,15223,0,0.53,0.71,8218.32356,0.530556718,10854.776,0.713051041,-0.182494323
5905,-2522,8230,10893,15496,15235,0,0.53,0.71,8224.33154,0.530739,10865.154,0.713170594,-0.182431594
5905,-2520,8220,10886,15485,15229,0,0.53,0.71,8214.31691,0.530469287,10857.965,0.712979513,-0.182510226
5905,-2521,8227,10891,15488,15235,0,0.53,0.71,8221.3209,0.530818756,10863.154,0.713039317,-0.182220561
5904,-2523,8227,10893,15490,15231,0,0.53,0.72,8221.32356,0.530750391,10865.028,0.713349616,-0.182599225
5904,-2518,8242,10874,15527,15208,0,0.53,0.72,8236.37277,0.53045487,10845.3035,0.713131477,-0.182676607
5904,-2516,8232,10896,15501,15236,0,0.53,0.72,8226.33819,0.530697258,10868.1855,0.713322755,-0.182625498
5904,-2524,8223,10890,15488,15230,-109,0.53,0.72,8217.3209,0.530560492,10861.9965,0.713197406,-0.182636914
5904,-2525,8230,10890,15486,15227,-218,0.53,0.72,8224.31824,0.531080863,10861.902,0.713331713,-0.182250851
5904,-2527,8232,10881,15495,15222,-326,0.53,0.71,8226.33021,0.53090224,10852.7445,0.712964426,-0.182062186
5904,-2521,8226,10891,15495,15230,-435,0.53,0.72,8220.33021,0.530515018,10862.9965,0.713263066,-0.182748048
5905,-2524,8227,10895,15493,15229,-435,0.53,0.72,8221.32755,0.530647876,10866.965,0.713570491,-0.182922614
5905,-2526,8228,10896,15498,15232,-435,0.53,0.72,8222.3342,0.530541631,10868.0595,0.713501805,-0.182960174
5905,-2530,8232,10899,15497,15237,-435,0.53,0.72,8226.33287,0.530833895,10871.217,0.713474897,-0.182641002
5905,-2532,8222,10891,15492,15223,-435,0.53,0.72,8216.32622,0.530359296,10862.776,0.713576562,-0.183217265
5905,-2537,8227,10898,15506,15230,-435,0.53,0.72,8221.34484,0.530204104,10869.9965,0.713722685,-0.183518581
5905,-2538,8219,10893,15493,15225,-435,0.53,0.72,8213.32755,0.530131514,10864.839,0.713618325,-0.183486811
5904,-2543,8220,10903,15496,15227,-326,0.53,0.72,8214.33154,0.530093672,10874.902,0.71418546,-0.184091788
5904,-2544,8220,10904,15495,15227,-218,0.53,0.72,8214.33021,0.530127797,10875.902,0.714251133,-0.184123336
5904,-2542,8221,10896,15500,15225,-109,0.53,0.72,8215.33686,0.530021733,10867.839,0.713815369,-0.183793637
5904,-2544,8217,10900,15494,15220,0,0.53,0.72,8211.32888,0.529968303,10871.6815,0.714302332,-0.18433403
5904,-2546,8221,10898,15498,15223,0,0.53,0.72,8215.3342,0.53008996,10869.776,0.714036392,-0.183946432
