ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FAprime,FAprime/NA,FBprime,FBprime/NA,NACprime
5905,-2562,7355,9682,13567,13287,-1330,0.54,0.73,7346.76597,0.541517356,9592.792,0.72196824,-0.180450884
5905,-2549,7342,9681,13546,13291,-1429,0.54,0.73,7333.73804,0.541395101,9591.918,0.721685201,-0.180290099
5904,-2551,7347,9682,13549,13287,-1429,0.54,0.73,7338.74203,0.541644552,9592.792,0.72196824,-0.180323688
5904,-2553,7344,9681,13543,13291,-1429,0.54,0.73,7335.73405,0.541662412,9591.918,0.721685201,-0.180022788
5904,-2550,7346,9680,13550,13287,-1429,0.54,0.73,7337.74336,0.541530875,9590.792,0.721817717,-0.180286841
5904,-2552,7346,9679,13546,13291,-1429,0.54,0.73,7337.73804,0.541690391,9589.918,0.721534723,-0.179844331
5904,-2554,7347,9672,13546,13283,-1429,0.54,0.73,7338.73804,0.541764214,9582.666,0.721423323,-0.179659109
5905,-2552,7346,9683,13550,13292,-1377,0.54,0.73,7337.74336,0.541530875,9593.9495,0.721783742,-0.180252867
5905,-2556,7342,9686,13543,13288,-1112,0.54,0.73,7333.73405,0.541514735,9596.8235,0.722217301,-0.180702567
5905,-2556,7342,9679,13542,13294,-847,0.54,0.73,7333.73272,0.541554624,9590.0125,0.721379006,-0.179824381
5905,-2562,7344,9687,13556,13290,-582,0.54,0.73,7335.75134,0.541144242,9597.8865,0.7221886,-0.181044359
5904,-2564,7344,9687,13556,13295,-371,0.54,0.73,7335.75134,0.541144242,9598.044,0.721928845,-0.180784604
5904,-2563,7340,9688,13544,13296,-371,0.54,0.73,7331.73538,0.541327184,9599.0755,0.721952128,-0.180624944
5904,-2567,7347,9689,13552,13288,-371,0.54,0.73,7338.74602,0.541524942,9599.8235,0.722443069,-0.180918126
5904,-2567,7336,9688,13551,13284,-371,0.54,0.73,7327.74469,0.540753058,9598.6975,0.722575843,-0.181822785
5905,-2575,7336,9693,13554,13291,-371,0.54,0.73,7327.74868,0.540633664,9603.918,0.722588067,-0.181954403
5905,-2578,7335,9695,13546,13287,-371,0.54,0.73,7326.73804,0.540878343,9605.792,0.72294664,-0.182068296
5905,-2584,7328,9695,13539,13286,-371,0.54,0.73,7319.72873,0.540640278,9605.7605,0.722998683,-0.182358404
5905,-2581,7332,9693,13545,13287,-417,0.54,0.73,7323.73671,0.540696693,9603.792,0.722796117,-0.182099423
5905,-2582,7332,9696,13544,13289,-651,0.54,0.73,7323.73538,0.540736517,9606.855,0.722917827,-0.18218131
5905,-2583,7334,9695,13558,13287,-885,0.54,0.73,7325.754,0.540327039,9605.792,0.72294664,-0.1826196
5905,-2583,7332,9691,13550,13289,-1118,0.54,0.73,7323.74336,0.540497665,9601.855,0.722541576,-0.182043911
5904,-2578,7335,9696,13558,13291,-1305,0.54,0.73,7326.754,0.540400797,9606.918,0.722813784,-0.182412987
5904,-2580,7334,9694,13543,13284,-1305,0.54,0.73,7325.73405,0.540924023,9604.6975,0.723027514,-0.182103491
5904,-2583,7329,9693,13545,13288,-1305,0.54,0.73,7320.73671,0.540475209,9603.8235,0.722744092,-0.182268883
5904,-2581,7332,9695,13548,13288,-1305,0.54,0.73,7323.7407,0.540577259,9605.8235,0.722894604,-0.182317346
5904,-2576,7335,9690,13552,13290,-1305,0.54,0.73,7326.74602,0.540639464,9600.8865,0.722414334,-0.18177487
5905,-2573,7341,9687,13555,13283,-1340,0.54,0.73,7332.75001,0.540962745,9597.666,0.722552586,-0.181589841
5905,-2571,7338,9685,13552,13288,-1514,0.54,0.73,7329.74602,0.540860834,9595.8235,0.722142045,-0.181281212
5905,-2573,7343,9690,13553,13284,-1688,0.54,0.73,7334.74735,0.541189947,9600.6975,0.7227264,-0.181536453
5905,-2570,7342,9688,13549,13287,-1862,0.54,0.73,7333.74203,0.541275521,9598.792,0.722419809,-0.181144288
5905,-2567,7340,9698,13548,13297,-2001,0.54,0.73,7331.7407,0.541167752,9609.107,0.722652252,-0.181484501
5905,-2570,7340,9683,13548,13285,-2001,0.54,0.73,7331.7407,0.541167752,9593.729,0.72214746,-0.180979708
5904,-2562,7341,9686,13550,13291,-2001,0.54,0.73,7332.74336,0.541161872,9596.918,0.722061395,-0.180899523
5904,-2564,7346,9690,13551,13293,-2001,0.54,0.73,7337.74469,0.541491011,9600.981,0.722258407,-0.180767396
5904,-2568,7340,9685,13548,13284,-2001,0.54,0.73,7331.7407,0.541167752,9595.6975,0.722350008,-0.181182256
5904,-2560,7340,9684,13543,13289,-2001,0.54,0.73,7331.73405,0.541367057,9594.855,0.722014824,-0.180647768
5905,-2564,7343,9688,13551,13286,-1956,0.54,0.73,7334.74469,0.541269625,9598.7605,0.722471812,-0.181202187
5905,-2563,7344,9687,13545,13286,-1734,0.54,0.73,7335.73671,0.541582629,9597.7605,0.722396545,-0.180813916
5905,-2560,7340,9687,13543,13285,-1512,0.54,0.73,7331.73405,0.541367057,9597.729,0.722448551,-0.181081494
5905,-2561,7346,9692,13550,13290,-1289,0.54,0.73,7337.74336,0.541530875,9602.8865,0.722564823,-0.181033948
5905,-2566,7349,9683,13555,13282,-1112,0.54,0.73,7340.75001,0.541552933,9593.6345,0.722303456,-0.180750523
5905,-2554,7346,9684,13546,13285,-1112,0.54,0.73,7337.73804,0.541690391,9594.729,0.722222732,-0.180532341
5904,-2557,7347,9690,13545,13299,-1112,0.54,0.73,7338.73671,0.541804113,9601.17,0.721946763,-0.18014265
5904,-2562,7348,9685,13549,13280,-1112,0.54,0.73,7339.74203,0.541718358,9595.5715,0.722558095,-0.180839737
