ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,Fbprime,Fbprime/NB,NSCprime
6666,-1061,12505,14434,14928,15365,9726,0.84,0.94,9804.0775,0.638078588,2019.214123
6666,-1061,12785,14445,15361,15354,9726,0.83,0.94,9814.599,0.639220985,1907.790152
6666,-1034,12875,14709,15360,15659,9718,0.84,0.94,10091.8665,0.644477074,1955.229261
6666,-1035,12901,14765,15421,15707,9709,0.84,0.94,10149.9545,0.6462058,1937.942
6666,-1057,12630,14516,15182,15428,9700,0.83,0.94,9888.818,0.640965647,1890.343531
6666,-1046,12778,14900,15325,15855,9701,0.83,0.94,10291.3925,0.64909445,1809.055503
6666,-1063,12830,14861,15368,15814,9702,0.83,0.94,10250.609,0.648198369,1818.016315
6666,-1065,12889,14648,15388,15569,9709,0.84,0.94,10026.9515,0.644033111,1959.668893
6666,-1058,12861,14768,15400,15704,9715,0.84,0.94,10152.824,0.646511971,1934.880285
6666,-1094,12881,14863,15417,15800,9720,0.84,0.94,10252,0.648860759,1911.392405
6666,-1079,12765,14894,15339,15822,9720,0.83,0.94,10283.957,0.649978321,1800.216787
6666,-1084,12889,14729,15400,15634,9719,0.84,0.94,10110.779,0.646717347,1932.826532
6666,-1077,12872,14827,15411,15737,9717,0.84,0.94,10213.2595,0.6489966,1910.033996
6666,-1074,12817,14845,15385,15763,9715,0.83,0.94,10232.3905,0.649139789,1808.602106
6666,-1097,12926,14553,15443,15437,9714,0.84,0.94,9926.2095,0.643014154,1969.858457
6666,-1073,12820,14921,15389,15849,9714,0.83,0.94,10312.1315,0.650648716,1793.51284
6666,-1090,12895,14576,15404,15446,9716,0.84,0.94,9949.601,0.644153891,1958.46109
6666,-1089,12819,14850,15376,15767,9719,0.83,0.94,10237.5645,0.64930326,1806.9674
6666,-1096,12821,14936,15411,15845,9722,0.83,0.94,10326.9575,0.651748659,1782.513411
6666,-1103,12828,14833,15373,15726,9724,0.83,0.94,10218.781,0.649801666,1801.98334
6666,-1109,12736,14877,15316,15769,9724,0.83,0.94,10264.6515,0.650938645,1790.613546
6666,-1115,12749,14574,15354,15435,9725,0.83,0.94,9947.1225,0.644452381,1855.47619
6666,-1112,12885,14700,15415,15568,9726,0.84,0.94,10078.908,0.647411871,1925.881295
6666,-1111,12903,14788,15492,15668,9728,0.83,0.94,10171.258,0.649173985,1808.260148
6666,-1117,12644,14906,15206,15803,9729,0.83,0.94,10295.1305,0.651466842,1785.331583
