ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FAprime,FAprime/NA,FBprime,FBprime/NA,NACprime
5905,-2436,8513,11225,15086,15126,-527,0.56,0.74,8506.78624,0.563886135,11193.7205,0.740031766,-0.176145631
5905,-2434,8513,11236,15085,15142,-605,0.56,0.74,8506.78491,0.563923428,11205.2245,0.740009543,-0.176086115
5905,-2436,8510,11235,15080,15139,-799,0.56,0.74,8503.77826,0.563911025,11204.13,0.740083889,-0.176172864
5905,-2433,8518,11226,15090,15130,-994,0.56,0.74,8511.79156,0.564068361,11194.8465,0.739910542,-0.175842181
5905,-2431,8513,11231,15083,15134,-1188,0.56,0.74,8506.78225,0.563998028,11199.9725,0.740053687,-0.176055659
5905,-2429,8526,11227,15087,15136,-1305,0.57,0.74,8519.78757,0.564710517,11196.0355,0.739695791,-0.174985274
5905,-2425,8524,11225,15091,15136,-1305,0.56,0.74,8517.79289,0.564428659,11194.0355,0.739563656,-0.175134997
5905,-2425,8511,11225,15076,15130,-1305,0.56,0.74,8504.77294,0.564126621,11193.8465,0.739844448,-0.175717827
5905,-2427,8524,11236,15089,15140,-1305,0.56,0.74,8517.79023,0.564503296,11205.1615,0.740103137,-0.175599842
5905,-2423,8521,11222,15082,15129,-1305,0.56,0.74,8514.78092,0.564565768,11190.815,0.739692974,-0.175127205
5905,-2426,8522,11224,15078,15128,-1305,0.57,0.74,8515.7756,0.564781509,11192.7835,0.739871992,-0.175090483
5905,-2427,8526,11230,15094,15133,-1215,0.56,0.74,8519.79688,0.564449243,11198.941,0.740034428,-0.175585185
5905,-2431,8516,11226,15076,15128,-988,0.56,0.74,8509.77294,0.564458274,11194.7835,0.740004198,-0.175545923
5905,-2436,8517,11234,15084,15141,-762,0.56,0.74,8510.78358,0.564225907,11203.193,0.739924245,-0.175698339
5905,-2438,8514,11229,15093,15128,-536,0.56,0.74,8507.79555,0.563691483,11197.7835,0.740202505,-0.176511022
5905,-2442,8512,11235,15095,15138,-400,0.56,0.74,8505.79821,0.563484479,11204.0985,0.740130698,-0.176646219
5905,-2443,8514,11234,15095,15132,-400,0.56,0.74,8507.79821,0.563616973,11202.9095,0.740345592,-0.176728619
5905,-2446,8502,11230,15076,15128,-400,0.56,0.74,8495.77294,0.563529646,11198.7835,0.740268608,-0.176738962
5905,-2448,8510,11240,15079,15132,-400,0.56,0.74,8503.77693,0.563948334,11208.9095,0.740742103,-0.176793769
5905,-2449,8504,11236,15083,15127,-400,0.56,0.74,8497.78225,0.563401329,11204.752,0.740712104,-0.177310775
5905,-2447,8509,11234,15088,15128,-400,0.56,0.74,8502.7889,0.563546454,11202.7835,0.740533018,-0.176986564
5905,-2451,8502,11240,15081,15133,-408,0.56,0.74,8495.77959,0.563343252,11208.941,0.740695236,-0.177351983
5906,-2446,8507,11239,15097,15134,-427,0.56,0.74,8500.80087,0.563078815,11207.9725,0.740582298,-0.177503483
5905,-2454,8510,11238,15092,15130,-446,0.56,0.74,8503.79422,0.563463704,11206.8465,0.740703668,-0.177239964
5905,-2457,8498,11243,15081,15131,-465,0.56,0.74,8491.77959,0.563078018,11211.878,0.740987245,-0.177909227
5905,-2458,8508,11241,15090,15128,-477,0.56,0.74,8501.79156,0.56340567,11209.7835,0.740995736,-0.177590066
5905,-2458,8500,11245,15089,15135,-477,0.56,0.74,8493.79023,0.562912733,11214.004,0.74093188,-0.178019147
5905,-2461,8505,11248,15093,15136,-477,0.56,0.74,8498.79555,0.56309518,11217.0355,0.741083212,-0.177988032
5905,-2459,8508,11241,15093,15128,-477,0.56,0.74,8501.79555,0.563293948,11209.7835,0.740995736,-0.177701789
5905,-2461,8509,11238,15098,15126,-477,0.56,0.74,8502.8022,0.563174076,11206.7205,0.740891214,-0.177717138
5905,-2458,8504,11243,15093,15134,-477,0.56,0.74,8497.79555,0.563028924,11211.9725,0.740846604,-0.17781768
5905,-2455,8500,11243,15079,15132,-472,0.56,0.74,8493.77693,0.56328516,11211.9095,0.740940358,-0.177655198
5905,-2453,8513,11234,15086,15122,-462,0.56,0.74,8506.78624,0.563886135,11202.5945,0.740814343,-0.176928208
5905,-2447,8512,11231,15090,15122,-452,0.56,0.74,8505.79156,0.563670746,11199.5945,0.740615957,-0.176945211
5905,-2446,8510,11237,15080,15132,-441,0.56,0.74,8503.77826,0.563911025,11205.9095,0.740543847,-0.176632822
5905,-2441,8507,11228,15086,15132,-435,0.56,0.74,8500.78624,0.563488416,11196.9095,0.739949081,-0.176460666
5905,-2440,8519,11235,15100,15137,-435,0.56,0.74,8512.80486,0.563761911,11204.067,0.740177512,-0.176415601
5904,-2440,8520,11225,15099,15128,-435,0.56,0.74,8513.80353,0.56386539,11193.7835,0.739938095,-0.176072705
5904,-2435,8514,11233,15083,15140,-435,0.56,0.74,8507.78225,0.564064327,11202.1615,0.739904987,-0.175840659
5904,-2436,8515,11226,15090,15135,-435,0.56,0.74,8508.79156,0.563869553,11195.004,0.739676511,-0.175806958
5905,-2433,8510,11227,15074,15126,-435,0.56,0.74,8503.77028,0.564134953,11195.7205,0.740163989,-0.176029036
5905,-2434,8511,11224,15082,15130,-439,0.56,0.74,8504.78092,0.563902726,11192.8465,0.739778354,-0.175875628
5905,-2434,8519,11230,15096,15135,-450,0.56,0.74,8512.79954,0.563910939,11199.004,0.739940799,-0.17602986
5905,-2435,8518,11230,15091,15127,-460,0.56,0.74,8511.79289,0.564031071,11198.752,0.740315462,-0.176284392
5905,-2435,8514,11230,15092,15136,-470,0.56,0.74,8507.79422,0.563728745,11199.0355,0.739893994,-0.176165249
5905,-2438,8518,11222,15094,15129,-477,0.56,0.74,8511.79688,0.563919231,11190.815,0.739692974,-0.175773742
5905,-2436,8514,11233,15088,15131,-477,0.56,0.74,8507.7889,0.563877843,11201.878,0.74032635,-0.176448507
5905,-2436,8515,11234,15092,15135,-477,0.56,0.74,8508.79422,0.563795005,11203.004,0.740205088,-0.176410082
5905,-2437,8516,11231,15092,15135,-477,0.56,0.74,8509.79422,0.563861266,11200.004,0.740006871,-0.176145606
5905,-2443,8512,11236,15088,15132,-477,0.56,0.74,8505.7889,0.563745288,11204.9095,0.740477762,-0.176732475
5905,-2437,8516,11229,15087,15131,-477,0.56,0.74,8509.78757,0.564047695,11197.878,0.740061992,-0.176014297
5905,-2444,8512,11232,15083,15131,-477,0.56,0.74,8505.78225,0.563931728,11200.878,0.74026026,-0.176328533
5905,-2444,8513,11238,15089,15128,-470,0.56,0.74,8506.79023,0.563774288,11206.7835,0.740797429,-0.177023141
5905,-2446,8513,11236,15086,15128,-460,0.56,0.74,8506.78624,0.563886135,11204.7835,0.740665223,-0.176779088
5905,-2444,8511,11242,15090,15143,-450,0.56,0.74,8504.79156,0.563604477,11211.256,0.740358978,-0.176754501
5905,-2444,8516,11235,15093,15128,-439,0.56,0.74,8509.79555,0.563823995,11203.7835,0.740599121,-0.176775126
5905,-2443,8512,11239,15082,15135,-435,0.56,0.74,8505.78092,0.563969031,11208.004,0.740535448,-0.176566417
5905,-2447,8509,11241,15086,15131,-435,0.56,0.74,8502.78624,0.563620989,11209.878,0.740855066,-0.177234077
5905,-2445,8516,11240,15088,15131,-435,0.56,0.74,8509.7889,0.564010399,11208.878,0.740788976,-0.176778577
5905,-2444,8509,11244,15076,15133,-435,0.56,0.74,8502.77294,0.56399396,11212.941,0.740959559,-0.176965599
5905,-2439,8519,11239,15090,15130,-435,0.56,0.74,8512.79156,0.56413463,11207.8465,0.740769762,-0.176635133
5905,-2443,8515,11242,15086,15134,-443,0.56,0.74,8508.78624,0.564018709,11210.9725,0.740780527,-0.176761819
5905,-2445,8514,11239,15089,15138,-466,0.56,0.74,8507.79023,0.563840561,11208.0985,0.740394933,-0.176554372
5905,-2440,8521,11238,15090,15136,-489,0.56,0.74,8514.79156,0.564267168,11207.0355,0.740422536,-0.176155368
5905,-2438,8519,11234,15088,15131,-512,0.56,0.74,8512.7889,0.564209233,11202.878,0.740392439,-0.176183207
5905,-2436,8517,11232,15086,15136,-527,0.56,0.74,8510.78624,0.564151282,11201.0355,0.74002613,-0.175874848
5905,-2434,8524,11233,15086,15131,-527,0.57,0.74,8517.78624,0.564615288,11201.878,0.74032635,-0.175711062
5905,-2434,8519,11228,15082,15134,-527,0.56,0.74,8512.78092,0.56443316,11196.9725,0.739855458,-0.175422298
5905,-2436,8522,11231,15097,15126,-527,0.56,0.74,8515.80087,0.56407239,11199.7205,0.740428434,-0.176356045
5905,-2431,8522,11229,15091,15129,-527,0.56,0.74,8515.79289,0.564296129,11197.815,0.740155661,-0.175859532
5905,-2428,8516,11231,15075,15135,-527,0.56,0.74,8509.77161,0.564495629,11200.004,0.740006871,-0.175511242
5905,-2430,8527,11229,15092,15132,-522,0.57,0.74,8520.79422,0.564590129,11197.9095,0.740015167,-0.175425038
5905,-2431,8522,11224,15086,15135,-499,0.56,0.74,8515.78624,0.564482715,11193.004,0.739544367,-0.175061652
5905,-2430,8524,11232,15089,15135,-476,0.56,0.74,8517.79023,0.564503296,11201.004,0.740072944,-0.175569648
5905,-2430,8520,11230,15091,15132,-453,0.56,0.74,8513.79289,0.5641636,11198.9095,0.740081252,-0.175917651
5905,-2433,8519,11223,15084,15126,-435,0.56,0.74,8512.78358,0.564358498,11191.7205,0.739899544,-0.175541046
5905,-2436,8524,11242,15100,15142,-435,0.56,0.74,8517.80486,0.564093037,11211.2245,0.740405792,-0.176312755
5905,-2440,8516,11244,15096,15136,-435,0.56,0.74,8509.79954,0.563712211,11213.0355,0.740818942,-0.17710673
5905,-2444,8507,11237,15084,15134,-435,0.56,0.74,8500.78358,0.563562953,11205.9725,0.740450145,-0.176887193
5905,-2449,8512,11240,15084,15133,-435,0.56,0.74,8505.78358,0.56389443,11208.941,0.740695236,-0.176800806
5905,-2448,8506,11240,15079,15135,-435,0.56,0.74,8499.77693,0.563683065,11209.004,0.74060152,-0.176918455
5905,-2453,8512,11240,15098,15129,-472,0.56,0.74,8505.8022,0.563372778,11208.815,0.740882742,-0.177509964
5905,-2451,8504,11239,15078,15126,-591,0.56,0.74,8497.7756,0.563587717,11207.7205,0.740957325,-0.177369608
5905,-2452,8513,11243,15090,15138,-710,0.56,0.74,8506.79156,0.563737015,11212.0985,0.740659169,-0.176922154
5905,-2450,8520,11238,15094,15134,-828,0.56,0.74,8513.79688,0.564051734,11206.9725,0.740516222,-0.176464487
5905,-2444,8513,11246,15092,15148,-910,0.56,0.74,8506.79422,0.563662485,11215.4135,0.740389061,-0.176726577
5904,-2439,8519,11231,15090,15129,-910,0.56,0.74,8512.79156,0.56413463,11199.815,0.740287858,-0.176153228
5904,-2434,8514,11225,15080,15133,-910,0.56,0.74,8507.77826,0.564176277,11193.941,0.739704024,-0.175527747
5905,-2431,8515,11224,15086,15130,-910,0.56,0.74,8508.78624,0.564018709,11192.8465,0.739778354,-0.175759646
5905,-2425,8519,11226,15088,15135,-910,0.56,0.74,8512.7889,0.564209233,11195.004,0.739676511,-0.175467279
5905,-2425,8520,11214,15083,15128,-910,0.56,0.74,8513.78225,0.564462126,11182.7835,0.739210966,-0.17474884
5905,-2426,8523,11221,15086,15136,-910,0.56,0.74,8516.78624,0.564549002,11190.0355,0.739299386,-0.174750384
5905,-2423,8516,11222,15083,15133,-910,0.56,0.74,8509.78225,0.564196927,11190.941,0.739505782,-0.175308855
5905,-2421,8524,11218,15093,15137,-910,0.56,0.74,8517.79555,0.564354042,11187.067,0.739054436,-0.174700395
5905,-2422,8523,11223,15093,15133,-910,0.56,0.74,8516.79555,0.564287786,11191.941,0.739571863,-0.175284077
5905,-2423,8513,11225,15086,15136,-910,0.56,0.74,8506.78624,0.563886135,11194.0355,0.739563656,-0.175677521
5905,-2423,8524,11221,15090,15132,-910,0.56,0.74,8517.79156,0.564465975,11189.9095,0.739486486,-0.175020511
5905,-2427,8518,11219,15084,15131,-910,0.56,0.74,8511.78358,0.564292202,11187.878,0.739401097,-0.175108895
5905,-2424,8521,11223,15089,15128,-910,0.56,0.74,8514.79023,0.564304475,11191.7835,0.73980589,-0.175501414
5905,-2428,8520,11223,15087,15129,-910,0.56,0.74,8513.78757,0.564312824,11191.815,0.739759072,-0.175446248
5905,-2426,8521,11223,15091,15132,-910,0.56,0.74,8514.79289,0.564229865,11191.9095,0.739618656,-0.175388791
5905,-2429,8521,11228,15091,15127,-910,0.56,0.74,8514.79289,0.564229865,11196.752,0.740183248,-0.175953384
5905,-2431,8517,11227,15085,15137,-910,0.56,0.74,8510.78491,0.564188592,11196.067,0.739649006,-0.175460414
5905,-2435,8514,11229,15088,15135,-910,0.56,0.74,8507.7889,0.563877843,11198.004,0.739874727,-0.175996884
5906,-2434,8511,11230,15086,15133,-910,0.56,0.74,8504.78624,0.563753562,11198.941,0.740034428,-0.176280866
5905,-2440,8510,11241,15080,15142,-910,0.56,0.74,8503.77826,0.563911025,11210.2245,0.74033975,-0.176428725
5905,-2444,8515,11238,15095,15131,-910,0.56,0.74,8508.79821,0.56368322,11206.878,0.740656797,-0.176973577
5905,-2446,8523,11237,15102,15129,-910,0.56,0.74,8516.80752,0.563952292,11205.815,0.740684447,-0.176732155
5905,-2444,8505,11232,15079,15125,-910,0.56,0.74,8498.77693,0.563616747,11200.689,0.740541421,-0.176924674
5905,-2446,8513,11227,15089,15116,-910,0.56,0.74,8506.79023,0.563774288,11195.4055,0.740632806,-0.176858518
5905,-2444,8508,11238,15092,15126,-910,0.56,0.74,8501.79422,0.563331183,11206.7205,0.740891214,-0.17756003
5903,-2454,8519,11225,15093,15117,-888,0.56,0.74,8512.79555,0.564022762,11193.437,0.740453595,-0.176430833
5895,-2333,8657,11108,15076,15105,-780,0.57,0.74,8650.77294,0.573810888,11076.059,0.733271036,-0.159460149
5879,-1992,8864,10913,15058,15076,-671,0.59,0.72,8857.749,0.588242064,10880.1455,0.721686488,-0.133444424
5853,-1922,8713,10937,15046,15038,-563,0.58,0.73,8706.73304,0.578674268,10902.9485,0.7250265,-0.146352231
5818,-2235,8563,11046,15027,15005,-477,0.57,0.74,8556.70777,0.569422225,11010.909,0.733815995,-0.16439377
5777,-2133,8736,10885,15017,14965,-477,0.58,0.73,8729.69447,0.581320801,10848.649,0.724934781,-0.14361398
5731,-1942,8718,10782,14985,14919,-477,0.58,0.72,8711.65191,0.581358152,10744.2,0.720168912,-0.13881076
5682,-1945,8712,10723,14964,14871,-477,0.58,0.72,8705.62398,0.581771183,10683.688,0.718424316,-0.136653133
5635,-1843,8740,10589,14928,14819,-477,0.59,0.71,8733.5761,0.58504663,10548.05,0.711792294,-0.126745663
5589,-1767,8718,10511,14907,14771,-477,0.58,0.71,8711.54817,0.584393115,10468.538,0.708722361,-0.124329246
5546,-1743,8715,10454,14867,14729,-453,0.59,0.71,8708.49497,0.585760071,10410.215,0.706783556,-0.121023486
5506,-1683,8740,10379,14844,14682,-334,0.59,0.71,8733.46438,0.588349797,10333.7345,0.703836977,-0.115487181
5470,-1624,8719,10316,14807,14647,-215,0.59,0.7,8712.41517,0.588398404,10269.632,0.70114235,-0.112743946
5438,-1612,8696,10274,14789,14607,-96,0.59,0.7,8689.39123,0.587557727,10226.372,0.700100774,-0.112543046
5409,-1614,8674,10239,14761,14568,0,0.59,0.7,8667.35399,0.587179323,10190.1435,0.699488159,-0.112308836
5382,-1613,8652,10215,14722,14534,0,0.59,0.7,8645.30212,0.587236932,10165.0725,0.699399511,-0.112162579
5357,-1600,8646,10185,14692,14503,0,0.59,0.7,8639.26222,0.588024926,10134.096,0.698758602,-0.110733675
5334,-1591,8638,10163,14676,14477,0,0.59,0.7,8631.24094,0.588119443,10111.277,0.698437314,-0.110317872
5313,-1588,8611,10133,14650,14442,0,0.59,0.7,8604.20636,0.58731784,10080.1745,0.697976354,-0.110658513
5293,-1595,8584,10108,14620,14412,0,0.59,0.7,8577.16646,0.586673492,10054.2295,0.697629024,-0.110955532
5274,-1594,8567,10070,14597,14381,-100,0.59,0.7,8560.13587,0.586431176,10015.253,0.696422571,-0.109991396
5256,-1580,8565,10043,14572,14361,-601,0.59,0.7,8558.10262,0.587297737,9987.623,0.695468491,-0.108170754
5239,-1544,8574,10004,14539,14328,-1101,0.59,0.7,8567.05873,0.589246766,9947.5835,0.694275789,-0.105029023
5222,-1499,8594,9969,14524,14309,-1601,0.59,0.7,8587.03878,0.591230982,9911.985,0.692709833,-0.101478851
5206,-1450,8606,9926,14485,14277,-2001,0.59,0.7,8598.98691,0.593647698,9867.977,0.69118001,-0.097532311
5191,-1405,8626,9893,14472,14258,-2001,0.6,0.69,8618.96962,0.595561748,9834.3785,0.6897446,-0.094182851
5177,-1379,8622,9861,14459,14231,-2001,0.6,0.69,8614.95233,0.595819374,9801.528,0.688744853,-0.092925479
5163,-1355,8614,9835,14436,14208,-2001,0.6,0.69,8606.92174,0.596212368,9774.8035,0.68797885,-0.091766482
5151,-1352,8600,9818,14413,14186,-2001,0.6,0.69,8592.89115,0.596190325,9757.1105,0.687798569,-0.091608244
5139,-1349,8581,9801,14402,14172,-2001,0.6,0.69,8573.87652,0.595325408,9739.6695,0.687247354,-0.091921946
5127,-1362,8553,9784,14374,14145,-1898,0.6,0.69,8545.83928,0.594534526,9721.819,0.687297207,-0.092762681
5117,-1372,8543,9767,14359,14121,-1398,0.59,0.69,8535.81933,0.594457785,9704.063,0.687207917,-0.092750133
5107,-1380,8523,9762,14339,14110,-898,0.59,0.69,8515.79273,0.59389028,9698.7165,0.687364741,-0.093474461
5097,-1382,8514,9753,14328,14099,-398,0.59,0.69,8506.7781,0.593717064,9689.37,0.687238102,-0.093521038
5088,-1380,8506,9741,14307,14079,0,0.59,0.69,8498.75017,0.594027411,9676.74,0.687317281,-0.09328987
5080,-1379,8507,9731,14301,14065,0,0.59,0.69,8499.74219,0.594346003,9666.299,0.687259083,-0.09291308
5072,-1373,8503,9723,14283,14046,0,0.6,0.69,8495.71825,0.594813292,9657.7005,0.68757657,-0.092763278
5064,-1365,8495,9712,14262,14035,0,0.6,0.69,8487.69032,0.595126232,9646.354,0.687307018,-0.092180786
5057,-1352,8503,9698,14264,14025,0,0.6,0.69,8495.69298,0.595603826,9632.039,0.686776399,-0.091172573
5050,-1347,8497,9689,14240,14006,0,0.6,0.69,8489.66106,0.596184063,9622.4405,0.68702274,-0.090838677
5044,-1335,8503,9676,14232,14007,-72,0.6,0.69,8495.65042,0.596940024,9609.472,0.686047833,-0.089107809
5038,-1328,8503,9661,14223,13987,-429,0.6,0.69,8495.63845,0.597316913,9593.842,0.685911346,-0.088594434
5033,-1319,8501,9655,14217,13979,-786,0.6,0.69,8493.63047,0.59742776,9587.59,0.685856642,-0.088428882
5028,-1310,8504,9643,14203,13968,-1144,0.6,0.69,8496.61185,0.598226561,9575.2435,0.685512851,-0.08728629
5023,-1306,8496,9637,14197,13960,-1429,0.6,0.69,8488.60387,0.597915325,9568.9915,0.685457844,-0.087542519
5018,-1298,8498,9628,14183,13947,-1429,0.6,0.69,8490.58525,0.598645227,9559.582,0.685422098,-0.086776871
5014,-1292,8494,9620,14174,13940,-1429,0.6,0.69,8486.57328,0.598742294,9551.3615,0.685176578,-0.086434284
5010,-1289,8492,9609,14173,13928,-1429,0.6,0.69,8484.57195,0.598643332,9539.9835,0.684949993,-0.08630666
5006,-1284,8497,9603,14170,13925,-1429,0.6,0.69,8489.56796,0.599122651,9533.889,0.684659892,-0.085537242
5002,-1283,8485,9598,14155,13919,-1429,0.6,0.69,8477.54801,0.598908372,9528.7,0.684582226,-0.085673853
4999,-1285,8478,9596,14147,13911,-1429,0.6,0.69,8470.53737,0.598751493,9526.448,0.684814032,-0.086062539
4996,-1282,8480,9590,14141,13909,-1204,0.6,0.69,8472.52939,0.59914641,9520.385,0.684476598,-0.085330187
4993,-1279,8482,9578,14140,13893,-978,0.6,0.69,8474.52806,0.599330132,9507.881,0.68436486,-0.085034728
4990,-1274,8478,9577,14128,13892,-752,0.6,0.69,8470.5121,0.599554933,9506.8495,0.684339872,-0.084784938
4988,-1278,8472,9564,14136,13877,-527,0.6,0.69,8464.52274,0.598791931,9493.377,0.684108741,-0.08531681
4985,-1276,8470,9571,14126,13882,-527,0.6,0.69,8462.50944,0.5990733,9500.5345,0.684377935,-0.085304635
4983,-1272,8469,9563,14125,13878,-527,0.6,0.69,8461.50811,0.599044822,9492.4085,0.68398966,-0.084944838
4980,-1276,8464,9565,14118,13884,-527,0.6,0.69,8456.4988,0.598987024,9494.5975,0.683851736,-0.084864712
4978,-1279,8459,9558,14119,13870,-527,0.6,0.69,8451.50013,0.598590561,9487.1565,0.684005516,-0.085414955
4976,-1275,8462,9561,14112,13874,-527,0.6,0.69,8454.49082,0.599099406,9490.2825,0.684033624,-0.084934218
4975,-1276,8453,9561,14102,13870,-527,0.6,0.69,8445.47752,0.598885089,9490.1565,0.68422181,-0.085336721
4973,-1273,8458,9552,14108,13862,-187,0.6,0.69,8450.4855,0.598985363,9480.9045,0.68394925,-0.084963887
4972,-1277,8452,9543,14104,13854,152,0.6,0.69,8444.48018,0.598729451,9471.6525,0.683676375,-0.084946924
4971,-1275,8448,9542,14092,13850,492,0.6,0.69,8440.46422,0.598954316,9470.5265,0.683792527,-0.084838211
4969,-1273,8456,9543,14101,13854,832,0.6,0.69,8448.47619,0.599140216,9471.6525,0.683676375,-0.084536159
4968,-1276,8448,9540,14094,13853,832,0.6,0.69,8440.46688,0.59886951,9468.621,0.683506894,-0.084637383
