ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FAprime,FAprime/NA,FBprime,FBprime/NA,NACprime
5905,-2427,10111,13170,18463,18155,-1305,0.55,0.73,10109.27765,0.547542526,13234.134,0.728952575,-0.181410049
5905,-2434,10132,13186,18503,18176,-1305,0.55,0.73,10130.33085,0.547496668,13250.7955,0.729027041,-0.181530373
5906,-2436,10129,13175,18497,18164,-1305,0.55,0.73,10127.32287,0.547511644,13239.4175,0.728882267,-0.181370624
5906,-2436,10129,13178,18488,18168,-1305,0.55,0.73,10127.3109,0.547777526,13242.5435,0.728893852,-0.181116326
5906,-2438,10125,13176,18492,18163,-1305,0.55,0.73,10123.31622,0.547443014,13240.386,0.72897572,-0.181532706
5906,-2439,10129,13172,18493,18159,-1305,0.55,0.73,10127.31755,0.547629782,13236.26,0.728909081,-0.181279299
5905,-2439,10137,13178,18502,18160,-1239,0.55,0.73,10135.32952,0.547796428,13242.2915,0.729201074,-0.181404645
5905,-2441,10118,13171,18485,18160,-913,0.55,0.73,10116.30691,0.547271134,13235.2915,0.728815611,-0.181544477
5905,-2439,10127,13174,18499,18160,-587,0.55,0.73,10125.32553,0.54734448,13238.2915,0.728980809,-0.18163633
5905,-2443,10131,13174,18501,18156,-261,0.55,0.73,10129.32819,0.547501659,13238.1655,0.729134473,-0.181632815
5905,-2441,10129,13179,18507,18155,0,0.55,0.73,10127.33617,0.547216522,13243.134,0.729448306,-0.182231784
5905,-2439,10126,13183,18497,18168,0,0.55,0.73,10124.32287,0.547349455,13247.5435,0.729169061,-0.181819606
5905,-2444,10125,13181,18495,18158,0,0.55,0.73,10123.32021,0.547354431,13245.2285,0.729443138,-0.182088707
5905,-2444,10121,13179,18489,18157,0,0.55,0.73,10119.31223,0.547315281,13243.197,0.729371427,-0.182056146
5905,-2445,10124,13184,18502,18163,0,0.55,0.73,10122.32952,0.547093802,13248.386,0.729416176,-0.182322374
5905,-2443,10124,13178,18506,18155,0,0.55,0.73,10122.33484,0.546975837,13242.134,0.729393225,-0.182417388
5906,-2448,10129,13170,18501,18145,0,0.55,0.73,10127.32819,0.547393557,13233.819,0.729336952,-0.181943396
5906,-2447,10121,13174,18500,18154,0,0.55,0.73,10119.32686,0.546990641,13238.1025,0.729211331,-0.18222069
5905,-2452,10120,13176,18496,18146,0,0.55,0.73,10118.32154,0.547054582,13239.8505,0.729629147,-0.182574565
5905,-2453,10113,13181,18497,18156,0,0.55,0.73,10111.32287,0.546646638,13245.1655,0.729520021,-0.182873383
5905,-2459,10117,13189,18498,18159,0,0.55,0.73,10115.3242,0.546833398,13253.26,0.729845256,-0.183011858
5905,-2456,10120,13185,18507,18153,0,0.55,0.73,10118.33617,0.546730219,13249.071,0.729855726,-0.183125507
5905,-2460,10118,13181,18500,18149,0,0.55,0.73,10116.32686,0.546828479,13244.945,0.729789245,-0.182960766
5905,-2458,10123,13188,18511,18156,0,0.55,0.73,10121.34149,0.546774431,13252.1655,0.729905568,-0.183131138
5905,-2462,10113,13184,18495,18151,0,0.55,0.73,10111.32021,0.546705607,13248.008,0.729877583,-0.183171975
5906,-2461,10112,13187,18507,18159,0,0.55,0.73,10110.33617,0.546297951,13251.26,0.729735118,-0.183437167
